prob_class_0,prob_class_1,true_label
0.42360643,0.57639354,1
0.89160085,0.10839911,0
0.8729001,0.12709981,1
0.45739618,0.54260385,1
0.24499719,0.7550028,0
0.3855164,0.6144836,1
0.347006,0.65299404,1
0.56650656,0.43349347,1
0.27797702,0.72202295,1
0.45051873,0.54948133,1
0.43968758,0.56031245,1
0.5030267,0.49697337,0
0.9598141,0.040185906,0
0.2817689,0.71823114,0
0.31053707,0.68946296,1
0.9537569,0.046243086,0
0.5507584,0.4492416,1
0.96102387,0.038976107,0
0.9433167,0.05668332,0
0.4571132,0.5428868,1
0.31724367,0.68275636,1
0.7214272,0.27857283,0
0.3778633,0.6221367,1
0.9205556,0.07944436,0
0.50281024,0.4971898,1
0.8826954,0.11730467,1
0.5051646,0.49483544,1
0.6971588,0.3028412,0
0.7199268,0.2800732,0
0.8132101,0.18678991,0
0.51169676,0.48830327,0
0.58860606,0.41139397,0
0.5333427,0.46665737,1
0.85052544,0.14947459,0
0.77295494,0.227045,0
0.7563983,0.2436017,0
0.70656043,0.29343954,0
0.9306949,0.06930513,0
0.45889106,0.5411089,1
0.96418047,0.03581954,0
0.5589598,0.4410402,0
0.650146,0.349854,1
0.5785101,0.42148992,1
0.47997594,0.520024,1
0.8866276,0.11337239,0
0.88036007,0.119639955,0
0.9346858,0.065314166,0
0.9314864,0.06851358,1
0.5764906,0.42350936,0
0.2890261,0.7109739,0
0.9147127,0.08528727,0
0.50291556,0.49708444,0
0.409127,0.59087306,1
0.6232466,0.37675336,0
0.7095902,0.2904098,1
0.4048895,0.59511054,0
0.5048756,0.49512437,1
0.654435,0.34556502,1
0.49697974,0.5030203,0
0.7276381,0.27236187,0
0.65911406,0.34088597,1
0.8637437,0.13625632,0
0.67322767,0.32677227,1
0.6677602,0.33223984,0
0.6942289,0.30577108,0
0.6820836,0.31791636,1
0.42004797,0.5799521,0
0.8722511,0.12774888,0
0.89581645,0.10418358,0
0.71002764,0.2899724,1
0.37719762,0.6228023,1
0.19724861,0.8027514,1
0.84715956,0.15284038,0
0.7633527,0.23664725,0
0.87681824,0.12318179,0
0.55330724,0.44669273,1
0.7316284,0.26837158,0
0.5508441,0.4491559,1
0.5396495,0.46035057,0
0.3590476,0.6409524,1
0.9554703,0.04452973,0
0.3957388,0.6042611,0
0.3604755,0.63952446,1
0.8762191,0.123780936,0
0.71104705,0.28895298,0
0.49660194,0.5033981,1
0.8693183,0.13068166,0
0.9423624,0.057637535,0
0.5950285,0.40497148,0
0.2704647,0.7295353,0
0.93420064,0.06579934,0
0.97870517,0.021294823,0
0.7675166,0.23248343,0
0.5313339,0.46866605,1
0.9352366,0.06476344,0
0.5882106,0.41178942,1
0.5326744,0.4673256,0
0.9091636,0.09083641,0
0.7742818,0.22571819,0
0.9319962,0.06800378,0
0.46541786,0.5345822,0
0.9185299,0.08147001,0
0.5512458,0.44875422,0
0.41488707,0.58511287,1
0.82498944,0.17501053,0
0.9317959,0.06820406,0
0.6223918,0.37760815,1
0.6154686,0.38453138,0
0.923181,0.07681899,0
0.8011824,0.19881757,0
0.3513455,0.6486545,1
0.2735094,0.72649056,0
0.45057657,0.54942334,0
0.64012474,0.35987523,1
0.92696184,0.073038146,0
0.641004,0.35899603,0
0.15739313,0.84260684,1
0.46519253,0.53480744,0
0.9127874,0.08721269,0
0.809957,0.19004297,0
0.32299492,0.67700505,1
0.24098605,0.75901395,1
0.29040238,0.70959765,1
0.33538333,0.66461664,1
0.75571144,0.24428852,0
0.7314174,0.26858258,0
0.68156713,0.3184329,0
0.8105245,0.18947546,0
0.9317913,0.06820862,0
0.46393222,0.5360678,1
0.9334536,0.066546395,0
0.7036627,0.2963373,0
0.57411873,0.42588133,0
0.94120723,0.058792852,0
0.879269,0.12073103,0
0.2222328,0.7777672,1
0.51789516,0.4821049,0
0.5224302,0.47756976,1
0.8324826,0.16751744,0
0.4566578,0.5433423,0
0.9409925,0.059007592,0
0.96112615,0.038873874,0
0.61583054,0.38416952,0
0.8124457,0.18755434,0
0.88216996,0.117830046,0
0.6082111,0.39178893,0
0.26025486,0.73974514,1
0.93485403,0.06514591,0
0.35725006,0.64274997,1
0.3490635,0.65093654,0
0.5844867,0.41551325,0
0.88425267,0.11574729,0
0.29392034,0.70607966,0
0.63026357,0.36973643,0
