prob_class_0,prob_class_1,true_label
0.17449696,0.825503,1
0.71864736,0.2813527,1
0.76070625,0.23929378,1
0.7276009,0.27239913,0
0.32067397,0.6793261,0
0.93864506,0.06135497,0
0.7723138,0.22768629,0
0.42451388,0.5754861,0
0.6004773,0.39952275,0
0.6569913,0.34300867,0
0.41086018,0.58913976,0
0.558953,0.44104695,0
0.07075751,0.92924243,1
0.64549977,0.35450017,1
0.7652799,0.23472014,0
0.8424868,0.1575132,0
0.12622444,0.87377554,1
0.75425225,0.24574779,0
0.6978834,0.30211648,0
0.76698166,0.23301834,0
0.6087516,0.39124843,0
0.8396704,0.1603296,0
0.7886938,0.21130617,0
0.9230314,0.07696862,0
0.7599302,0.2400698,0
0.8466445,0.15335554,0
0.38188776,0.6181122,1
0.808232,0.19176799,0
0.73401785,0.26598212,0
0.6801355,0.31986454,1
0.4265475,0.57345253,1
0.65908545,0.34091458,1
0.5339792,0.46602085,0
0.9366971,0.06330285,0
0.2634113,0.7365887,1
0.45082352,0.54917645,0
0.7423567,0.25764325,0
0.23027013,0.76972985,1
0.6646398,0.33536023,0
0.117824465,0.8821755,1
0.46641278,0.5335872,1
0.39352536,0.60647464,0
0.28459033,0.7154097,1
0.73387027,0.26612982,0
0.9549029,0.045097146,0
0.8044486,0.19555147,0
0.2981657,0.7018343,1
0.19597198,0.804028,0
0.59216046,0.40783954,1
0.3658072,0.63419276,1
0.6114294,0.38857058,1
0.55432385,0.44567618,0
0.6828973,0.3171027,1
0.30448812,0.6955119,0
0.77191496,0.22808507,0
0.7782232,0.22177684,0
0.8200147,0.17998523,1
0.5225607,0.47743928,0
0.26122,0.73877996,1
0.47246614,0.5275338,0
0.37614524,0.62385476,0
0.75324875,0.24675128,0
0.7281465,0.2718535,1
0.30014268,0.6998573,1
0.57839555,0.42160448,0
0.7219391,0.27806088,0
0.60567015,0.39432988,0
0.33849612,0.66150385,1
0.8409718,0.15902822,0
0.19914953,0.80085045,1
0.6213115,0.37868848,1
0.9262834,0.07371658,0
0.63835514,0.3616449,0
0.3170579,0.68294203,1
0.8300759,0.16992404,0
0.27264383,0.72735614,1
0.80153716,0.19846289,0
0.8410146,0.15898535,0
0.8507832,0.14921671,0
0.7718592,0.22814074,0
0.9401146,0.059885368,0
0.2635124,0.7364876,1
0.3373008,0.66269916,0
0.32668674,0.67331326,1
0.38976258,0.6102374,1
0.9109824,0.08901759,0
0.8806202,0.11937979,0
0.82636917,0.1736308,0
0.6302299,0.36977014,0
0.8970833,0.10291664,1
0.8422996,0.15770048,0
0.6457786,0.35422137,0
0.54056776,0.45943227,0
0.45278686,0.54721314,1
0.10714908,0.89285094,0
0.90573543,0.09426457,0
0.7790723,0.22092767,0
0.7902363,0.20976372,0
0.9333234,0.06667659,0
0.6577187,0.34228128,0
0.35193345,0.6480666,0
0.7693994,0.23060058,0
0.6714596,0.32854044,0
0.62195235,0.37804765,0
0.7707506,0.2292494,0
0.8533393,0.14666067,0
0.2708454,0.7291545,1
0.3197265,0.6802735,0
0.8831732,0.11682678,0
0.5295532,0.47044685,0
0.89955175,0.10044818,0
0.60527325,0.3947267,0
0.71293604,0.287064,1
0.79096425,0.20903572,0
0.44645202,0.553548,0
0.63121855,0.36878148,1
0.67106974,0.3289303,0
0.5188448,0.4811552,1
0.18558423,0.8144158,1
0.19165726,0.8083427,1
0.8651642,0.13483578,0
0.57290655,0.42709342,0
0.92177796,0.07822209,0
0.1267463,0.8732537,0
0.7427307,0.25726938,0
0.940769,0.059230912,0
0.71675277,0.28324723,0
0.6640783,0.33592167,1
0.48064208,0.5193579,1
0.37548697,0.62451303,0
0.13861275,0.8613873,1
0.6511362,0.34886378,1
0.37082702,0.62917304,0
0.5182773,0.48172274,1
0.89971596,0.10028407,0
0.886971,0.11302906,0
0.25879252,0.7412075,1
0.591031,0.40896899,0
0.9186907,0.08130928,0
0.6645511,0.33544895,1
0.7158179,0.28418207,1
0.21858902,0.781411,1
0.5752057,0.42479435,1
0.59827214,0.40172783,0
0.653016,0.34698406,0
0.62219614,0.3778039,0
0.69686,0.30313995,0
0.7731963,0.22680375,1
0.09260946,0.9073906,0
0.4024238,0.5975762,1
0.36788288,0.63211715,0
0.64545614,0.35454386,1
0.2449768,0.7550232,1
0.75491107,0.24508893,0
