prob_class_0,prob_class_1,true_label
0.15257484,0.8474252,1
0.65912235,0.34087768,1
0.7189597,0.2810403,1
0.63276714,0.3672329,0
0.4888861,0.5111139,0
0.83029175,0.16970825,0
0.82000196,0.17999804,0
0.65069443,0.34930554,0
0.9519435,0.0480565,0
0.5393587,0.46064126,0
0.53891915,0.46108085,0
0.84109455,0.15890543,0
0.62845206,0.37154794,1
0.7238004,0.2761996,1
0.9171195,0.082880445,0
0.79010004,0.20990002,0
0.4616342,0.5383658,1
0.91939914,0.08060084,0
0.8093681,0.19063188,0
0.73031485,0.26968515,0
0.6135376,0.3864624,0
0.77602935,0.22397065,0
0.64587265,0.35412738,0
0.9055208,0.09447923,0
0.69407094,0.30592906,0
0.85913604,0.14086393,0
0.47724372,0.52275634,1
0.8761187,0.12388132,0
0.8599245,0.1400755,0
0.021436442,0.97856355,1
0.3407251,0.65927494,1
0.6872993,0.31270066,1
0.91875803,0.08124196,0
0.9443256,0.05567434,0
0.10747127,0.8925287,1
0.5290717,0.47092837,0
0.7724496,0.2275504,0
0.0014286416,0.9985714,1
0.5516625,0.4483375,0
0.4496609,0.5503391,1
0.70732844,0.29267165,1
0.5856048,0.41439524,0
0.0406942,0.95930576,1
0.82502496,0.17497508,0
0.8502836,0.14971639,0
0.7233625,0.27663746,0
0.2621636,0.73783636,1
0.3211164,0.67888355,0
0.22023141,0.7797686,1
0.68522185,0.31477812,1
0.47438613,0.5256139,1
0.6487269,0.35127315,0
0.5527388,0.44726115,1
0.7533358,0.24666418,0
0.6975743,0.30242568,0
0.7676028,0.23239726,0
0.65415317,0.34584677,1
0.19419551,0.80580455,0
0.7505019,0.24949813,1
0.7119225,0.28807747,0
0.751181,0.24881901,0
0.9383722,0.06162781,0
0.57876176,0.42123818,1
0.2698952,0.7301048,1
0.6312587,0.3687413,0
0.5134275,0.48657253,0
0.6653306,0.33466935,0
0.7173115,0.28268853,1
0.75315225,0.24684781,0
0.5072841,0.4927159,1
0.54034746,0.45965254,1
0.8356868,0.16431326,0
0.46770933,0.53229064,0
0.13576896,0.864231,1
0.70297855,0.2970214,0
0.27720857,0.7227915,1
0.6764509,0.32354915,0
0.6826639,0.31733614,0
0.6881154,0.31188458,0
0.66103107,0.3389689,0
0.8210719,0.17892808,0
0.2246332,0.7753668,1
0.6314873,0.36851266,0
0.6240419,0.37595809,1
0.4150416,0.5849584,1
0.8995969,0.10040309,0
0.7711578,0.22884218,0
0.6211186,0.37888137,0
0.48476583,0.5152342,0
0.72813743,0.2718626,1
0.80183864,0.19816136,0
0.69569623,0.3043037,0
0.718652,0.28134796,0
0.21241225,0.78758776,1
0.16316897,0.836831,0
0.78239447,0.21760559,0
0.69840485,0.30159515,0
0.8169176,0.18308245,0
0.87433976,0.12566023,0
0.74455017,0.25544983,0
0.65359,0.34641007,0
0.63759774,0.3624023,0
0.744276,0.25572398,0
0.5508089,0.44919103,0
0.65811825,0.34188172,0
0.9929925,0.007007544,0
0.76092446,0.23907551,1
0.5835283,0.41647163,0
0.7678336,0.23216638,0
0.7448866,0.25511342,0
0.8419108,0.1580892,0
0.8247633,0.17523667,0
0.62825644,0.3717436,1
0.5475844,0.45241562,0
0.5828664,0.4171337,0
0.6076227,0.39237726,1
0.57333195,0.4266681,0
0.51580137,0.48419866,1
0.34660777,0.65339226,1
0.53518736,0.46481264,1
0.950002,0.04999794,0
0.6919776,0.30802238,0
0.7536049,0.24639511,0
0.34633377,0.65366626,0
0.7273575,0.27264258,0
0.7899242,0.21007581,0
0.73287684,0.2671231,0
0.3528631,0.6471369,1
0.23349787,0.7665021,1
0.45423937,0.5457607,0
0.54352933,0.4564706,1
0.6679871,0.3320129,1
0.9257261,0.074273914,0
0.41618153,0.5838185,1
0.84289235,0.15710768,0
0.8906219,0.10937812,0
0.29451215,0.7054879,1
0.6828872,0.31711283,0
0.94048613,0.059513867,0
0.82025206,0.17974797,1
0.49435556,0.50564444,1
0.61819863,0.38180137,1
0.47546554,0.52453446,1
0.61556727,0.3844327,0
0.68952525,0.3104748,0
0.8392309,0.16076908,0
0.3736409,0.6263591,0
0.74462205,0.25537792,1
0.50936335,0.49063662,0
0.24044101,0.75955904,1
0.52808774,0.47191224,0
0.6077277,0.3922723,1
0.0793148,0.92068523,1
0.6729638,0.3270362,0
