prob_class_0,prob_class_1,true_label
0.45507556,0.54492444,1
0.727327,0.27267304,0
0.55848897,0.44151106,1
0.58295596,0.41704404,1
0.6350163,0.36498368,0
0.5368273,0.4631727,0
0.5030818,0.49691817,0
0.9656398,0.03436017,0
0.30359036,0.69640964,0
0.72421753,0.27578247,0
0.1609776,0.8390224,0
0.86614084,0.13385916,0
0.2652437,0.7347563,1
0.943246,0.056753963,0
0.96650296,0.033497036,0
0.36283207,0.63716793,0
0.9436167,0.056383286,0
0.4227324,0.5772676,1
0.96227956,0.037720457,0
0.7073096,0.29269043,0
0.36356586,0.63643414,1
0.96738815,0.032611858,0
0.48255616,0.51744384,0
0.7691304,0.23086959,0
0.9373911,0.06260888,0
0.9690327,0.03096728,0
0.1710965,0.8289035,1
0.8844886,0.11551142,0
0.3006181,0.6993819,1
0.91137403,0.08862599,0
0.7600844,0.23991561,0
0.61906576,0.38093424,0
0.7089374,0.29106256,1
0.39434862,0.6056514,0
0.43565208,0.5643479,0
0.30696738,0.6930326,1
0.3821017,0.6178983,1
0.39579338,0.6042066,1
0.8560671,0.1439329,0
0.7097459,0.29025412,0
0.18594849,0.8140515,1
0.34417385,0.65582615,1
0.93789786,0.06210214,0
0.7258432,0.2741568,1
0.46147496,0.53852504,0
0.20197988,0.7980201,1
0.45667422,0.5433258,0
0.13589793,0.86410207,1
0.957336,0.042663977,0
0.9646541,0.035345923,0
0.87354964,0.12645034,0
0.5976216,0.40237838,0
0.71172553,0.28827447,1
0.9370607,0.062939316,0
0.3777269,0.6222731,1
0.7770995,0.22290052,0
0.7335106,0.2664894,1
0.2790882,0.7209118,1
0.5235909,0.47640908,1
0.93946546,0.060534544,0
0.27140832,0.7285917,0
0.5546483,0.44535175,0
0.7548173,0.2451827,0
0.1336509,0.8663491,1
0.4573033,0.5426967,0
0.7269287,0.2730713,0
0.6133913,0.38660872,1
0.82411516,0.17588484,0
0.42264485,0.57735515,1
0.95587516,0.04412482,0
0.9374669,0.06253309,0
0.70617497,0.29382506,1
0.12697238,0.8730276,1
0.9645252,0.035474762,0
0.8944589,0.105541095,1
0.5965527,0.40344727,0
0.80887294,0.19112706,0
0.23134583,0.76865417,1
0.9489393,0.05106068,0
0.6291025,0.37089747,0
0.91672283,0.08327714,0
0.8613403,0.13865973,0
0.9486326,0.05136738,0
0.9597394,0.040260587,0
0.8765715,0.1234285,0
0.85063726,0.14936276,0
0.92092997,0.07907004,0
0.80131316,0.19868685,0
0.7256131,0.2743869,0
0.68846697,0.31153303,1
0.9172792,0.08272084,0
0.93041617,0.069583856,0
0.76836467,0.23163536,1
0.26961058,0.7303894,1
0.7435461,0.25645384,0
0.9401558,0.05984419,0
0.9156387,0.08436133,0
0.65833783,0.3416622,0
0.9176742,0.08232584,0
0.15112603,0.848874,1
0.9046565,0.095343485,0
0.73626316,0.26373687,0
0.88432187,0.11567813,0
0.7146796,0.28532037,0
0.8594402,0.1405598,0
0.9001637,0.09983627,0
0.859437,0.14056301,0
0.9091314,0.090868585,0
0.33693492,0.6630651,1
0.7717233,0.22827674,0
0.8890901,0.110909864,0
0.36041576,0.63958424,1
0.48903638,0.5109636,1
0.62937105,0.37062895,0
0.24530745,0.75469255,1
0.9694988,0.030501187,0
0.71503365,0.28496635,1
0.59792995,0.40207005,0
0.52442527,0.47557476,1
0.9357588,0.06424114,0
0.5431371,0.45686293,1
0.8837692,0.11623079,0
0.48789865,0.51210135,1
0.95848453,0.041515443,0
0.38211238,0.6178876,1
0.54671955,0.45328048,0
0.8296314,0.1703686,0
0.49182737,0.50817263,0
0.22034502,0.779655,1
0.85748065,0.14251938,0
0.3416564,0.6583436,1
0.45720512,0.5427949,1
0.6930513,0.30694872,1
0.82372075,0.17627926,0
0.8955097,0.104490265,0
0.40098095,0.59901905,0
0.4205234,0.5794766,1
0.88829744,0.111702554,0
0.7754774,0.22452262,0
0.83382857,0.16617143,1
0.85533184,0.14466818,0
0.15347117,0.8465288,1
0.8734416,0.12655845,0
0.8645456,0.13545439,0
0.85601497,0.143985,0
0.27523494,0.72476506,0
0.34322673,0.65677327,0
0.43622452,0.5637755,1
0.85449994,0.14550006,0
0.30855292,0.6914471,1
0.561758,0.43824202,1
0.44857603,0.55142397,1
0.9356057,0.06439428,0
