prob_class_0,prob_class_1,prob_class_2,true_label
0.7860603,0.07970374,0.13423598,0
0.80560005,0.0955801,0.098819815,0
0.78473186,0.11451726,0.10075089,0
0.78290784,0.12868278,0.08840938,0
0.80072,0.13097411,0.06830593,0
0.70348173,0.09214809,0.20437022,0
0.7493213,0.15548632,0.095192425,0
0.80935526,0.12978397,0.06086083,0
0.6290039,0.19836704,0.17262909,0
0.76340914,0.1614019,0.07518899,0
0.10610375,0.5827409,0.31115532,1
0.34061396,0.52796006,0.13142598,1
0.121648066,0.6684247,0.2099272,1
0.26494482,0.6177404,0.117314816,1
0.104922846,0.73705894,0.15801814,1
0.1203706,0.7209151,0.15871435,1
0.112892926,0.7248277,0.16227935,1
0.22501475,0.6156525,0.15933275,1
0.20484483,0.60675,0.18840516,1
0.18079977,0.64765984,0.17154035,1
0.057217967,0.16164875,0.78113323,2
0.05470247,0.1384152,0.80688226,2
0.1115359,0.23457856,0.6538856,2
0.1155009,0.24881312,0.635686,2
0.0362231,0.08368668,0.88009024,2
0.07055839,0.13830154,0.79114,2
0.03844736,0.07472673,0.8868259,2
0.037465133,0.08108918,0.88144565,2
0.023626942,0.046674836,0.9296983,2
0.09266843,0.24822187,0.6591097,2
