prob_class_0,prob_class_1,prob_class_2,true_label
0.9998528,6.596319e-05,8.134607e-05,0
0.9998728,3.200949e-05,9.5107454e-05,0
0.99968493,0.00012824839,0.00018687386,0
0.9998104,0.00011803282,7.1578026e-05,0
0.99913424,0.00043331445,0.00043252544,0
0.9999838,6.16776e-06,9.974591e-06,0
0.9999809,8.105613e-06,1.091818e-05,0
0.983312,0.013916309,0.0027717,0
0.99997544,1.3616358e-05,1.0954353e-05,0
0.99979407,0.0001483694,5.758662e-05,0
0.35588226,0.594174,0.049943734,1
0.25542817,0.6910541,0.05351777,1
0.059378296,0.848285,0.09233676,1
0.056987,0.8343062,0.10870682,1
0.016549477,0.9253645,0.058086,1
0.005531246,0.94110394,0.053364806,1
0.0058352617,0.90439695,0.08976779,1
0.01527666,0.78405005,0.20067324,1
0.04359719,0.6805559,0.27584693,1
0.13382965,0.6234226,0.2427477,1
0.018980354,0.32262993,0.65838975,2
0.030897025,0.10000947,0.86909354,2
0.0018050111,0.00928509,0.9889099,2
0.0084522655,0.044429522,0.9471182,2
0.00025879097,0.00081346225,0.9989278,2
0.0006159265,0.0026300405,0.996754,2
0.011413339,0.14632529,0.8422614,2
0.006468649,0.016980281,0.97655106,2
4.8210244e-05,0.00077691016,0.9991749,2
8.515313e-06,6.913826e-05,0.9999224,2
