model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8933968544006348
XGBoost,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9927536231884058,1.8933968544006348
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.22813510894775
LightGBM,0,0,test,0.9714285714285714,0.9633152173913043,0.973172987974098,0.9633152173913043,0.9679707160832762,0.9715739394740321,0.9714285714285714,0.9712782298918196,0.9959239130434783,88.22813510894775
CatBoost,0,0,train,0.9803220035778175,0.9800744641694272,0.9766332152695789,0.9800744641694272,0.9783166009006246,0.9804545348942811,0.9803220035778175,0.980357393036827,0.9987825249865511,0.26304125785827637
CatBoost,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9904891304347826,0.26304125785827637
TabNet,0,0,train,0.964221824686941,0.9653302754891135,0.9567942410850774,0.9653302754891135,0.9608071346439688,0.9649787758820354,0.964221824686941,0.9643873854162971,0.99280840340893,18.55225443840027
TabNet,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9972826086956522,18.55225443840027
FT-Transformer (lite),0,0,train,0.9964221824686941,0.9972677595628415,0.9948717948717949,0.9972677595628415,0.9960528173986725,0.9964588780331178,0.9964221824686941,0.9964265025279926,0.9998867465103769,18.20236039161682
FT-Transformer (lite),0,0,test,0.9642857142857143,0.9528985507246377,0.9678362573099415,0.9528985507246377,0.9597492956126732,0.9647117794486214,0.9642857142857143,0.9639961556470096,0.9904891304347827,18.20236039161682
IGTD-inspired,0,0,train,0.9677996422182469,0.9680625159262719,0.9615159128978223,0.9680625159262719,0.9646441221116546,0.968267994714179,0.9677996422182469,0.9679130141981244,0.9958379342563493,8.559072494506836
IGTD-inspired,0,0,test,0.9714285714285714,0.9682971014492754,0.9682971014492754,0.9682971014492754,0.9682971014492754,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9966032608695652,8.559072494506836
Naive Reshape,0,0,train,0.9677996422182469,0.9705116226393726,0.9598992638512205,0.9705116226393726,0.9648073533115085,0.9688323714165511,0.9677996422182469,0.9679832182247953,0.997338542993856,6.838447570800781
Naive Reshape,0,0,test,0.9928571428571429,0.9945652173913043,0.9897959183673469,0.9945652173913043,0.9921131203875838,0.993002915451895,0.9928571428571429,0.9928744457052722,0.9988677536231884,6.838447570800781
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6920363903045654
XGBoost,0,1,test,0.95,0.9470108695652174,0.9427001569858713,0.9470108695652174,0.9447918427130866,0.9503476115721015,0.95,0.9501211199369051,0.9879981884057971,1.6920363903045654
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.97737765312195
LightGBM,0,1,test,0.95,0.9470108695652174,0.9427001569858713,0.9470108695652174,0.9447918427130866,0.9503476115721015,0.95,0.9501211199369051,0.9902626811594203,73.97737765312195
CatBoost,0,1,train,0.9821109123434705,0.983889691101107,0.9771217197096594,0.983889691101107,0.9803578456175859,0.9824827776329472,0.9821109123434705,0.9821738967767358,0.9990373453382033,0.2790813446044922
CatBoost,0,1,test,0.9571428571428572,0.9524456521739131,0.9524456521739131,0.9524456521739131,0.9524456521739131,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.990036231884058,0.2790813446044922
TabNet,0,1,train,0.9677996422182469,0.9692870692828223,0.9606784513188249,0.9692870692828223,0.9647264211795721,0.9685253686793345,0.9677996422182469,0.9679486468746674,0.9936578045811036,34.872934341430664
TabNet,0,1,test,0.9785714285714285,0.978713768115942,0.9740973312401884,0.978713768115942,0.9763393611627513,0.9787844808252972,0.9785714285714285,0.9786233371158163,0.9952445652173912,34.872934341430664
FT-Transformer (lite),0,1,train,0.9964221824686941,0.9972677595628415,0.9948717948717949,0.9972677595628415,0.9960528173986725,0.9964588780331178,0.9964221824686941,0.9964265025279926,0.9990090319657974,18.232347011566162
FT-Transformer (lite),0,1,test,0.9571428571428572,0.957427536231884,0.9488888888888889,0.957427536231884,0.9529042386185244,0.9579682539682539,0.9571428571428572,0.9573446961202065,0.9764492753623188,18.232347011566162
IGTD-inspired,0,1,train,0.9731663685152058,0.97338542993856,0.9678222669912421,0.97338542993856,0.9705020456840113,0.9734942275044058,0.9731663685152058,0.9732456638375627,0.9970554092697981,10.226397037506104
IGTD-inspired,0,1,test,0.9571428571428572,0.9524456521739131,0.9524456521739131,0.9524456521739131,0.9524456521739131,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9941123188405796,10.226397037506104
Naive Reshape,0,1,train,0.9731663685152058,0.9758345366516605,0.9660953490307014,0.9758345366516605,0.9706392142444455,0.9739875191650191,0.9731663685152058,0.9733050538105524,0.9979189671281746,9.919421434402466
Naive Reshape,0,1,test,0.9642857142857143,0.9628623188405797,0.9583987441130298,0.9628623188405797,0.960565601937919,0.9645660461986992,0.9642857142857143,0.9643722285263607,0.995697463768116,9.919421434402466
XGBoost,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018997907638549805
