model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1437067985534668
XGBoost,0,0,test,0.8260869565217391,0.8237172663402171,0.8237172663402171,0.8237172663402171,0.8237172663402171,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8909942516499895,0.1437067985534668
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.797945261001587
LightGBM,0,0,test,0.8333333333333334,0.8302107728337236,0.8314102564102563,0.8302107728337236,0.8307651292988536,0.833119658119658,0.8333333333333334,0.8331822625077756,0.8920587609112198,18.797945261001587
CatBoost,0,0,train,0.9927536231884058,0.9922684520962857,0.9930806898020013,0.9922684520962857,0.9926610383567107,0.9927740648517556,0.9927536231884058,0.9927506365809317,0.9997475955151709,0.6932101249694824
CatBoost,0,0,test,0.8405797101449275,0.840110708963168,0.8380952380952381,0.840110708963168,0.8389219015280136,0.841407867494824,0.8405797101449275,0.840816539947344,0.8961038961038962,0.6932101249694824
TabNet,0,0,train,0.8840579710144928,0.8874541686593336,0.8830575256107172,0.8874541686593336,0.8835627274165481,0.8880597526295954,0.8840579710144928,0.8843881334131226,0.9228439343216962,26.18821358680725
TabNet,0,0,test,0.855072463768116,0.8616137960400256,0.8570527643472776,0.8616137960400256,0.8547979797979799,0.8649739666639247,0.855072463768116,0.8555299370516762,0.8966361507345114,26.18821358680725
FT-Transformer (lite),0,0,train,0.9836956521739131,0.9840985174557628,0.9830013121794108,0.9840985174557628,0.9835199283475146,0.983772801062191,0.9836956521739131,0.9837049007963551,0.9976486529571178,66.26120638847351
FT-Transformer (lite),0,0,test,0.8260869565217391,0.827123695976155,0.8238145416227608,0.827123695976155,0.8247619047619048,0.8283593714207175,0.8260869565217391,0.8265286404416838,0.8620395997445177,66.26120638847351
IGTD-inspired,0,0,train,0.8985507246376812,0.8917583293479994,0.9050156567598748,0.8917583293479994,0.8959051724137931,0.9016717263518437,0.8985507246376812,0.8977089580209895,0.9687682661140337,15.693947076797485
IGTD-inspired,0,0,test,0.8043478260869565,0.7906110283159463,0.8159722222222222,0.7906110283159463,0.7953084656375322,0.8115438808373591,0.8043478260869565,0.8002956989889387,0.8703427719821163,15.693947076797485
Naive Reshape,0,0,train,0.855072463768116,0.8401881077634306,0.8824372759856631,0.8401881077634306,0.8471062362374839,0.8738857721676796,0.855072463768116,0.8508996779187372,0.9616079494128275,16.76639461517334
Naive Reshape,0,0,test,0.7536231884057971,0.7281243346817117,0.7972260748959779,0.7281243346817117,0.7284722222222222,0.7869665721924057,0.7536231884057971,0.7380535426731079,0.875665318288269,16.76639461517334
AG-T2I-step_row,0,0,train,0.8782383419689119,0.8719300152140839,0.8823488339617371,0.8719300152140839,0.8753255678108787,,,,,83.60224866867065
AG-T2I-step_row,0,0,test,0.8357487922705314,0.8293478260869565,0.837253193960511,0.8293478260869565,0.8319805194805194,0.8363659827074461,0.8357487922705314,0.8347763347763348,0.8963137996219281,83.60224866867065
AG-T2I-packed,0,0,train,0.805699481865285,0.8008041730058684,0.8046026025475254,0.8008041730058684,0.8022473445131323,,,,,83.24860715866089
AG-T2I-packed,0,0,test,0.7632850241545893,0.7576086956521739,0.7610632183908046,0.7576086956521739,0.7588731724711756,0.7626117496807151,0.7632850241545893,0.7624971934968369,0.8379017013232515,83.24860715866089
AG-T2I-packed_T,0,0,train,0.8290155440414507,0.8246848511193219,0.8282520325203252,0.8246848511193219,0.8260976408912188,,,,,83.61740589141846
AG-T2I-packed_T,0,0,test,0.7971014492753623,0.7934782608695652,0.7948717948717949,0.7934782608695652,0.7940981432360743,0.7967711301044634,0.7971014492753623,0.7968611847922192,0.8592627599243856,83.61740589141846
AG-T2I-step_sparse,0,0,train,0.805699481865285,0.7911051945229297,0.8231985039061323,0.7911051945229297,0.7957974479971222,,,,,84.64694333076477
AG-T2I-step_sparse,0,0,test,0.7874396135265701,0.7695652173913043,0.8116258741258742,0.7695652173913043,0.7737030411449016,0.8045843045843045,0.7874396135265701,0.7798979659444777,0.843383742911153,84.64694333076477
AG-T2I-attention_map,0,0,train,0.7901554404145078,0.7862149532710281,0.7880540289284444,0.7862149532710281,0.7869974861534059,,,,,101.53979182243347
AG-T2I-attention_map,0,0,test,0.821256038647343,0.8141304347826087,0.8229207151185387,0.8141304347826087,0.8168798565451285,0.8219868722200631,0.821256038647343,0.8200252374310951,0.8580340264650284,101.53979182243347
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11017751693725586
XGBoost,0,1,test,0.8985507246376812,0.8988716201830955,0.8965079365079365,0.8988716201830955,0.8974957555178269,0.8992316540142627,0.8985507246376812,0.8987014345119461,0.9271875665318288,0.11017751693725586
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.7466721534729
LightGBM,0,1,test,0.8913043478260869,0.8889716840536512,0.8903846153846153,0.8889716840536512,0.8896294321514262,0.8912021553325902,0.8913043478260869,0.8912058233746363,0.9131360442835852,18.7466721534729
CatBoost,0,1,train,0.9891304347826086,0.9882034114458791,0.9898693681684885,0.9882034114458791,0.9889823291462636,0.9892173681221239,0.9891304347826086,0.9891211781803371,0.997568946277698,0.6129968166351318
CatBoost,0,1,test,0.8913043478260869,0.8855652544177135,0.8943815331010453,0.8855652544177135,0.8887276245766812,0.8924878806241479,0.8913043478260869,0.8906908422905141,0.9263359591228443,0.6129968166351318
TabNet,0,1,train,0.8460144927536232,0.8483580424039534,0.8446087127932189,0.8483580424039534,0.8452419825649855,0.8492946459945663,0.8460144927536232,0.8464304597782742,0.891864604920559,26.77033758163452
TabNet,0,1,test,0.8913043478260869,0.894081328507558,0.889520202020202,0.894081328507558,0.8906093114199651,0.8942779241692286,0.8913043478260869,0.8916202734652332,0.903342559080264,26.77033758163452
FT-Transformer (lite),0,1,train,0.9746376811594203,0.9747329826239439,0.9740025466893039,0.9747329826239439,0.9743545496781044,0.9746830479072859,0.9746376811594203,0.9746474443139485,0.9983527286253254,65.63675737380981
FT-Transformer (lite),0,1,test,0.8188405797101449,0.8172237598467107,0.816213921901528,0.8172237598467107,0.8166746373346087,0.8192158165399474,0.8188405797101449,0.8189849758685139,0.8554396423248882,65.63675737380981
