model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.8646376811594202,0.032723897416991915,0.01282776778746083,1.0958174133300782
XGBoost,balanced_accuracy,0.8644478648908219,0.03264557885525134,0.012797066911258526,1.0958174133300782
XGBoost,precision_macro,0.8638554296949171,0.03277256950978679,0.012846847247836421,1.0958174133300782
XGBoost,recall_macro,0.8644478648908219,0.03264557885525134,0.012797066911258526,1.0958174133300782
XGBoost,f1_macro,0.863254610421132,0.03293885860616269,0.012912032573615775,1.0958174133300782
XGBoost,precision_weighted,0.8665286360606589,0.03204181787584886,0.012560392607332752,1.0958174133300782
XGBoost,recall_weighted,0.8646376811594202,0.032723897416991915,0.01282776778746083,1.0958174133300782
XGBoost,f1_weighted,0.8647012196613698,0.03267124736622747,0.01280712896756117,1.0958174133300782
XGBoost,roc_auc,0.9247075328579126,0.01731363195737564,0.006786943727291251,1.0958174133300782
LightGBM,accuracy,0.8620289855072464,0.03175754434631796,0.012448957383756641,3.0533705520629884
LightGBM,balanced_accuracy,0.8606328498521435,0.031926984627544584,0.012515377973997476,3.0533705520629884
LightGBM,precision_macro,0.8611756902392926,0.03192885309168459,0.012516110411940359,3.0533705520629884
LightGBM,recall_macro,0.8606328498521435,0.031926984627544584,0.012515377973997476,3.0533705520629884
LightGBM,f1_macro,0.8603358375346497,0.03201011220748128,0.012547963985332663,3.0533705520629884
LightGBM,precision_weighted,0.863047072313592,0.031415151231362716,0.012314739282694184,3.0533705520629884
LightGBM,recall_weighted,0.8620289855072464,0.03175754434631796,0.012448957383756641,3.0533705520629884
LightGBM,f1_weighted,0.8619813644753214,0.03172383583857355,0.012435743648720831,3.0533705520629884
LightGBM,roc_auc,0.92641847756741,0.01902691344463384,0.007458550070296465,3.0533705520629884
CatBoost,accuracy,0.8707246376811595,0.029485423248360967,0.011558285913357499,0.3954413604736328
CatBoost,balanced_accuracy,0.8700930550982042,0.02846968400263205,0.011160116129031764,0.3954413604736328
CatBoost,precision_macro,0.8697576010462256,0.029845954766922495,0.011699614268633618,0.3954413604736328
CatBoost,recall_macro,0.8700930550982042,0.02846968400263205,0.011160116129031764,0.3954413604736328
CatBoost,f1_macro,0.8693583420414345,0.02946483624758685,0.011550215809054045,0.3954413604736328
CatBoost,precision_weighted,0.8719790736741126,0.028443227417486283,0.011149745147654624,0.3954413604736328
CatBoost,recall_weighted,0.8707246376811595,0.029485423248360967,0.011558285913357499,0.3954413604736328
CatBoost,f1_weighted,0.8707945159239832,0.029304510771712526,0.01148736822251131,0.3954413604736328
CatBoost,roc_auc,0.9354751922351912,0.01700259511423245,0.00666501728477912,0.3954413604736328
TabNet,accuracy,0.8727536231884058,0.028381385547197314,0.011125503134501348,228.4977155971527
TabNet,balanced_accuracy,0.8759461698089269,0.02763782590941299,0.010834027756489893,228.4977155971527
TabNet,precision_macro,0.8735212535170436,0.026551224023427286,0.010408079817183497,228.4977155971527
TabNet,recall_macro,0.8759461698089269,0.02763782590941299,0.010834027756489893,228.4977155971527
TabNet,f1_macro,0.8720184384629652,0.028446913022458938,0.011151189904803904,228.4977155971527
TabNet,precision_weighted,0.8785146013663698,0.025920964959754215,0.010161018264223652,228.4977155971527
TabNet,recall_weighted,0.8727536231884058,0.028381385547197314,0.011125503134501348,228.4977155971527
TabNet,f1_weighted,0.8729373621918949,0.028425462114768693,0.011142781148989329,228.4977155971527
TabNet,roc_auc,0.9112609274857738,0.027784585608961562,0.010891557558712931,228.4977155971527
FT-Transformer (lite),accuracy,0.835072463768116,0.0340065394372561,0.013330563459404391,75.00808801651002
FT-Transformer (lite),balanced_accuracy,0.8326823807993615,0.034793349613209165,0.013638993048377993,75.00808801651002
FT-Transformer (lite),precision_macro,0.8347363286495663,0.034456301223676045,0.01350687007968101,75.00808801651002
FT-Transformer (lite),recall_macro,0.8326823807993615,0.034793349613209165,0.013638993048377993,75.00808801651002
FT-Transformer (lite),f1_macro,0.8326945456176861,0.034524977764962224,0.013533791283865192,75.00808801651002
FT-Transformer (lite),precision_weighted,0.8365170541350833,0.03407731208447585,0.013358306337114533,75.00808801651002
FT-Transformer (lite),recall_weighted,0.835072463768116,0.0340065394372561,0.013330563459404391,75.00808801651002
FT-Transformer (lite),f1_weighted,0.8348070779339936,0.03407008450066578,0.013355473124260987,75.00808801651002
FT-Transformer (lite),roc_auc,0.8847667929498761,0.03232472975045761,0.012671294062179383,75.00808801651002
IGTD-inspired,accuracy,0.8246376811594203,0.038571786045099796,0.015120140129679119,24.00350350379944
IGTD-inspired,balanced_accuracy,0.8218279666282672,0.04272117356653675,0.016746700038082405,24.00350350379944
IGTD-inspired,precision_macro,0.8320648074345545,0.03435213671339302,0.013466037591650062,24.00350350379944
IGTD-inspired,recall_macro,0.8218279666282672,0.04272117356653675,0.016746700038082405,24.00350350379944
IGTD-inspired,f1_macro,0.8202830218790403,0.04339541574396658,0.017011002971634902,24.00350350379944
IGTD-inspired,precision_weighted,0.8337444667943472,0.03450976672047568,0.013527828554426467,24.00350350379944
IGTD-inspired,recall_weighted,0.8246376811594203,0.038571786045099796,0.015120140129679119,24.00350350379944
IGTD-inspired,f1_weighted,0.822754980791824,0.04169557140252061,0.016344663989788077,24.00350350379944
