model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08868122100830078
XGBoost,0,0,test,0.7467532467532467,0.7112962962962963,0.7217687074829932,0.7112962962962963,0.7155576604309732,0.7422917218835586,0.7467532467532467,0.7436948559373376,0.7690740740740741,0.08868122100830078
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.8364405632019
LightGBM,0,0,test,0.7337662337662337,0.7012962962962963,0.7069293736912241,0.7012962962962963,0.703776683087028,0.730669672988348,0.7337662337662337,0.7319301388266906,0.7931481481481482,100.8364405632019
CatBoost,0,0,train,0.8664495114006515,0.8377453271028037,0.8631670183901116,0.8377453271028037,0.8479830917874396,0.8656899262411878,0.8664495114006515,0.8640333443484556,0.9446028037383178,0.4337029457092285
CatBoost,0,0,test,0.7662337662337663,0.7262962962962962,0.7459742351046699,0.7262962962962962,0.7334615384615384,0.7610055001359349,0.7662337662337663,0.7613786213786214,0.825,0.4337029457092285
TabNet,0,0,train,0.760586319218241,0.6989135514018692,0.7503786486287773,0.6989135514018692,0.7106846469703915,0.7562386076708768,0.760586319218241,0.7470835137864699,0.8283177570093458,40.68595027923584
TabNet,0,0,test,0.7467532467532467,0.69,0.7287625418060201,0.69,0.6996249062265567,0.739651652695131,0.7467532467532467,0.7351643105581591,0.7870370370370371,40.68595027923584
FT-Transformer (lite),0,0,train,0.9185667752442996,0.9135981308411215,0.908444854637748,0.9135981308411215,0.9109101672683375,0.9192648387344066,0.9185667752442996,0.9188219955101651,0.9763785046728972,24.027948141098022
FT-Transformer (lite),0,0,test,0.6883116883116883,0.662037037037037,0.659438775510204,0.662037037037037,0.6606060606060606,0.6910614895308772,0.6883116883116883,0.6895710350255805,0.735925925925926,24.027948141098022
IGTD-inspired,0,0,train,0.7671009771986971,0.7289018691588784,0.7453881701711982,0.7289018691588784,0.7352386868379233,0.7622155956175097,0.7671009771986971,0.7630620953219793,0.8292056074766356,14.194849729537964
IGTD-inspired,0,0,test,0.7077922077922078,0.6472222222222221,0.677257525083612,0.6472222222222221,0.6534133533383346,0.6957390435651305,0.7077922077922078,0.6944203583363373,0.7942592592592593,14.194849729537964
Naive Reshape,0,0,train,0.7719869706840391,0.7261331775700934,0.7546169630642955,0.7261331775700934,0.7355174578169421,0.7665829683134522,0.7719869706840391,0.7652689025243108,0.8339953271028038,15.874816417694092
Naive Reshape,0,0,test,0.7467532467532467,0.6814814814814815,0.7352941176470589,0.6814814814814815,0.6918577805140834,0.7415693550147332,0.7467532467532467,0.7307068796987222,0.7925925925925925,15.874816417694092
AG-T2I-step_row,0,0,train,0.7317073170731707,0.6687136627906977,0.7104142119097254,0.6687136627906977,0.6773129285501341,,,,,58.89969038963318
