model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.942784628541477,0.9407606833011364,0.9420172028044287,0.9407606833011364,0.9413687814185279,0.9427417215632538,0.942784628541477,0.9427439100550723,0.9877525002450045,3.9614858627319336
XGBoost,0,0,test,0.9053293611386958,0.9021376546544331,0.903800763285058,0.9021376546544331,0.902929574097476,0.9052097944825784,0.9053293611386958,0.9052316855959655,0.9701188300181589,3.9614858627319336
LightGBM,0,0,train,0.8950867610140969,0.8918274013382697,0.8931518613932217,0.8918274013382697,0.8924631157257461,0.8949604784828865,0.8950867610140969,0.8949982558480647,0.9641712334899223,8.221572399139404
LightGBM,0,0,test,0.8832616131523778,0.8796583450106941,0.8810595096454193,0.8796583450106941,0.8803279270406591,0.8831059239853325,0.8832616131523778,0.8831541066845771,0.9525948905982463,8.221572399139404
CatBoost,0,0,train,0.8828657342271511,0.8784139668564546,0.8812327046760832,0.8784139668564546,0.8797058722807904,0.8826555912302946,0.8828657342271511,0.8826484432950099,0.955371817426089,1.564603328704834
CatBoost,0,0,test,0.8710140130199713,0.8666658029074137,0.8687650120888568,0.8666658029074137,0.8676447588894997,0.8707810017759609,0.8710140130199713,0.8708299389699663,0.946465995459284,1.564603328704834
TabNet,0,0,train,0.7864492813594858,0.7698609041197947,0.7900399972626262,0.7698609041197947,0.7749438550689915,0.7882411870157549,0.7864492813594858,0.7826239657614383,0.8656931770131036,4727.599977493286
TabNet,0,0,test,0.7887013130310052,0.7726274609663871,0.7918918407013639,0.7726274609663871,0.7776328056488777,0.7902626097243821,0.7887013130310052,0.7851158173162212,0.8670182166826461,4727.599977493286
FT-Transformer (lite),0,0,train,0.8359678887693454,0.8269717409061907,0.8354523337326636,0.8269717409061907,0.8301926871271368,0.8358094171110261,0.8359678887693454,0.8349191086955022,0.9205329827116243,1918.257653951645
FT-Transformer (lite),0,0,test,0.8255544521681563,0.8164694139526354,0.82439512019954,0.8164694139526354,0.8194838157383759,0.8252049346099121,0.8255544521681563,0.824476932464916,0.9077474221769524,1918.257653951645
IGTD-inspired,0,0,train,0.795525393803967,0.7836862405048693,0.7945477329690804,0.7836862405048693,0.787293700825477,0.7951561714206404,0.795525393803967,0.7936091674199685,0.8722356454632865,1416.8877222537994
IGTD-inspired,0,0,test,0.7926735076685424,0.7806431302236672,0.7916474237641862,0.7806431302236672,0.7842576676432775,0.7922812496553995,0.7926735076685424,0.7906847365340804,0.8720081954142356,1416.8877222537994
Naive Reshape,0,0,train,0.7852906287069988,0.7678997935732133,0.7898935404416618,0.7678997935732133,0.77317400925603,0.7876620357805771,0.7852906287069988,0.7810864018337633,0.8617441113414988,1415.1526288986206
Naive Reshape,0,0,test,0.7772260840781199,0.7597951545099196,0.7807807422071034,0.7597951545099196,0.7647640679581038,0.7790484007945113,0.7772260840781199,0.7729306911776924,0.860646488918301,1415.1526288986206
XGBoost,0,1,train,0.9408535407873321,0.9389550096391273,0.9398900364663316,0.9389550096391273,0.9394111250006112,0.940812404294887,0.9408535407873321,0.9408220773998871,0.9874412822546916,1.7963416576385498
XGBoost,0,1,test,0.908529184596712,0.905735544158363,0.906847255258542,0.905735544158363,0.9062734430163306,0.9084383953313989,0.908529184596712,0.9084666142399302,0.9717150072854773,1.7963416576385498
LightGBM,0,1,train,0.8960523048911694,0.8924788562536763,0.8943831985447396,0.8924788562536763,0.893377880371537,0.8959023602185572,0.8960523048911694,0.8959265263473093,0.9643205896530418,4.905489206314087
LightGBM,0,1,test,0.8808341608738828,0.8759141479779063,0.8794714445781073,0.8759141479779063,0.8775100451864448,0.8806220518519338,0.8808341608738828,0.8805536259933623,0.9557656677623121,4.905489206314087
CatBoost,0,1,train,0.8863141052166956,0.8821514953808635,0.8846295838945433,0.8821514953808635,0.8832995629127812,0.886120607378364,0.8863141052166956,0.8861304178638137,0.9567295176100123,0.9371438026428223
CatBoost,0,1,test,0.873772481518261,0.8689264934231378,0.8719971869700194,0.8689264934231378,0.8703189052109825,0.8735225343285651,0.873772481518261,0.8735109530893123,0.9481402848013587,0.9371438026428223
TabNet,0,1,train,0.7657314684543022,0.7480253059565464,0.7680519097989129,0.7480253059565464,0.752620832918445,0.766920335273878,0.7657314684543022,0.7612161938551346,0.8356447826319642,3362.1291217803955
TabNet,0,1,test,0.7681783074037295,0.7508432864976489,0.7703752599951916,0.7508432864976489,0.7554452340888794,0.7692906683763658,0.7681783074037295,0.7638621157239858,0.8353095729773583,3362.1291217803955
FT-Transformer (lite),0,1,train,0.8444922618554994,0.8365597443031708,0.8435735742412869,0.8365597443031708,0.8393554704041253,0.844244352292449,0.8444922618554994,0.843691074543352,0.9244899639125379,951.380865573883
FT-Transformer (lite),0,1,test,0.8288646143661039,0.8199588186165367,0.827775921835896,0.8199588186165367,0.8229535747891827,0.828541085172037,0.8288646143661039,0.8278330380148174,0.9125349822497473,951.380865573883
IGTD-inspired,0,1,train,0.7957736765152142,0.7828027010863745,0.7959453484781587,0.7828027010863745,0.7868975168906336,0.7958446281232773,0.7957736765152142,0.79346165169816,0.8742584370165912,586.9214680194855
IGTD-inspired,0,1,test,0.7934458788480635,0.7800540381077294,0.7938629607846254,0.7800540381077294,0.7842508585744419,0.7936228972026127,0.7934458788480635,0.7909689733334162,0.8673205490319584,586.9214680194855
Naive Reshape,0,1,train,0.7968771552318684,0.7796797132615862,0.8028482534218204,0.7796797132615862,0.785362290948813,0.7999626533690665,0.7968771552318684,0.7928656047283028,0.873548205947307,344.13507080078125
Naive Reshape,0,1,test,0.7959836698664902,0.7787169387840529,0.8019650314349961,0.7787169387840529,0.7843852188313201,0.7990829301786875,0.7959836698664902,0.7919280744759811,0.8692146235770397,344.13507080078125
XGBoost,0,2,train,0.9419310344827586,0.9400540719185486,0.9409990781852957,0.9400540719185486,0.9405149757727401,0.9418909257967587,0.9419310344827586,0.9418998928376072,0.9880225685391705,0.21100425720214844
XGBoost,0,2,test,0.9089604943721032,0.9057975471666608,0.9075684147373488,0.9057975471666608,0.9066389221492503,0.9088465120127476,0.9089604943721032,0.9088613929686086,0.9720320225619395,0.21100425720214844
LightGBM,0,2,train,0.8958896551724138,0.8924926503432331,0.8940874162234513,0.8924926503432331,0.8932521830979006,0.895750974618798,0.8958896551724138,0.8957841192592882,0.9643309896665602,2.3606040477752686
LightGBM,0,2,test,0.879938203487089,0.8767632808222268,0.8773384452756343,0.8767632808222268,0.877045349972684,0.8798571911915478,0.879938203487089,0.8798924173163573,0.954376098619761,2.3606040477752686
CatBoost,0,2,train,0.8837241379310344,0.8791789628184306,0.8822069114066385,0.8791789628184306,0.8805590299625075,0.8835175919322933,0.8837241379310344,0.8834929632937807,0.9559975332938362,0.5615136623382568
CatBoost,0,2,test,0.8712204811299934,0.8664273514668576,0.8692742010022383,0.8664273514668576,0.8677255936404844,0.870961470466604,0.8712204811299934,0.8709713547305376,0.9482291863191823,0.5615136623382568
TabNet,0,2,train,0.7601103448275862,0.7372096036761056,0.7697682855935017,0.7372096036761056,0.7422834111951425,0.7658832336748698,0.7601103448275862,0.7525113666146377,0.8106482135614952,2010.2344970703125
TabNet,0,2,test,0.7597660560582653,0.7371336906072419,0.7688181114229196,0.7371336906072419,0.7421758035828697,0.7651392012212419,0.7597660560582653,0.7523420331503987,0.8120858703510923,2010.2344970703125
FT-Transformer (lite),0,2,train,0.8448827586206896,0.834883255865241,0.8461469187422812,0.834883255865241,0.8389296969303659,0.845330320269784,0.8448827586206896,0.8436022823007304,0.9249063639087778,631.3315975666046
FT-Transformer (lite),0,2,test,0.8338115206356213,0.8234580568689078,0.8345342129146687,0.8234580568689078,0.8273890353097237,0.8340696250209952,0.8338115206356213,0.8324153281734696,0.9169067752361978,631.3315975666046
IGTD-inspired,0,2,train,0.7841379310344827,0.7669725207874272,0.7882531630555208,0.7669725207874272,0.7721374346835583,0.786237554248655,0.7841379310344827,0.7800281324885296,0.8632788611473999,344.5731315612793
IGTD-inspired,0,2,test,0.788677996027367,0.7715271403474362,0.7933892959397129,0.7715271403474362,0.7768658144327119,0.7910891323850773,0.788677996027367,0.7846159652343849,0.8657154869840428,344.5731315612793
Naive Reshape,0,2,train,0.7933793103448276,0.7761353109345573,0.7989258307184087,0.7761353109345573,0.781690410575489,0.7962423470421759,0.7933793103448276,0.7893130001961711,0.8693700507794468,350.03871512413025
Naive Reshape,0,2,test,0.7893401015228426,0.7713864272966371,0.7954138172016174,0.7713864272966371,0.7769843569346999,0.7925467216016989,0.7893401015228426,0.7849087163330024,0.871433904866912,350.03871512413025
XGBoost,0,3,train,0.9457103448275862,0.9437638341441474,0.9450125041154565,0.9437638341441474,0.9443684390785281,0.9456717767744116,0.9457103448275862,0.9456722089626042,0.9886736073342691,2.034886121749878
XGBoost,0,3,test,0.9055396159788126,0.9017343394424464,0.9045052524565391,0.9017343394424464,0.9030152633579387,0.9054146414658387,0.9055396159788126,0.9053773115011368,0.9665326494901707,2.034886121749878
LightGBM,0,3,train,0.8964689655172414,0.893106757074142,0.8946674751498879,0.893106757074142,0.8938508867020278,0.8963331533631103,0.8964689655172414,0.8963664129832886,0.965636482767944,1.9597887992858887
LightGBM,0,3,test,0.871330832045906,0.8670687348112274,0.8690315707575249,0.8670687348112274,0.8679881479971134,0.8711063659042961,0.871330832045906,0.8711592934747474,0.9492475988935358,1.9597887992858887
CatBoost,0,3,train,0.888303448275862,0.8837712601164855,0.8870057397201436,0.8837712601164855,0.8852396562324323,0.8881190499145883,0.888303448275862,0.8880691248256386,0.9583031481886422,0.5305655002593994
CatBoost,0,3,test,0.8689031118958287,0.8641752697436286,0.8668019985704701,0.8641752697436286,0.8653799752229216,0.8686398010187377,0.8689031118958287,0.8686675952560301,0.9439983989715934,0.5305655002593994
TabNet,0,3,train,0.7672551724137932,0.7457604675372249,0.7757107199313886,0.7457604675372249,0.7510712039736056,0.7721572591968121,0.7672551724137932,0.7606488635395287,0.8357453243474083,2741.8122186660767
TabNet,0,3,test,0.7674906201721474,0.7457884653679163,0.7763468664465323,0.7457884653679163,0.7511371318167579,0.7726509101001752,0.7674906201721474,0.7607675976239783,0.8361474281985863,2741.8122186660767
FT-Transformer (lite),0,3,train,0.8409103448275862,0.8371396113948805,0.8372260357334113,0.8371396113948805,0.8371826713210325,0.8408902485961635,0.8409103448275862,0.840900150642974,0.9225208512830672,694.1540648937225
FT-Transformer (lite),0,3,test,0.8288457294195541,0.8250418637525823,0.8248001995514078,0.8250418637525823,0.8249197433506238,0.8289118524931791,0.8288457294195541,0.8288775539197446,0.9113155374274033,694.1540648937225
IGTD-inspired,0,3,train,0.7967448275862069,0.7845460033379497,0.7962209367708,0.7845460033379497,0.7883438497491717,0.7965402684802133,0.7967448275862069,0.7947068169007339,0.8728351717598745,331.50596380233765
IGTD-inspired,0,3,test,0.7891193996910174,0.7768202040613386,0.7880156446294295,0.7768202040613386,0.780447428257961,0.7886915340315119,0.7891193996910174,0.787034467081071,0.8643260016832729,331.50596380233765
Naive Reshape,0,3,train,0.7986206896551724,0.7904185332832454,0.7951872176041104,0.7904185332832454,0.7923610953831697,0.7978257526026084,0.7986206896551724,0.7978011939957936,0.8735790258644375,309.65813064575195
Naive Reshape,0,3,test,0.7906643125137939,0.7820151225407304,0.7870394891445034,0.7820151225407304,0.7840237372928924,0.7897791346523428,0.7906643125137939,0.7897407334553803,0.865633366987163,309.65813064575195
XGBoost,0,4,train,0.9403310344827586,0.9386723707105198,0.9391491972163084,0.9386723707105198,0.9389077509247857,0.9403044241368737,0.9403310344827586,0.9403148286515365,0.9871167541025071,0.33688950538635254
XGBoost,0,4,test,0.9058706687265504,0.9032493599250926,0.9039505614342037,0.9032493599250926,0.9035926125409153,0.9058029639560163,0.9058706687265504,0.9058297847318334,0.9676977066962814,0.33688950538635254
LightGBM,0,4,train,0.8954758620689656,0.8923460932968763,0.8934714433872959,0.8923460932968763,0.8928894621331358,0.8953631221638197,0.8954758620689656,0.8954010203878825,0.9650094444413295,2.0289738178253174
LightGBM,0,4,test,0.8807106598984772,0.8768548215653342,0.8785559368458327,0.8768548215653342,0.8776599579656246,0.8805289362675313,0.8807106598984772,0.8805763522662132,0.954005499422917,2.0289738178253174
CatBoost,0,4,train,0.8850482758620689,0.8808576873453831,0.8833267979240207,0.8808576873453831,0.8820014148932898,0.8848505008886038,0.8850482758620689,0.8848625873395082,0.9568476794147935,0.3775465488433838
CatBoost,0,4,test,0.8744206576914588,0.8693782631483586,0.8728162870060956,0.8693782631483586,0.8709216662423533,0.8741744423882596,0.8744206576914588,0.8741298567935438,0.9472154093501156,0.3775465488433838
TabNet,0,4,train,0.7640827586206896,0.7423906055220078,0.7722901477474944,0.7423906055220078,0.7475678778584789,0.7688562775835337,0.7640827586206896,0.7573108025531826,0.8318825696480824,1584.7074794769287
TabNet,0,4,test,0.7684837784153609,0.7466854549908895,0.7777132645872245,0.7466854549908895,0.7520949018439518,0.7738779252545668,0.7684837784153609,0.7617172122086246,0.8335695830522271,1584.7074794769287
FT-Transformer (lite),0,4,train,0.8435862068965517,0.8352049805099375,0.8430255100361149,0.8352049805099375,0.8382536661857038,0.8434241338763266,0.8435862068965517,0.8426852975573748,0.9266706054846288,669.464581489563
