model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.159594774246216
XGBoost,0,0,test,0.9480314960629921,0.9537450914171816,0.9368114488862814,0.9537450914171816,0.944388440860215,0.9507602983369259,0.9480314960629921,0.9485421958343916,0.9880472146089437,2.159594774246216
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7306931018829346
LightGBM,0,0,test,0.9433070866141732,0.9530365337624412,0.9312879741268488,0.9530365337624412,0.9408739542416417,0.9467094905975627,0.9433070866141732,0.9437307386026167,0.9872152975253843,3.7306931018829346
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0961275100708008
CatBoost,0,0,test,0.9433070866141732,0.9472091437047632,0.9319399550407524,0.9472091437047632,0.9389312838802729,0.9454907676327124,0.9433070866141732,0.9437692076220252,0.9914532207829327,1.0961275100708008
TabNet,0,0,train,0.9244094488188976,0.9283744439595806,0.9060424805894738,0.9283744439595806,0.9157197553340731,0.9290303002733186,0.9244094488188976,0.9252439699247031,0.979777299771596,591.5371313095093
TabNet,0,0,test,0.9196850393700787,0.9296806192926343,0.9027700619290435,0.9296806192926343,0.914057369359227,0.9259984918394465,0.9196850393700787,0.9206377387635158,0.9758367056935288,591.5371313095093
FT-Transformer (lite),0,0,train,0.9838582677165354,0.9852540649094218,0.9808518227586079,0.9852540649094218,0.983003042364567,0.9840324867128281,0.9838582677165354,0.98389909093584,0.998633860503405,595.3453392982483
FT-Transformer (lite),0,0,test,0.9401574803149606,0.9428518452298177,0.9322987786351602,0.9428518452298177,0.9371759444749029,0.9414757308331861,0.9401574803149606,0.9404518778579399,0.9796033379558429,595.3453392982483
IGTD-inspired,0,0,train,0.85,0.7995622888743715,0.8782360652680739,0.7995622888743715,0.8204311968318542,0.8613000128716922,0.85,0.8402294427922737,0.971556610120807,100.52718710899353
IGTD-inspired,0,0,test,0.7637795275590551,0.695346696598261,0.7548662551440328,0.695346696598261,0.7042783075187452,0.7577947409351609,0.7637795275590551,0.7431946350981793,0.9201140193381532,100.52718710899353
Naive Reshape,0,0,train,0.9326771653543308,0.9191427334167163,0.9318961192227354,0.9191427334167163,0.9223601024489011,0.9367029642830343,0.9326771653543308,0.932390756980692,0.9920912274997965,111.78140664100647
Naive Reshape,0,0,test,0.8944881889763779,0.880836495354643,0.8895964936372791,0.880836495354643,0.8815290461538664,0.8992625814488102,0.8944881889763779,0.8942076097395663,0.9729831310411807,111.78140664100647
XGBoost,0,1,train,0.9996062992125985,0.9997472832954258,0.9994562262098966,0.9997472832954258,0.9996014848867115,0.9996069414651063,0.9996062992125985,0.9996063852574254,0.9999997552618071,0.6852035522460938
XGBoost,0,1,test,0.9763779527559056,0.9731476514955864,0.9742868610418279,0.9731476514955864,0.9736991149114873,0.9763742822333843,0.9763779527559056,0.9763623767281413,0.9974881195623929,0.6852035522460938
LightGBM,0,1,train,0.9996062992125985,0.9997472832954258,0.9994562262098966,0.9997472832954258,0.9996014848867115,0.9996069414651063,0.9996062992125985,0.9996063852574254,0.9999997552618071,0.9847526550292969
LightGBM,0,1,test,0.9716535433070866,0.9689426598062393,0.9682036878562652,0.9689426598062393,0.9684332879779524,0.9719464260329193,0.9716535433070866,0.9716982409244964,0.9970339194602927,0.9847526550292969
CatBoost,0,1,train,0.9996062992125985,0.9994553376906318,0.9997474747474747,0.9994553376906318,0.9996011356994806,0.9996065974707707,0.9996062992125985,0.9996062128484104,0.9999997552618071,1.2334027290344238
CatBoost,0,1,test,0.9716535433070866,0.9689426598062393,0.9667646319022466,0.9689426598062393,0.967843807102566,0.9717383221175753,0.9716535433070866,0.9716862917558361,0.9963540206504701,1.2334027290344238
TabNet,0,1,train,0.9736220472440945,0.9745693614677432,0.9680160830694383,0.9745693614677432,0.9711536752216915,0.9741116087461648,0.9736220472440945,0.9737413388258882,0.9941730868193813,978.3112490177155
TabNet,0,1,test,0.9606299212598425,0.9536921151439298,0.9565839208879856,0.9536921151439298,0.9547913309658275,0.9610811357451328,0.9606299212598425,0.9606024476325168,0.9902459772447673,978.3112490177155
FT-Transformer (lite),0,1,train,0.9838582677165354,0.9870030554726226,0.9797603682699715,0.9870030554726226,0.9832160360707526,0.9843025661221966,0.9838582677165354,0.9839313179531562,0.9987837574902957,588.5779871940613
FT-Transformer (lite),0,1,test,0.9448818897637795,0.9365675348153446,0.9364643825009678,0.9365675348153446,0.9362393686084,0.9456240911959176,0.9448818897637795,0.9450524400236219,0.991469432401822,588.5779871940613
IGTD-inspired,0,1,train,0.8976377952755905,0.8917549480672013,0.8841428935602808,0.8917549480672013,0.8868825391593612,0.9014813188835408,0.8976377952755905,0.8987040160803024,0.9782969162091529,133.20471048355103
IGTD-inspired,0,1,test,0.8299212598425196,0.7938428326413307,0.8095107415260476,0.7938428326413307,0.7999973309204854,0.8307933363037412,0.8299212598425196,0.8290344411505481,0.9478149224434779,133.20471048355103
