model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.469619512557983
XGBoost,0,0,test,0.813953488372093,0.7609126984126985,0.8455882352941176,0.7609126984126985,0.7929292929292929,0.8180574555403556,0.813953488372093,0.8100070472163495,0.9520274584929758,4.469619512557983
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.848806619644165
LightGBM,0,0,test,0.8372093023255814,0.7713293650793651,0.9315789473684211,0.7713293650793651,0.8156366621883864,0.8565483476132191,0.8372093023255814,0.8291869317530904,0.9383514261387825,6.848806619644165
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6598758697509766
CatBoost,0,0,test,0.813953488372093,0.7609126984126985,0.8455882352941176,0.7609126984126985,0.7929292929292929,0.8180574555403556,0.813953488372093,0.8100070472163495,0.9481293177413868,0.6598758697509766
TabNet,0,0,train,0.6783625730994152,0.5494910282953761,0.7118909292111906,0.5494910282953761,0.5662762506255284,0.7097030278431494,0.6783625730994152,0.6558501783266988,0.9013624492091362,100.76424860954285
TabNet,0,0,test,0.7441860465116279,0.501984126984127,0.5485588972431078,0.501984126984127,0.49349261849261855,0.6912047560762371,0.7441860465116279,0.6992735946224319,0.9178042574594297,100.76424860954285
FT-Transformer (lite),0,0,train,0.9298245614035088,0.9157694962042787,0.9417029022145819,0.9157694962042787,0.9268130252772185,0.9285992647037082,0.9298245614035088,0.9281040264035284,0.9935809687125112,12.223753452301025
FT-Transformer (lite),0,0,test,0.7441860465116279,0.7688492063492064,0.7958754208754208,0.7688492063492064,0.7664546742349946,0.7761921540991308,0.7441860465116279,0.7384785615108642,0.9142579669160128,12.223753452301025
IGTD-inspired,0,0,train,0.6257309941520468,0.42389579020013807,0.5055093451749735,0.42389579020013807,0.4158874863643447,0.5699882327770646,0.6257309941520468,0.5736626121951286,0.8653369262867252,8.11411738395691
IGTD-inspired,0,0,test,0.5813953488372093,0.36210317460317465,0.29605263157894735,0.36210317460317465,0.3253968253968254,0.48653610771113825,0.5813953488372093,0.5293466223698782,0.7809740877988004,8.11411738395691
Naive Reshape,0,0,train,0.5029239766081871,0.35622843340234644,0.430889652539137,0.35622843340234644,0.3392654839713663,0.45939591246156625,0.5029239766081871,0.4469220982740074,0.8485048863484598,8.145847082138062
Naive Reshape,0,0,test,0.6046511627906976,0.376984126984127,0.29833129833129834,0.376984126984127,0.32687465790914066,0.5080500894454383,0.6046511627906976,0.5401764234161989,0.8187718609414012,8.145847082138062
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.926424026489258
XGBoost,0,1,test,0.7209302325581395,0.669047619047619,0.6984126984126983,0.669047619047619,0.6639846743295019,0.7331118493909191,0.7209302325581395,0.720983694199412,0.9456107111279525,2.926424026489258
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.7398293018341064
LightGBM,0,1,test,0.7906976744186046,0.7761904761904761,0.7605042016806722,0.7761904761904761,0.7669632925472748,0.7613836232167285,0.7906976744186046,0.7733140181597123,0.9513809944844427,7.7398293018341064
CatBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4686131477355957
CatBoost,0,1,test,0.7906976744186046,0.7769841269841269,0.7058404558404558,0.7769841269841269,0.7330357142857142,0.7473663287616776,0.7906976744186046,0.7618770764119601,0.9546576986232159,0.4686131477355957
