model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.7702547065337763,0.05481026536975218,0.02148562402494285,3.1359640979766845
XGBoost,balanced_accuracy,0.695829365079365,0.08963323150954461,0.03513622675174149,3.1359640979766845
XGBoost,precision_macro,0.7456706446861245,0.1092719551066241,0.04283460640179665,3.1359640979766845
XGBoost,recall_macro,0.695829365079365,0.08963323150954461,0.03513622675174149,3.1359640979766845
XGBoost,f1_macro,0.70012215224023,0.09345906418231663,0.03663595315946812,3.1359640979766845
XGBoost,precision_weighted,0.7753760108380672,0.05495251716621096,0.021541386729154698,3.1359640979766845
XGBoost,recall_weighted,0.7702547065337763,0.05481026536975218,0.02148562402494285,3.1359640979766845
XGBoost,f1_weighted,0.7612108071503283,0.054294755321272106,0.021283544085938667,3.1359640979766845
XGBoost,roc_auc,0.9335306967727435,0.025513571492593524,0.010001320025096662,3.1359640979766845
LightGBM,accuracy,0.7767441860465119,0.05220679445122167,0.020465063424878895,5.7438880062103275
LightGBM,balanced_accuracy,0.7098174603174603,0.08359491160590563,0.032769205349515,5.7438880062103275
LightGBM,precision_macro,0.7602416565813053,0.0996932459640648,0.0390797524179134,5.7438880062103275
LightGBM,recall_macro,0.7098174603174603,0.08359491160590563,0.032769205349515,5.7438880062103275
LightGBM,f1_macro,0.7144055959545236,0.08385378711405252,0.03287068454870858,5.7438880062103275
LightGBM,precision_weighted,0.7753252569232888,0.05932010386492533,0.02325348071505073,5.7438880062103275
LightGBM,recall_weighted,0.7767441860465119,0.05220679445122167,0.020465063424878895,5.7438880062103275
LightGBM,f1_weighted,0.7639294673384361,0.05511272932055658,0.021604189893658178,5.7438880062103275
LightGBM,roc_auc,0.9319798371324863,0.027079524647348023,0.010615173661760425,5.7438880062103275
CatBoost,accuracy,0.7832336655592469,0.052307296986444735,0.020504460418686338,0.3778447818756103
CatBoost,balanced_accuracy,0.6984087301587302,0.07845526521816809,0.03075446396552189,0.3778447818756103
CatBoost,precision_macro,0.7974703422079582,0.08918115692098068,0.034959013513024426,0.3778447818756103
CatBoost,recall_macro,0.6984087301587302,0.07845526521816809,0.03075446396552189,0.3778447818756103
CatBoost,f1_macro,0.7158700551294338,0.07767036358190232,0.03044678252410571,0.3778447818756103
CatBoost,precision_weighted,0.7910233211195533,0.058314365664964486,0.022859231340666076,0.3778447818756103
CatBoost,recall_weighted,0.7832336655592469,0.052307296986444735,0.020504460418686338,0.3778447818756103
CatBoost,f1_weighted,0.771035574381501,0.05471504728030205,0.021448298533878404,0.3778447818756103
CatBoost,roc_auc,0.9554363466532355,0.016555607112251736,0.00648979798800268,0.3778447818756103
TabNet,accuracy,0.6765227021040975,0.050532155253373276,0.019808604859322322,67.81370115280151
TabNet,balanced_accuracy,0.49462698412698414,0.08097943062867094,0.031743936806439006,67.81370115280151
TabNet,precision_macro,0.4784971085077043,0.1129269855842484,0.044267378349025374,67.81370115280151
TabNet,recall_macro,0.49462698412698414,0.08097943062867094,0.031743936806439006,67.81370115280151
TabNet,f1_macro,0.4705506201734901,0.0881275896557775,0.03454601514506478,67.81370115280151
TabNet,precision_weighted,0.6137117975871333,0.05859720080184989,0.022970102714325154,67.81370115280151
TabNet,recall_weighted,0.6765227021040975,0.050532155253373276,0.019808604859322322,67.81370115280151
TabNet,f1_weighted,0.627575366477659,0.052713739344111006,0.020663785822891516,67.81370115280151
TabNet,roc_auc,0.8219180599454071,0.06135130437967085,0.024049711316830973,67.81370115280151
FT-Transformer (lite),accuracy,0.7094795127353266,0.04825640959294483,0.018916512560434372,11.659159851074218
FT-Transformer (lite),balanced_accuracy,0.64725,0.0653448515887611,0.025615181822794354,11.659159851074218
FT-Transformer (lite),precision_macro,0.6663530649204022,0.10635077921814332,0.04168950545351218,11.659159851074218
FT-Transformer (lite),recall_macro,0.64725,0.0653448515887611,0.025615181822794354,11.659159851074218
FT-Transformer (lite),f1_macro,0.6328208163910992,0.06993967218121405,0.027416351495035907,11.659159851074218
FT-Transformer (lite),precision_weighted,0.699732520859209,0.046840088711225435,0.01836131477480037,11.659159851074218
FT-Transformer (lite),recall_weighted,0.7094795127353266,0.04825640959294483,0.018916512560434372,11.659159851074218
FT-Transformer (lite),f1_weighted,0.6905475117279067,0.040656101184590884,0.015937191664359626,11.659159851074218
FT-Transformer (lite),roc_auc,0.9069164414521359,0.028102230387913436,0.011016074312062066,11.659159851074218
IGTD-inspired,accuracy,0.5513399778516057,0.053874318649825774,0.021118732910731703,6.3078038787841795
IGTD-inspired,balanced_accuracy,0.3536666666666667,0.04218883876873206,0.016538024797342968,6.3078038787841795
IGTD-inspired,precision_macro,0.3159587586655429,0.04630342491514248,0.01815094256673585,6.3078038787841795
IGTD-inspired,recall_macro,0.3536666666666667,0.04218883876873206,0.016538024797342968,6.3078038787841795
IGTD-inspired,f1_macro,0.3263110078946423,0.04241037017899275,0.016624865110165157,6.3078038787841795
IGTD-inspired,precision_weighted,0.4657052400412065,0.04881477847394055,0.019135393161784694,6.3078038787841795
IGTD-inspired,recall_weighted,0.5513399778516057,0.053874318649825774,0.021118732910731703,6.3078038787841795
IGTD-inspired,f1_weighted,0.49397203625667396,0.05403194621222202,0.02118052291519103,6.3078038787841795
IGTD-inspired,roc_auc,0.8094324618978124,0.046028371985284235,0.01804312181823142,6.3078038787841795
