model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1308581829071045
XGBoost,0,0,test,0.8315217391304348,0.830105212816834,0.8293570320887511,0.830105212816834,0.8297059262576504,0.8317622621350663,0.8315217391304348,0.8316173082290024,0.9039933046389287,2.1308581829071045
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.979163408279419
LightGBM,0,0,test,0.8152173913043478,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8152173913043478,0.8152173913043478,0.8152173913043478,0.905428024868484,2.979163408279419
CatBoost,0,0,train,0.9415760869565217,0.9387280344727154,0.9433468167959671,0.9387280344727154,0.9406281247244614,0.9420679563563676,0.9415760869565217,0.9414231898223185,0.9879166262144985,0.4649202823638916
CatBoost,0,0,test,0.842391304347826,0.8423003347680535,0.8402257872846108,0.8423003347680535,0.8410343492120237,0.8433193830892042,0.842391304347826,0.8426307670188501,0.922285987565758,0.4649202823638916
TabNet,0,0,train,0.7839673913043478,0.7761252548486591,0.7851875848451191,0.7761252548486591,0.7785611698655177,0.7845614328965654,0.7839673913043478,0.7822279983196808,0.8491669342733172,80.95398139953613
TabNet,0,0,test,0.8369565217391305,0.8278335724533716,0.843609022556391,0.8278335724533716,0.8318713450292399,0.8405851585485453,0.8369565217391305,0.8350495804729215,0.8632831181252989,80.95398139953613
FT-Transformer (lite),0,0,train,0.938858695652174,0.9359797764053084,0.9405696259848462,0.9359797764053084,0.9378666421535062,0.9393339540779163,0.938858695652174,0.9386986870233566,0.9856239217941346,41.91498517990112
FT-Transformer (lite),0,0,test,0.8315217391304348,0.8313008130081301,0.8292929292929293,0.8313008130081301,0.8300712008818185,0.8324769433465086,0.8315217391304348,0.8317777164684258,0.9010043041606887,41.91498517990112
IGTD-inspired,0,0,train,0.8872282608695652,0.8808503170205297,0.8924415920214239,0.8808503170205297,0.8845058013676745,0.8896940256035526,0.8872282608695652,0.886385021200838,0.958290702971554,15.757155895233154
IGTD-inspired,0,0,test,0.8478260869565217,0.8460066953610712,0.8460066953610712,0.8460066953610712,0.8460066953610712,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.9124820659971306,15.757155895233154
Naive Reshape,0,0,train,0.8858695652173914,0.8802043270128377,0.8896321070234113,0.8802043270128377,0.8833579859329248,0.8875054529591392,0.8858695652173914,0.8851719043050394,0.9484925655138421,15.291078567504883
Naive Reshape,0,0,test,0.8586956521739131,0.8546150167384027,0.8587324625060474,0.8546150167384027,0.85625,0.8587061694116657,0.8586956521739131,0.8582880434782609,0.9283835485413677,15.291078567504883
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28406381607055664
XGBoost,0,1,test,0.8206521739130435,0.8179100908656145,0.8187102960565744,0.8179100908656145,0.8182852012569205,0.8204756395624553,0.8206521739130435,0.8205394609294185,0.9067431850789097,0.28406381607055664
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5196199417114258
LightGBM,0,1,test,0.8097826086956522,0.8081061692969871,0.8074078492186567,0.8081061692969871,0.8077324973876698,0.8100464708597627,0.8097826086956522,0.8098905092908091,0.8984935437589671,0.5196199417114258
CatBoost,0,1,train,0.9497282608695652,0.9484290867269591,0.9498232050821047,0.9484290867269591,0.9490806964007577,0.9497390499846265,0.9497282608695652,0.9496892509618057,0.9877523281778601,0.38658571243286133
CatBoost,0,1,test,0.8315217391304348,0.830105212816834,0.8293570320887511,0.830105212816834,0.8297059262576504,0.8317622621350663,0.8315217391304348,0.8316173082290024,0.9066236250597799,0.38658571243286133
TabNet,0,1,train,0.8315217391304348,0.8322293003144067,0.8295711311794818,0.8322293003144067,0.8303945764324581,0.83319368880268,0.8315217391304348,0.8318598879398277,0.9107525596887299,135.56263613700867
TabNet,0,1,test,0.8478260869565217,0.8448110951697752,0.8466346153846154,0.8448110951697752,0.8456190818650365,0.8476275083612039,0.8478260869565217,0.8476254501300231,0.9048302247728359,135.56263613700867
FT-Transformer (lite),0,1,train,0.9470108695652174,0.9462633398803612,0.946526781444285,0.9462633398803612,0.9463932543350981,0.9469987673621939,0.9470108695652174,0.9470030516509119,0.981830130766301,43.94750452041626
FT-Transformer (lite),0,1,test,0.8315217391304348,0.8324964131994261,0.8295414148595806,0.8324964131994261,0.8303945764324581,0.8335020634012891,0.8315217391304348,0.8318974600297604,0.8857006217120995,43.94750452041626
IGTD-inspired,0,1,train,0.8627717391304348,0.8715525417653077,0.8701785714285715,0.8715525417653077,0.8627593248001004,0.8792056482919256,0.8627717391304348,0.8628976559095405,0.9584923414710649,13.468620777130127
IGTD-inspired,0,1,test,0.7608695652173914,0.7723577235772358,0.7755200774068698,0.7723577235772358,0.7607565011820331,0.7859847289707831,0.7608695652173914,0.7601911810052421,0.8873744619799139,13.468620777130127
Naive Reshape,0,1,train,0.8546195652173914,0.8402985743411275,0.8811607053233848,0.8402985743411275,0.8469262601779304,0.8729455905286724,0.8546195652173914,0.8505630952874937,0.9568269568269567,13.16543173789978
Naive Reshape,0,1,test,0.8152173913043478,0.8010521281683405,0.8328926493918561,0.8010521281683405,0.8060515873015872,0.8270008966960198,0.8152173913043478,0.8106344893029676,0.8846245815399331,13.16543173789978
XGBoost,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43692827224731445
XGBoost,0,2,test,0.7771739130434783,0.7679340028694405,0.7793219493954879,0.7679340028694405,0.7706642346861226,0.77829907494215,0.7771739130434783,0.774864027174739,0.8316594930655189,0.43692827224731445
LightGBM,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.522181749343872
LightGBM,0,2,test,0.7717391304347826,0.7642276422764227,0.7714987714987716,0.7642276422764227,0.7663280116110305,0.7716323042409998,0.7717391304347826,0.7701930964851391,0.8495934959349594,2.522181749343872
CatBoost,0,2,train,0.9524456521739131,0.9500123223527479,0.9540235081374322,0.9500123223527479,0.9517073948051704,0.9528401161647928,0.9524456521739131,0.9523401868355212,0.9914340978170766,0.37057924270629883
CatBoost,0,2,test,0.7934782608695652,0.7838354854136776,0.7974937343358396,0.7838354854136776,0.787037037037037,0.7956685191238967,0.7934782608695652,0.7910628019323671,0.8682448589191774,0.37057924270629883
TabNet,0,2,train,0.842391304347826,0.8376884759863483,0.8427048043473317,0.8376884759863483,0.8395465445825159,0.8424975755340991,0.842391304347826,0.8418107411304159,0.9203154522303458,93.97973585128784
TabNet,0,2,test,0.7934782608695652,0.7814442850310857,0.8022598870056498,0.7814442850310857,0.7852579852579853,0.7988823384917711,0.7934782608695652,0.7898248050421962,0.8479196556671449,93.97973585128784
FT-Transformer (lite),0,2,train,0.9551630434782609,0.9521780691993458,0.9576983551040155,0.9521780691993458,0.9544033746909444,0.955932691650365,0.9551630434782609,0.9550271027478991,0.987483476845179,39.17139983177185
FT-Transformer (lite),0,2,test,0.7391304347826086,0.7228598756575801,0.7505376344086021,0.7228598756575801,0.7247912252274711,0.7469728845254792,0.7391304347826086,0.7316194202537271,0.8274748923959827,39.17139983177185
IGTD-inspired,0,2,train,0.8478260869565217,0.856874005810176,0.8560868560868561,0.856874005810176,0.8478215920838872,0.8652917131178002,0.8478260869565217,0.8479092421002613,0.9583952562675968,12.207504749298096
