model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9965635738831615,0.9952380952380953,0.9981481481481481,0.9952380952380953,0.9966734133584497,0.9965826651393663,0.9965635738831615,0.9965559987469347,0.9999427392357889,0.09296417236328125
XGBoost,0,0,test,0.7534246575342466,0.6296296296296297,0.6655701754385964,0.6296296296296297,0.6388041267073525,0.7380587599134824,0.7534246575342466,0.7416518374317757,0.8813131313131314,0.09296417236328125
LightGBM,0,0,train,0.9965635738831615,0.9952380952380953,0.9981481481481481,0.9952380952380953,0.9966734133584497,0.9965826651393663,0.9965635738831615,0.9965559987469347,0.9999427392357889,8.391215085983276
LightGBM,0,0,test,0.8082191780821918,0.7481481481481481,0.7365319865319865,0.7481481481481481,0.7418702811961239,0.8128891656288916,0.8082191780821918,0.8103080542668045,0.8948773448773449,8.391215085983276
CatBoost,0,0,train,0.9587628865979382,0.9238095238095237,0.9790575916230367,0.9238095238095237,0.9486227904138351,0.9613537000053974,0.9587628865979382,0.9581769656550392,0.9965973290638779,0.36423563957214355
CatBoost,0,0,test,0.7945205479452054,0.674074074074074,0.7217831813576495,0.674074074074074,0.6795986622073579,0.7829454136653204,0.7945205479452054,0.7805012140926375,0.9184944684944685,0.36423563957214355
TabNet,0,0,train,0.6769759450171822,0.4915403032721469,0.4141758241758242,0.4915403032721469,0.44894213277831496,0.587309014010045,0.6769759450171822,0.6283791162112822,0.796676767455817,18.995553016662598
TabNet,0,0,test,0.684931506849315,0.5037037037037037,0.42517006802721086,0.5037037037037037,0.4599797365754812,0.601341906625664,0.684931506849315,0.6392971645084731,0.7742784992784992,18.995553016662598
FT-Transformer (lite),0,0,train,0.9621993127147767,0.9253968253968253,0.9773881913185396,0.9253968253968253,0.9484735485608224,0.9638636577652836,0.9621993127147767,0.9613846846099248,0.9949358856945248,32.845062255859375
FT-Transformer (lite),0,0,test,0.7397260273972602,0.5851851851851851,0.6941864465084279,0.5851851851851851,0.5965580965580967,0.7305370598131105,0.7397260273972602,0.7157890240082021,0.8147667147667148,32.845062255859375
IGTD-inspired,0,0,train,0.7663230240549829,0.6218231799237386,0.8150609952688365,0.6218231799237386,0.661985522852357,0.7827622459541776,0.7663230240549829,0.7455037213559205,0.9027897796701817,7.070231914520264
IGTD-inspired,0,0,test,0.7123287671232876,0.5074074074074074,0.44119496855345913,0.5074074074074074,0.47189402076620124,0.6124838459550271,0.7123287671232876,0.6585495048776541,0.7211399711399712,7.070231914520264
Naive Reshape,0,0,train,0.7697594501718213,0.6350093109869647,0.7994174441217542,0.6350093109869647,0.6598047785547785,0.7840827999493752,0.7697594501718213,0.7502047136712086,0.8983030439541086,6.302895545959473
Naive Reshape,0,0,test,0.7397260273972602,0.6,0.7220965309200604,0.6,0.6272950417280314,0.7364718279303292,0.7397260273972602,0.7221013981076119,0.818037518037518,6.302895545959473
AG-T2I-step_row,0,0,train,0.6059113300492611,0.3321360544217687,0.2876884422110553,0.3321360544217687,0.2636074229365634,,,,,44.817251682281494
AG-T2I-step_row,0,0,test,0.6181818181818182,0.3333333333333333,0.20606060606060606,0.3333333333333333,0.2546816479400749,0.3821487603305785,0.6181818181818182,0.4723186925434116,0.641162507010442,44.817251682281494
AG-T2I-packed,0,0,train,0.6354679802955665,0.37708843537414966,0.4038800705467372,0.37708843537414966,0.3415562969703097,,,,,44.50671935081482
AG-T2I-packed,0,0,test,0.6272727272727273,0.36990950226244346,0.40083217753120665,0.36990950226244346,0.3342193868509658,0.5251796746942378,0.6272727272727273,0.5272630612343531,0.6146142786083336,44.50671935081482
AG-T2I-packed_T,0,0,train,0.6157635467980296,0.3333333333333333,0.20525451559934318,0.3333333333333333,0.2540650406504065,,,,,44.66162443161011
AG-T2I-packed_T,0,0,test,0.6090909090909091,0.3284313725490196,0.20489296636085627,0.3284313725490196,0.2523540489642185,0.3799833194328607,0.6090909090909091,0.4680020544427324,0.6578203294411055,44.66162443161011
AG-T2I-step_sparse,0,0,train,0.6206896551724138,0.3442721088435374,0.4288888888888889,0.3442721088435374,0.28,,,,,45.07295036315918
AG-T2I-step_sparse,0,0,test,0.6181818181818182,0.3333333333333333,0.20606060606060606,0.3333333333333333,0.2546816479400749,0.3821487603305785,0.6181818181818182,0.4723186925434116,0.6916436582816433,45.07295036315918
AG-T2I-attention_map,0,0,train,0.6157635467980296,0.3333333333333333,0.20525451559934318,0.3333333333333333,0.2540650406504065,,,,,53.12298250198364
AG-T2I-attention_map,0,0,test,0.6181818181818182,0.3333333333333333,0.20606060606060606,0.3333333333333333,0.2546816479400749,0.3821487603305785,0.6181818181818182,0.4723186925434116,0.6200386796835482,53.12298250198364
XGBoost,0,1,train,0.993127147766323,0.9873015873015873,0.9933862433862434,0.9873015873015873,0.990293525874289,0.9931462390225277,0.993127147766323,0.9931112325129712,0.999913568773712,0.09360194206237793
XGBoost,0,1,test,0.7397260273972602,0.6,0.6960167714884696,0.6,0.6276643990929704,0.7282501938485397,0.7397260273972602,0.7223930668157674,0.8638047138047137,0.09360194206237793
LightGBM,0,1,train,0.993127147766323,0.9873015873015873,0.9933862433862434,0.9873015873015873,0.990293525874289,0.9931462390225277,0.993127147766323,0.9931112325129712,0.999913568773712,8.08765697479248
