model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.7033028919330289,0.042013239556504975,0.016469189906149952,1.7490040206909179
XGBoost,balanced_accuracy,0.5801402257872845,0.0564730056400649,0.02213741821090544,1.7490040206909179
XGBoost,precision_macro,0.6317313034035842,0.0686228226525649,0.02690014647980544,1.7490040206909179
XGBoost,recall_macro,0.5801402257872845,0.0564730056400649,0.02213741821090544,1.7490040206909179
XGBoost,f1_macro,0.5916231499593014,0.05899186020617226,0.023124809200819524,1.7490040206909179
XGBoost,precision_weighted,0.6923194715499277,0.04802936599036124,0.018827511468221605,1.7490040206909179
XGBoost,recall_weighted,0.7033028919330289,0.042013239556504975,0.016469189906149952,1.7490040206909179
XGBoost,f1_weighted,0.6894521677468838,0.04528309092004099,0.017750971640656067,1.7490040206909179
XGBoost,roc_auc,0.8115781193087398,0.039040078373177876,0.015303710722285728,1.7490040206909179
LightGBM,accuracy,0.7120852359208524,0.042368169209681804,0.016608322330195265,2.9408748626708983
LightGBM,balanced_accuracy,0.5863925529807882,0.06618069522594952,0.025942832528572213,2.9408748626708983
LightGBM,precision_macro,0.6439515734899548,0.061512220007193856,0.024112790242819992,2.9408748626708983
LightGBM,recall_macro,0.5863925529807882,0.06618069522594952,0.025942832528572213,2.9408748626708983
LightGBM,f1_macro,0.6001228939790212,0.06591744911240631,0.02583964005206327,2.9408748626708983
LightGBM,precision_weighted,0.7006230777162196,0.04736293142293782,0.018566269117791624,2.9408748626708983
LightGBM,recall_weighted,0.7120852359208524,0.042368169209681804,0.016608322330195265,2.9408748626708983
LightGBM,f1_weighted,0.697581889936267,0.048457318056749736,0.018995268678245896,2.9408748626708983
LightGBM,roc_auc,0.8182126313518541,0.03540288985095168,0.013877932821573057,2.9408748626708983
CatBoost,accuracy,0.7065829528158295,0.04287482838578559,0.016806932727227948,0.27882887840271
CatBoost,balanced_accuracy,0.5550417904535552,0.05673193344904143,0.022238917912024238,0.27882887840271
CatBoost,precision_macro,0.6154082426379196,0.07899965616526053,0.030967865216782124,0.27882887840271
CatBoost,recall_macro,0.5550417904535552,0.05673193344904143,0.022238917912024238,0.27882887840271
CatBoost,f1_macro,0.5631591214058116,0.060410910962596556,0.02368107709733785,0.27882887840271
CatBoost,precision_weighted,0.683188960383376,0.05012203996521232,0.01964783966636323,0.27882887840271
CatBoost,recall_weighted,0.7065829528158295,0.04287482838578559,0.016806932727227948,0.27882887840271
CatBoost,f1_weighted,0.6820778829122193,0.04532588941496934,0.01776774865066798,0.27882887840271
CatBoost,roc_auc,0.8165021417688155,0.0329523434301191,0.012917318624606688,0.27882887840271
TabNet,accuracy,0.6757990867579909,0.026601605119741658,0.01042782920693873,84.80342725753785
TabNet,balanced_accuracy,0.44807724301841945,0.04968881498515221,0.019478015474179666,84.80342725753785
TabNet,precision_macro,0.5056636005877548,0.1394724998323815,0.05467321993429354,84.80342725753785
TabNet,recall_macro,0.44807724301841945,0.04968881498515221,0.019478015474179666,84.80342725753785
TabNet,f1_macro,0.4301356220451554,0.06755508821873975,0.02648159458174598,84.80342725753785
TabNet,precision_weighted,0.604526130704599,0.077260918175341,0.030286279924733674,84.80342725753785
TabNet,recall_weighted,0.6757990867579909,0.026601605119741658,0.01042782920693873,84.80342725753785
TabNet,f1_weighted,0.6035016791937388,0.047088866189617766,0.018458835546330165,84.80342725753785
TabNet,roc_auc,0.6887913374091775,0.07789663793618544,0.03053548207098469,84.80342725753785
FT-Transformer (lite),accuracy,0.649923896499239,0.052796460843293105,0.020696212650570898,32.91372117042542
FT-Transformer (lite),balanced_accuracy,0.5475024757377699,0.07559010710414782,0.029631321984825945,32.91372117042542
FT-Transformer (lite),precision_macro,0.5557943451692363,0.07311167416351017,0.028659776272095983,32.91372117042542
FT-Transformer (lite),recall_macro,0.5475024757377699,0.07559010710414782,0.029631321984825945,32.91372117042542
FT-Transformer (lite),f1_macro,0.543905346873874,0.07258435630347754,0.028453067670963193,32.91372117042542
FT-Transformer (lite),precision_weighted,0.6514881236273419,0.06026339983430119,0.023623252735046067,32.91372117042542
FT-Transformer (lite),recall_weighted,0.649923896499239,0.052796460843293105,0.020696212650570898,32.91372117042542
FT-Transformer (lite),f1_weighted,0.6452977630108805,0.0558577224461272,0.021896227198881863,32.91372117042542
FT-Transformer (lite),roc_auc,0.7414653802363057,0.05465246154135745,0.02142376492421212,32.91372117042542
IGTD-inspired,accuracy,0.6406773211567731,0.037089478530330434,0.014539075583889529,9.478032455444335
IGTD-inspired,balanced_accuracy,0.43928857199445437,0.051657739800972206,0.020249834001981104,9.478032455444335
IGTD-inspired,precision_macro,0.46114226572730976,0.1329596382617804,0.05212017819861792,9.478032455444335
