model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9296388626098633
XGBoost,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9296388626098633
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9232540130615234
LightGBM,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9232540130615234
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.603583812713623
CatBoost,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.603583812713623
TabNet,0,0,train,0.9333333333333333,0.9333333333333332,0.9368988787927095,0.9333333333333332,0.9320104418143634,0.9368988787927095,0.9333333333333333,0.9320104418143633,0.9940625000000001,5.689366579055786
TabNet,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.689366579055786
FT-Transformer (lite),0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.919717311859131
FT-Transformer (lite),0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.919717311859131
IGTD-inspired,0,0,train,0.9916666666666667,0.9916666666666667,0.991869918699187,0.9916666666666667,0.991665364379851,0.9918699186991871,0.9916666666666667,0.9916653643798512,0.999375,3.7072906494140625
IGTD-inspired,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7072906494140625
Naive Reshape,0,0,train,0.9916666666666667,0.9916666666666667,0.991869918699187,0.9916666666666667,0.991665364379851,0.9918699186991871,0.9916666666666667,0.9916653643798512,0.9998958333333334,3.288151741027832
Naive Reshape,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.288151741027832
AG-T2I-step_row,0,0,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,17.537823915481567
AG-T2I-step_row,0,0,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9962962962962963,17.537823915481567
AG-T2I-packed,0,0,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,17.52181887626648
AG-T2I-packed,0,0,test,0.9555555555555556,0.9555555555555556,0.9569444444444445,0.9555555555555556,0.9555308367321715,,,,0.9955555555555556,17.52181887626648
AG-T2I-packed_T,0,0,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,17.529821157455444
AG-T2I-packed_T,0,0,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9962962962962963,17.529821157455444
AG-T2I-step_sparse,0,0,train,0.9714285714285714,0.9714285714285715,0.971677559912854,0.9714285714285715,0.9714227393345581,,,,,17.687668561935425
AG-T2I-step_sparse,0,0,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9911111111111112,17.687668561935425
AG-T2I-attention_map,0,0,train,0.9904761904761905,0.9904761904761905,0.9907407407407408,0.9904761904761905,0.9904742464448527,,,,,17.73055338859558
AG-T2I-attention_map,0,0,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9985185185185186,17.73055338859558
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.167424201965332
XGBoost,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.167424201965332
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9750299453735352
LightGBM,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9750299453735352
CatBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5502517223358154
CatBoost,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5502517223358154
TabNet,0,1,train,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.995,6.292744874954224
TabNet,0,1,test,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9696969696969696,0.9666666666666667,0.9665831244778613,0.9933333333333333,6.292744874954224
FT-Transformer (lite),0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.153134822845459
FT-Transformer (lite),0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.153134822845459
IGTD-inspired,0,1,train,0.9916666666666667,0.9916666666666667,0.991869918699187,0.9916666666666667,0.991665364379851,0.9918699186991871,0.9916666666666667,0.9916653643798512,1.0,1.6276130676269531
IGTD-inspired,0,1,test,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9696969696969696,0.9666666666666667,0.9665831244778613,1.0,1.6276130676269531
Naive Reshape,0,1,train,0.9916666666666667,0.9916666666666667,0.991869918699187,0.9916666666666667,0.991665364379851,0.9918699186991871,0.9916666666666667,0.9916653643798512,0.9998958333333334,1.2492868900299072
Naive Reshape,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2492868900299072
AG-T2I-step_row,0,1,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,15.068359375
AG-T2I-step_row,0,1,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9962962962962963,15.068359375
AG-T2I-packed,0,1,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,15.043815612792969
AG-T2I-packed,0,1,test,0.9555555555555556,0.9555555555555556,0.9569444444444445,0.9555555555555556,0.9555308367321715,,,,0.9955555555555556,15.043815612792969
AG-T2I-packed_T,0,1,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,14.88824987411499
AG-T2I-packed_T,0,1,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9962962962962963,14.88824987411499
AG-T2I-step_sparse,0,1,train,0.9714285714285714,0.9714285714285715,0.971677559912854,0.9714285714285715,0.9714227393345581,,,,,15.261080265045166
AG-T2I-step_sparse,0,1,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9911111111111112,15.261080265045166
AG-T2I-attention_map,0,1,train,0.9904761904761905,0.9904761904761905,0.9907407407407408,0.9904761904761905,0.9904742464448527,,,,,15.035998821258545
AG-T2I-attention_map,0,1,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9985185185185186,15.035998821258545
XGBoost,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13644075393676758
XGBoost,0,2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13644075393676758
LightGBM,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9250633716583252
LightGBM,0,2,test,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9696969696969696,0.9666666666666667,0.9665831244778613,1.0,0.9250633716583252
CatBoost,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4124021530151367
CatBoost,0,2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4124021530151367
TabNet,0,2,train,0.9916666666666667,0.9916666666666667,0.991869918699187,0.9916666666666667,0.991665364379851,0.9918699186991871,0.9916666666666667,0.9916653643798512,1.0,4.392911195755005
TabNet,0,2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.392911195755005
FT-Transformer (lite),0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0606207847595215
FT-Transformer (lite),0,2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0606207847595215
IGTD-inspired,0,2,train,0.9916666666666667,0.9916666666666667,0.991869918699187,0.9916666666666667,0.991665364379851,0.9918699186991871,0.9916666666666667,0.9916653643798512,1.0,1.7831811904907227
IGTD-inspired,0,2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7831811904907227
Naive Reshape,0,2,train,0.9833333333333333,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9995833333333334,1.347832441329956
Naive Reshape,0,2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.347832441329956
AG-T2I-step_row,0,2,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,14.893052339553833
AG-T2I-step_row,0,2,test,0.9777777777777777,0.9777777777777779,0.9791666666666666,0.9777777777777779,0.9777530589543938,,,,0.9962962962962963,14.893052339553833
AG-T2I-packed,0,2,train,0.9714285714285714,0.9714285714285715,0.9722222222222222,0.9714285714285715,0.971416735708368,,,,,14.738152265548706
AG-T2I-packed,0,2,test,0.9555555555555556,0.9555555555555556,0.9569444444444445,0.9555555555555556,0.9555308367321715,,,,0.9955555555555556,14.738152265548706
