model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.05299399693806966
XGBoost,balanced_accuracy,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.05299399693806966
XGBoost,precision_macro,0.993939393939394,0.012546646533497338,0.006349479201798197,0.05299399693806966
XGBoost,recall_macro,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.05299399693806966
XGBoost,f1_macro,0.9933166248955722,0.013835900939195072,0.007001931951857668,0.05299399693806966
XGBoost,precision_weighted,0.9939393939393939,0.012546646533497382,0.0063494792017982195,0.05299399693806966
XGBoost,recall_weighted,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.05299399693806966
XGBoost,f1_weighted,0.9933166248955722,0.013835900939195072,0.007001931951857668,0.05299399693806966
XGBoost,roc_auc,1.0,0.0,0.0,0.05299399693806966
LightGBM,accuracy,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.1056110699971517
LightGBM,balanced_accuracy,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.1056110699971517
LightGBM,precision_macro,0.9959595959595959,0.010662599250742366,0.005396019725186758,0.1056110699971517
LightGBM,recall_macro,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.1056110699971517
LightGBM,f1_macro,0.9955444165970481,0.011758254812848734,0.005950497942561844,0.1056110699971517
LightGBM,precision_weighted,0.9959595959595959,0.010662599250742404,0.005396019725186777,0.1056110699971517
LightGBM,recall_weighted,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.1056110699971517
LightGBM,f1_weighted,0.9955444165970481,0.011758254812848734,0.005950497942561844,0.1056110699971517
LightGBM,roc_auc,1.0,0.0,0.0,0.1056110699971517
CatBoost,accuracy,1.0,0.0,0.0,0.13252248764038085
CatBoost,balanced_accuracy,1.0,0.0,0.0,0.13252248764038085
CatBoost,precision_macro,1.0,0.0,0.0,0.13252248764038085
CatBoost,recall_macro,1.0,0.0,0.0,0.13252248764038085
CatBoost,f1_macro,1.0,0.0,0.0,0.13252248764038085
CatBoost,precision_weighted,1.0,0.0,0.0,0.13252248764038085
CatBoost,recall_weighted,1.0,0.0,0.0,0.13252248764038085
CatBoost,f1_weighted,1.0,0.0,0.0,0.13252248764038085
CatBoost,roc_auc,1.0,0.0,0.0,0.13252248764038085
TabNet,accuracy,1.0,0.0,0.0,2.362861442565918
TabNet,balanced_accuracy,1.0,0.0,0.0,2.362861442565918
TabNet,precision_macro,1.0,0.0,0.0,2.362861442565918
TabNet,recall_macro,1.0,0.0,0.0,2.362861442565918
TabNet,f1_macro,1.0,0.0,0.0,2.362861442565918
