model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9620136698212408,0.9500104901500096,0.9669278588494892,0.9500104901500096,0.9576105816613122,0.9627377097611793,0.9620136698212408,0.9616635057954716,0.994026221870414,2.902107000350952
XGBoost,0,0,test,0.8788117770767613,0.8522657644861309,0.8781064511090284,0.8522657644861309,0.8627027356278949,0.8786464364366288,0.8788117770767613,0.8766729711130975,0.93717641301985,2.902107000350952
LightGBM,0,0,train,0.9230415352260778,0.9023819223505362,0.9281527654102714,0.9023819223505362,0.9131590520192062,0.9241416226683643,0.9230415352260778,0.9218497843776355,0.9738357946272057,6.659475803375244
LightGBM,0,0,test,0.8774973711882229,0.8491968327472373,0.8783093095706926,0.8491968327472373,0.8606695480184602,0.8777033053618479,0.8774973711882229,0.8750533908186355,0.9377348691584565,6.659475803375244
CatBoost,0,0,train,0.901813880126183,0.8779727403861682,0.9046900202449675,0.8779727403861682,0.8889093722655188,0.9024737524921178,0.901813880126183,0.9001417186756688,0.9549013059218531,0.9216306209564209
CatBoost,0,0,test,0.8819663512092534,0.8548691645199051,0.8827517085772212,0.8548691645199051,0.8660021886883458,0.8821584907792241,0.8819663512092534,0.8797413384588146,0.9390291412842491,0.9216306209564209
TabNet,0,0,train,0.8495662460567823,0.8064239594836782,0.8598493612343975,0.8064239594836782,0.8234420223057093,0.8533952480653548,0.8495662460567823,0.8435897663706919,0.9006802353165604,1751.4630372524261
TabNet,0,0,test,0.8512092534174553,0.8088876384430049,0.860810355689988,0.8088876384430049,0.8256696096022178,0.8547221146305257,0.8512092534174553,0.8454908991016808,0.9023241416465482,1751.4630372524261
FT-Transformer (lite),0,0,train,0.8938617245005258,0.8608943499341655,0.906552522890671,0.8608943499341655,0.8773905646410816,0.8979250735031536,0.8938617245005258,0.8907222511401905,0.9500679468091142,695.7943770885468
FT-Transformer (lite),0,0,test,0.8714511041009464,0.8349427097371163,0.8807066296149266,0.8349427097371163,0.8509430069085328,0.8745253389347861,0.8714511041009464,0.8673669259924642,0.9349468329746217,695.7943770885468
IGTD-inspired,0,0,train,0.8341876971608833,0.7840885688811665,0.848397955940652,0.7840885688811665,0.8023242597998963,0.8400717477200035,0.8341876971608833,0.8258684660934786,0.8993770603199255,277.7710542678833
IGTD-inspired,0,0,test,0.8259726603575184,0.775041922107799,0.8372168230656429,0.775041922107799,0.7924914005302732,0.8306197805629529,0.8259726603575184,0.8172517562925684,0.8963674277576956,277.7710542678833
Naive Reshape,0,0,train,0.8564668769716088,0.8268815137793211,0.8526987018436802,0.8268815137793211,0.8370706664753389,0.8555402558910358,0.8564668769716088,0.8537477129858461,0.9090169445995997,368.8918972015381
Naive Reshape,0,0,test,0.8477917981072555,0.8177297090479899,0.8420266782590986,0.8177297090479899,0.8273475564467484,0.8464047598642178,0.8477917981072555,0.8449961378649097,0.9088261233775743,368.8918972015381
XGBoost,0,1,train,0.958596214511041,0.9456646601669729,0.9637770849799646,0.9456646601669729,0.9537355888478931,0.9594057860459981,0.958596214511041,0.958184263674221,0.9932187313255202,1.200864553451538
XGBoost,0,1,test,0.8761829652996845,0.8490399374965703,0.8753671292190517,0.8490399374965703,0.8596097355566652,0.8759883521106387,0.8761829652996845,0.8739385416849069,0.9351499630576111,1.200864553451538
LightGBM,0,1,train,0.9223843322818086,0.9014475175663836,0.9276552172730639,0.9014475175663836,0.9123735694994592,0.9235331149081079,0.9223843322818086,0.9211599943875645,0.9750706676177736,3.2671186923980713
LightGBM,0,1,test,0.8788117770767613,0.8500389130539577,0.8805524096314061,0.8500389130539577,0.8619631735236645,0.8792651617343192,0.8788117770767613,0.8762889237230621,0.9361510608695968,3.2671186923980713
CatBoost,0,1,train,0.9041140904311251,0.8806873259949327,0.9071617568492796,0.8806873259949327,0.8915613210865698,0.9048060777034663,0.9041140904311251,0.9025065018517471,0.957394343351182,0.7922608852386475
CatBoost,0,1,test,0.8817034700315457,0.8527822303016117,0.8845063003863205,0.8527822303016117,0.8651155240858381,0.8824470037017331,0.8817034700315457,0.8791667826455454,0.939154960664011,0.7922608852386475
TabNet,0,1,train,0.8631703470031545,0.8217898080828239,0.8766324873358239,0.8217898080828239,0.8396081153198973,0.8681334521663597,0.8631703470031545,0.8578454119279604,0.9136536666792013,1953.5777306556702
TabNet,0,1,test,0.860410094637224,0.8171803482862339,0.8755325106071374,0.8171803482862339,0.8356300289847242,0.8661639086082327,0.860410094637224,0.8545883730519718,0.9118316906577442,1953.5777306556702
FT-Transformer (lite),0,1,train,0.8922187171398528,0.866938561251536,0.8940040322240259,0.866938561251536,0.8779042571519655,0.8926395025440466,0.8922187171398528,0.8903064591453096,0.948421793634738,543.6376481056213
FT-Transformer (lite),0,1,test,0.879074658254469,0.8504128846321177,0.8807673364773089,0.8504128846321177,0.8622914035536159,0.8795139115809727,0.879074658254469,0.8765723356409382,0.9371718653314248,543.6376481056213
IGTD-inspired,0,1,train,0.839248159831756,0.7900435547239633,0.8544984316310978,0.7900435547239633,0.8085856181733833,0.8455185559590095,0.839248159831756,0.8313131572613791,0.9014996131194789,348.15504002571106
IGTD-inspired,0,1,test,0.8354363827549948,0.7843937885852414,0.8517232419152907,0.7843937885852414,0.8031787573263367,0.8422852158377859,0.8354363827549948,0.8268483136473651,0.8982287966301024,348.15504002571106
Naive Reshape,0,1,train,0.8543638275499474,0.816879394911098,0.8586545117605835,0.816879394911098,0.8314526963334942,0.8557663297553925,0.8543638275499474,0.8498877848024906,0.9071472257270954,158.8365159034729
Naive Reshape,0,1,test,0.8617245005257623,0.8253881679455273,0.8670855401432767,0.8253881679455273,0.8401324639190183,0.8634493007868593,0.8617245005257623,0.857585254595428,0.9095564821386506,158.8365159034729
XGBoost,0,2,train,0.9669426919032598,0.955985173284631,0.9718164382541739,0.955985173284631,0.9631543724433831,0.9676176899671215,0.9669426919032598,0.966660839071955,0.9951059903643401,0.2460160255432129
XGBoost,0,2,test,0.8759200841219769,0.8507959368487665,0.8731219053022488,0.8507959368487665,0.8600215858993745,0.87531991763418,0.8759200841219769,0.8740102801233179,0.9312473253588112,0.2460160255432129
LightGBM,0,2,train,0.923698738170347,0.9034734034188974,0.9284354625109714,0.9034734034188974,0.9139694129383062,0.9246944609156128,0.923698738170347,0.9225560130453798,0.9754540184263523,2.4713470935821533
LightGBM,0,2,test,0.8785488958990536,0.8509432315363381,0.879018193815988,0.8509432315363381,0.8620940973742568,0.8786652817824534,0.8785488958990536,0.8762196778430321,0.9347569395194677,2.4713470935821533
CatBoost,0,2,train,0.9025368033648791,0.8797112143849073,0.9044182061505206,0.8797112143849073,0.8899661334188808,0.902945690556074,0.9025368033648791,0.9010042717576185,0.9564766942449383,0.5420739650726318
CatBoost,0,2,test,0.8748685594111462,0.8470790190537498,0.8744776168209019,0.8470790190537498,0.8579736627105095,0.8747723917151502,0.8748685594111462,0.8724991531665447,0.9302744530396654,0.5420739650726318
TabNet,0,2,train,0.8659305993690851,0.8300935337257569,0.8722456569744785,0.8300935337257569,0.8450472501296156,0.8679609814717808,0.8659305993690851,0.861930387466788,0.9219295759438154,1915.3171124458313
TabNet,0,2,test,0.868559411146162,0.8309311570088631,0.8784956538739381,0.8309311570088631,0.8472781791833253,0.871948877123394,0.868559411146162,0.8641832704890152,0.9199095743971525,1915.3171124458313
FT-Transformer (lite),0,2,train,0.8939274447949527,0.8676393391066459,0.8973727925035222,0.8676393391066459,0.8794940231869237,0.8947864909323952,0.8939274447949527,0.891871792268173,0.9497790770151808,341.39761686325073
FT-Transformer (lite),0,2,test,0.879074658254469,0.850323139086191,0.8809917769424782,0.850323139086191,0.8622914035536159,0.8795765217853614,0.879074658254469,0.876547059654943,0.930907577735832,341.39761686325073
