model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.5653510093688965
XGBoost,0,0,test,0.9197080291970803,0.9473684210526315,0.954939431913116,0.9473684210526315,0.9501090584681916,0.9215762947514772,0.9197080291970803,0.9192503503366534,0.9985237862458003,5.5653510093688965
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.54220676422119
LightGBM,0,0,test,0.9416058394160584,0.9663742690058479,0.975438596491228,0.9663742690058479,0.9695329655407869,0.9452554744525548,0.9416058394160584,0.9419996965363172,0.9991400068799449,21.54220676422119
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1003756523132324
CatBoost,0,0,test,0.9343065693430657,0.9707602339181286,0.9668893596219652,0.9707602339181286,0.9677010561155909,0.9377821970124968,0.9343065693430657,0.9345892592101717,0.9990410753405703,2.1003756523132324
TabNet,0,0,train,0.8608058608058609,0.8798430266707123,0.8470252455925071,0.8798430266707123,0.8505581991384353,0.8856749531766691,0.8608058608058609,0.8592193192262512,0.9932745964251598,202.1797320842743
TabNet,0,0,test,0.8540145985401459,0.861111111111111,0.8317993702204228,0.861111111111111,0.8313130559826135,0.8738673654002121,0.8540145985401459,0.8496616631454791,0.992678605858214,202.1797320842743
FT-Transformer (lite),0,0,train,0.978021978021978,0.986211247296323,0.9914392727556475,0.986211247296323,0.9885783151572625,0.9782050467447058,0.978021978021978,0.9779208604208603,0.999800228347281,79.97966766357422
FT-Transformer (lite),0,0,test,0.9416058394160584,0.976608187134503,0.9743685839986964,0.976608187134503,0.9752425159627377,0.9425843483763078,0.9416058394160584,0.9416541946699458,0.9990171507199371,79.97966766357422
IGTD-inspired,0,0,train,0.7985347985347986,0.738436300395565,0.7799872949801921,0.738436300395565,0.7290144248821884,0.7759307821142828,0.7985347985347986,0.7627644210920814,0.9898376306237324,20.42483687400818
IGTD-inspired,0,0,test,0.7737226277372263,0.7251461988304094,0.7502205806914948,0.7251461988304094,0.7154458574126165,0.7497246766551415,0.7737226277372263,0.739200388028663,0.9906928982350096,20.42483687400818
Naive Reshape,0,0,train,0.7637362637362637,0.7119740646507049,0.8108823615797051,0.7119740646507049,0.729857805232173,0.7856162693430383,0.7637362637362637,0.7474898760354349,0.9847688715534787,19.330162048339844
Naive Reshape,0,0,test,0.7153284671532847,0.6695906432748537,0.7224234829497987,0.6695906432748537,0.6751425131456091,0.7299870445855847,0.7153284671532847,0.6944555194340509,0.9781248343058369,19.330162048339844
XGBoost,0,1,train,0.9981684981684982,0.9992790194664745,0.9992790194664745,0.9992790194664745,0.9992740471869329,0.9981935872346832,0.9981684981684982,0.9981684981684982,0.9999984667732518,3.580900192260742
XGBoost,0,1,test,0.9343065693430657,0.9402123730378578,0.959696454759189,0.9402123730378578,0.9430960814861743,0.939221389669967,0.9343065693430657,0.9324529154069731,0.9991759869667697,3.580900192260742
LightGBM,0,1,train,0.9981684981684982,0.9992790194664745,0.9992790194664745,0.9992790194664745,0.9992740471869329,0.9981935872346832,0.9981684981684982,0.9981684981684982,0.9999984667732518,20.80124831199646
LightGBM,0,1,test,0.948905109489051,0.9488304093567251,0.9734670108285067,0.9488304093567251,0.9547789232150781,0.9532069639925961,0.948905109489051,0.9465944761319098,0.9993910016860557,20.80124831199646
CatBoost,0,1,train,0.9963369963369964,0.9985580389329488,0.9985775248933143,0.9985580389329488,0.9985480253144277,0.9964359964359965,0.9963369963369964,0.9963366478777438,0.9999984667732518,1.7358169555664062
CatBoost,0,1,test,0.948905109489051,0.9590643274853801,0.9738876175947113,0.9590643274853801,0.9632034632034632,0.953982862583307,0.948905109489051,0.9479992837657072,0.9985241698288154,1.7358169555664062
TabNet,0,1,train,0.9468864468864469,0.973850196885525,0.9592615625737224,0.973850196885525,0.9632227033869565,0.9559900519260126,0.9468864468864469,0.9466180813152401,0.9985721696467912,396.1287896633148
TabNet,0,1,test,0.9197080291970803,0.9269005847953217,0.9505263157894738,0.9269005847953217,0.9278974949335059,0.936058394160584,0.9197080291970803,0.9163351311257573,0.9970194394173151,396.1287896633148
FT-Transformer (lite),0,1,train,0.9798534798534798,0.9920692141312185,0.9930247305009512,0.9920692141312185,0.9919763566622649,0.9825235005957897,0.9798534798534798,0.9797475722206905,0.99975008404004,81.94242811203003
FT-Transformer (lite),0,1,test,0.9416058394160584,0.9561403508771928,0.9821052631578947,0.9561403508771928,0.9619827079660874,0.9535766423357663,0.9416058394160584,0.9381634244868974,0.9932344942922627,81.94242811203003
IGTD-inspired,0,1,train,0.8351648351648352,0.8129921055569939,0.8701647450549039,0.8129921055569939,0.8185689789538632,0.8429203460650143,0.8351648351648352,0.8187335893735032,0.989794950143029,21.33722424507141
IGTD-inspired,0,1,test,0.8102189781021898,0.7910895660203139,0.7945545682387788,0.7910895660203139,0.7863293216478812,0.7932631845040603,0.8102189781021898,0.7897509712722928,0.9818024600954205,21.33722424507141
Naive Reshape,0,1,train,0.7655677655677655,0.7134469248834786,0.7913599902753945,0.7134469248834786,0.7099862805638547,0.7705409020067543,0.7655677655677655,0.7390628138305612,0.9895383258426591,21.667922735214233
Naive Reshape,0,1,test,0.7518248175182481,0.7046783625730995,0.7376553070127033,0.7046783625730995,0.685762242850528,0.7674564206751161,0.7518248175182481,0.7263188836122673,0.980862604991603,21.667922735214233
