model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.9396844139115501,0.021043128311293124,0.008248906298026906,4.100714912414551
XGBoost,balanced_accuracy,0.9619128962757771,0.01753152470817743,0.006872357685605552,4.100714912414551
XGBoost,precision_macro,0.9693198768734154,0.012105819211540423,0.004745481130923846,4.100714912414551
XGBoost,recall_macro,0.9619128962757771,0.01753152470817743,0.006872357685605552,4.100714912414551
XGBoost,f1_macro,0.9619750783918074,0.016734040957993093,0.0065597440555332925,4.100714912414551
XGBoost,precision_weighted,0.944715534323391,0.01930088536508199,0.00756594706311214,4.100714912414551
XGBoost,recall_weighted,0.9396844139115501,0.021043128311293124,0.008248906298026906,4.100714912414551
XGBoost,f1_weighted,0.9386007059225782,0.022075483547372488,0.008653589550570015,4.100714912414551
XGBoost,roc_auc,0.9985276329876407,0.0009023406462895688,0.00035371753334551096,4.100714912414551
LightGBM,accuracy,0.9408587376556461,0.01575833411273364,0.0061772669721915875,18.21763910293579
LightGBM,balanced_accuracy,0.9612219144352108,0.0136864042386662,0.005365070461557151,18.21763910293579
LightGBM,precision_macro,0.9706728472006755,0.008657981705352185,0.0033939288284980567,18.21763910293579
LightGBM,recall_macro,0.9612219144352108,0.0136864042386662,0.005365070461557151,18.21763910293579
LightGBM,f1_macro,0.9623574310047023,0.013068755228333099,0.005122952049506575,18.21763910293579
LightGBM,precision_weighted,0.945268795581797,0.014179030370675989,0.005558179905304987,18.21763910293579
LightGBM,recall_weighted,0.9408587376556461,0.01575833411273364,0.0061772669721915875,18.21763910293579
LightGBM,f1_weighted,0.9395799404949515,0.016821382173776968,0.006593981812120571,18.21763910293579
LightGBM,roc_auc,0.9985522181007025,0.000907525741450188,0.0003557500906484737,18.21763910293579
CatBoost,accuracy,0.940541004723057,0.015929777906051705,0.006244472939172269,1.6346771717071533
CatBoost,balanced_accuracy,0.9614435210834102,0.013355063829227716,0.005235185021057264,1.6346771717071533
CatBoost,precision_macro,0.9672170993234357,0.010914682318793757,0.004278555468967152,1.6346771717071533
CatBoost,recall_macro,0.9614435210834102,0.013355063829227716,0.005235185021057264,1.6346771717071533
CatBoost,f1_macro,0.9612870274651312,0.012596689740845712,0.004937902378411519,1.6346771717071533
CatBoost,precision_weighted,0.9448237792083113,0.015238090537447497,0.005973331490679418,1.6346771717071533
CatBoost,recall_weighted,0.940541004723057,0.015929777906051705,0.006244472939172269,1.6346771717071533
CatBoost,f1_weighted,0.9394993896392764,0.016704600673749487,0.006548203464109798,1.6346771717071533
CatBoost,roc_auc,0.9986386705138139,0.0008531959647435014,0.0003344528181794525,1.6346771717071533
TabNet,accuracy,0.9156633748389867,0.038157386246180584,0.014957695408502789,303.585963344574
TabNet,balanced_accuracy,0.9108171745152355,0.05937353304845746,0.023274424954995324,303.585963344574
TabNet,precision_macro,0.9030457343990907,0.07615435167125384,0.029852505855131505,303.585963344574
TabNet,recall_macro,0.9108171745152355,0.05937353304845746,0.023274424954995324,303.585963344574
TabNet,f1_macro,0.8981290517067412,0.07167476535262302,0.02809650801822822,303.585963344574
TabNet,precision_weighted,0.9160018838697533,0.04713465644969753,0.018476785328281432,303.585963344574
TabNet,recall_weighted,0.9156633748389867,0.038157386246180584,0.014957695408502789,303.585963344574
