model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29845190048217773
XGBoost,0,0,test,0.9965277777777778,0.9888994896491149,0.9666736286570997,0.9888994896491149,0.9774991922973065,0.9966546445420412,0.9965277777777778,0.9965690351604473,0.999532501451846,0.29845190048217773
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.18074917793274
LightGBM,0,0,test,0.9958333333333333,0.9886496145866461,0.9622890559732665,0.9886496145866461,0.9751369016074899,0.9959873294346978,0.9958333333333333,0.9958804392627922,0.9995314994713503,42.18074917793274
CatBoost,0,0,train,0.9989583333333333,0.9996249062265566,0.988022970991341,0.9996249062265566,0.9937479498013057,0.9989809472803188,0.9989583333333333,0.9989637706832986,0.9999909356846711,0.8498380184173584
CatBoost,0,0,test,0.9958333333333333,0.9985007496251873,0.955075075075075,0.9985007496251873,0.9756965616469749,0.9961706706706707,0.9958333333333333,0.9959173870795771,0.9995774673328331,0.8498380184173584
TabNet,0,0,train,0.9375,0.5292643267226899,0.925940053668553,0.5292643267226899,0.5548842405837322,0.9399106745796786,0.9375,0.9120146290116095,0.9586508645252798,176.85655641555786
TabNet,0,0,test,0.9375,0.5442051701422016,0.6051840056617127,0.5442051701422016,0.5681477081856443,0.8913690212903986,0.9375,0.9132607980635974,0.9456499946620709,176.85655641555786
FT-Transformer (lite),0,0,train,0.9977430555555555,0.9942997967536996,0.983004897865579,0.9942997967536996,0.9885423348039777,0.9978117057007989,0.9977430555555555,0.9977595462510404,0.9998886752769746,273.9405210018158
FT-Transformer (lite),0,0,test,0.9909722222222223,0.9628818840890888,0.9343902760362718,0.9628818840890888,0.9482189611200841,0.991311602935119,0.9909722222222223,0.9910795897078396,0.9987026607926947,273.9405210018158
IGTD-inspired,0,0,train,0.9930555555555556,0.9500281005640732,0.9719790858520986,0.9500281005640732,0.9606940861111118,0.9929940030017653,0.9930555555555556,0.993001688189596,0.999562338530327,92.0878095626831
IGTD-inspired,0,0,test,0.9840277777777777,0.8722804434229544,0.9404199131797202,0.8722804434229544,0.9039444617822897,0.9834978692900342,0.9840277777777777,0.9835363148817864,0.9977906955573038,92.0878095626831
Naive Reshape,0,0,train,0.9913194444444444,0.9453013820550843,0.9661372617257982,0.9453013820550843,0.9554609322454478,0.9911816778025159,0.9913194444444444,0.9912099159566959,0.9993455824954302,97.43955779075623
Naive Reshape,0,0,test,0.9840277777777777,0.8821315784614958,0.9416484898986187,0.8821315784614958,0.9101648638447887,0.9835743371947052,0.9840277777777777,0.9836239547112942,0.9977787185415273,97.43955779075623
AG-T2I-step_row,0,0,train,0.9789186507936508,0.9247009894297956,0.8912503922478194,0.9247009894297956,0.9071644848499071,,,,,233.7199604511261
AG-T2I-step_row,0,0,test,0.9685185185185186,0.8866666666666667,0.8563432757391006,0.8866666666666667,0.8699068324117447,0.971174500319418,0.9685185185185186,0.9695872675727863,0.9923579944887262,233.7199604511261
AG-T2I-packed,0,0,train,0.941468253968254,0.5836043348724492,0.6132575904958303,0.5836043348724492,0.5960474520791665,,,,,229.55656456947327
AG-T2I-packed,0,0,test,0.9425925925925925,0.5863333333333333,0.630817610062893,0.5863333333333333,0.604782452355268,0.8946322501747029,0.9425925925925925,0.9176055775300651,0.9090060662981685,229.55656456947327
AG-T2I-packed_T,0,0,train,0.941468253968254,0.5870992705761939,0.6064475003983989,0.5870992705761939,0.5952130216342462,,,,,230.77693676948547
AG-T2I-packed_T,0,0,test,0.9416666666666667,0.5795,0.6223270440251573,0.5795,0.5972132326501258,0.8936167889587701,0.9416666666666667,0.9166416956330656,0.9472176207733911,230.77693676948547
AG-T2I-step_sparse,0,0,train,0.9717261904761905,0.8489446644906004,0.8863586282801732,0.8489446644906004,0.8662425977504377,,,,,242.6536900997162
AG-T2I-step_sparse,0,0,test,0.9597222222222223,0.7975909090909091,0.8437818977858523,0.7975909090909091,0.8182044155198517,0.9564764631342733,0.9597222222222223,0.9576946446819675,0.9897909490670198,242.6536900997162
AG-T2I-attention_map,0,0,train,0.9600694444444444,0.8069644060672688,0.8130687914903273,0.8069644060672688,0.806331982349994,,,,,302.66142416000366
AG-T2I-attention_map,0,0,test,0.9527777777777777,0.7677727272727273,0.798227026399389,0.7677727272727273,0.7814076998271476,0.9493485776051404,0.9527777777777777,0.9508008245613142,0.987231675266128,302.66142416000366
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31009626388549805
XGBoost,0,1,test,0.9916666666666667,0.9293846803224147,0.9649520891093925,0.9293846803224147,0.9450467199360911,0.9916841823126936,0.9916666666666667,0.9915183328499143,0.9995139657734096,0.31009626388549805
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.28548240661621
LightGBM,0,1,test,0.9923611111111111,0.9338891848269193,0.9522593966174808,0.9338891848269193,0.9423672040994875,0.9922102052044154,0.9923611111111111,0.9922319918343538,0.9996431068120041,43.28548240661621
CatBoost,0,1,train,0.9991319444444444,0.9996874804675292,0.9903948065712771,0.9996874804675292,0.9949962513262823,0.9991457795111287,0.9991319444444444,0.999135233673117,0.9999646249202083,2.2983646392822266
CatBoost,0,1,test,0.9923611111111111,0.9578455219865573,0.9432479919678715,0.9578455219865573,0.9499881553996549,0.9926032776941097,0.9923611111111111,0.9923990149271997,0.9994648988738856,2.2983646392822266
TabNet,0,1,train,0.9387152777777777,0.5345308459687789,0.7009513370831705,0.5345308459687789,0.5717844583366842,0.9018528210455835,0.9387152777777777,0.9136149325447971,0.9513589864112125,160.94391465187073
TabNet,0,1,test,0.9368055555555556,0.4992039369383705,0.959295110449243,0.4992039369383705,0.5445452712240372,0.9400637048068172,0.9368055555555556,0.9111550043691605,0.9433137289451533,160.94391465187073
FT-Transformer (lite),0,1,train,0.9973958333333334,0.979645847897717,0.989288552718374,0.979645847897717,0.98438765732815,0.9973990507612629,0.9973958333333334,0.9973846409561021,0.9999397590932609,286.69981050491333
FT-Transformer (lite),0,1,test,0.9888888888888889,0.9465160106570458,0.9299097940508293,0.9465160106570458,0.9370061761472114,0.9892202917202918,0.9888888888888889,0.9889511684303351,0.9988068156657381,286.69981050491333
IGTD-inspired,0,1,train,0.9935763888888889,0.9480078384777316,0.9802505948616006,0.9480078384777316,0.9636807268608457,0.9935107988087708,0.9935763888888889,0.9934903152195871,0.9997407229859375,88.30655765533447
IGTD-inspired,0,1,test,0.9784722222222222,0.8496238514993203,0.9115089257130115,0.8496238514993203,0.8783769874338132,0.9776900530055476,0.9784722222222222,0.977889373167299,0.9962637416712602,88.30655765533447
Naive Reshape,0,1,train,0.9916666666666667,0.9661003025005569,0.9481350308538631,0.9661003025005569,0.9563478253155321,0.9918386918901618,0.9916666666666667,0.991691403772285,0.9992255772045379,92.4308340549469
Naive Reshape,0,1,test,0.98125,0.9099580382401088,0.8810834590246355,0.9099580382401088,0.8950220155869232,0.9820760537120832,0.98125,0.9815854298681559,0.9960951547127411,92.4308340549469
AG-T2I-step_row,0,1,train,0.9789186507936508,0.9247009894297956,0.8912503922478194,0.9247009894297956,0.9071644848499071,,,,,231.70504593849182
AG-T2I-step_row,0,1,test,0.9685185185185186,0.8866666666666667,0.8563432757391006,0.8866666666666667,0.8699068324117447,0.971174500319418,0.9685185185185186,0.9695872675727863,0.9923579944887262,231.70504593849182
AG-T2I-packed,0,1,train,0.941468253968254,0.5836043348724492,0.6132575904958303,0.5836043348724492,0.5960474520791665,,,,,188.9492530822754
AG-T2I-packed,0,1,test,0.9425925925925925,0.5863333333333333,0.630817610062893,0.5863333333333333,0.604782452355268,0.8946322501747029,0.9425925925925925,0.9176055775300651,0.9090060662981685,188.9492530822754
AG-T2I-packed_T,0,1,train,0.941468253968254,0.5870992705761939,0.6064475003983989,0.5870992705761939,0.5952130216342462,,,,,189.18460988998413
AG-T2I-packed_T,0,1,test,0.9416666666666667,0.5795,0.6223270440251573,0.5795,0.5972132326501258,0.8936167889587701,0.9416666666666667,0.9166416956330656,0.9472176207733911,189.18460988998413
AG-T2I-step_sparse,0,1,train,0.9717261904761905,0.8489446644906004,0.8863586282801732,0.8489446644906004,0.8662425977504377,,,,,151.92960715293884
AG-T2I-step_sparse,0,1,test,0.9597222222222223,0.7975909090909091,0.8437818977858523,0.7975909090909091,0.8182044155198517,0.9564764631342733,0.9597222222222223,0.9576946446819675,0.9897909490670198,151.92960715293884
AG-T2I-attention_map,0,1,train,0.9600694444444444,0.8069644060672688,0.8130687914903273,0.8069644060672688,0.806331982349994,,,,,210.42534160614014
AG-T2I-attention_map,0,1,test,0.9527777777777777,0.7677727272727273,0.798227026399389,0.7677727272727273,0.7814076998271476,0.9493485776051404,0.9527777777777777,0.9508008245613142,0.987231675266128,210.42534160614014
XGBoost,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2534825801849365
XGBoost,0,2,test,0.9972222222222222,0.980639918374352,0.989149926228578,0.980639918374352,0.9848330297283902,0.997225343320849,0.9972222222222222,0.9972137504307207,0.9998779607478573,0.2534825801849365
LightGBM,0,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7178623676300049
LightGBM,0,2,test,0.9993055555555556,0.9997499374843711,0.9901960784313726,0.9997499374843711,0.9948997974480319,0.9993259803921568,0.9993055555555556,0.9993106076870183,0.9999595983890913,0.7178623676300049
CatBoost,0,2,train,0.9982638888888888,0.9993749609350585,0.9811372378607182,0.9993749609350585,0.9900819937584643,0.9983181743196048,0.9982638888888888,0.9982769093388731,0.9999844924128185,0.6869540214538574
CatBoost,0,2,test,0.9972222222222222,0.9848943603632275,0.9848943603632275,0.9848943603632275,0.9848943603632275,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9999508341943527,0.6869540214538574
TabNet,0,2,train,0.9387152777777777,0.5096585319611476,0.8082945860723639,0.5096585319611476,0.5658549044677453,0.9186098891249354,0.9387152777777777,0.9159419800631751,0.9863145459511723,287.0310595035553
