model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.9951111111111111,0.0015845917676041454,0.0006211599729008249,0.8499627208709717
XGBoost,balanced_accuracy,0.9775326212479242,0.01587387545774783,0.006222559179437148,0.8499627208709717
XGBoost,precision_macro,0.9680058452910804,0.013553232637119828,0.005312867193750972,0.8499627208709717
XGBoost,recall_macro,0.9775326212479242,0.01587387545774783,0.006222559179437148,0.8499627208709717
XGBoost,f1_macro,0.9722722556126382,0.010463181898813637,0.004101567304334946,0.8499627208709717
XGBoost,precision_weighted,0.99522722937143,0.0015372279837076012,0.0006025933696133796,0.8499627208709717
XGBoost,recall_weighted,0.9951111111111111,0.0015845917676041454,0.0006211599729008249,0.8499627208709717
XGBoost,f1_weighted,0.995129615768962,0.0015848710624277828,0.0006212694564716909,0.8499627208709717
XGBoost,roc_auc,0.9996389213214543,0.000306428980852064,0.00012012016049400907,0.8499627208709717
LightGBM,accuracy,0.9966666666666667,0.0015528249843748485,0.0006087073938749406,2.87560791015625
LightGBM,balanced_accuracy,0.9875183026129344,0.015075422382464563,0.005909565573926109,2.87560791015625
LightGBM,precision_macro,0.9740551294617172,0.013009565631642489,0.005099749727603856,2.87560791015625
LightGBM,recall_macro,0.9875183026129344,0.015075422382464563,0.005909565573926109,2.87560791015625
LightGBM,f1_macro,0.9804281788849505,0.011426176760006741,0.004479061289922643,2.87560791015625
LightGBM,precision_weighted,0.9967678383480277,0.0015502982937994447,0.0006077169311693823,2.87560791015625
LightGBM,recall_weighted,0.9966666666666667,0.0015528249843748485,0.0006087073938749406,2.87560791015625
LightGBM,f1_weighted,0.9966869967141996,0.0015595094859675905,0.0006113277184992955,2.87560791015625
LightGBM,roc_auc,0.9997557229725171,0.00026376466757773847,0.00010339574969047347,2.87560791015625
CatBoost,accuracy,0.9961944444444444,0.00150177792438042,0.0005886969463571247,0.5632246494293213
CatBoost,balanced_accuracy,0.9871887471688638,0.011382117225432583,0.004461789952369573,0.5632246494293213
CatBoost,precision_macro,0.9727173304507957,0.014103722909404435,0.005528659380486538,0.5632246494293213
CatBoost,recall_macro,0.9871887471688638,0.011382117225432583,0.004461789952369573,0.5632246494293213
CatBoost,f1_macro,0.9795600257569508,0.008756293018610745,0.003432466863295412,0.5632246494293213
CatBoost,precision_weighted,0.9963159839842384,0.0014496827548959828,0.0005682756399192253,0.5632246494293213
CatBoost,recall_weighted,0.9961944444444444,0.00150177792438042,0.0005886969463571247,0.5632246494293213
CatBoost,f1_weighted,0.9962204145508864,0.0014871722845905416,0.0005829715355594923,0.5632246494293213
CatBoost,roc_auc,0.9997448029737371,0.00027467043842634853,0.00010767081186312861,0.5632246494293213
TabNet,accuracy,0.9380277777777778,0.0041048657517032214,0.0016091073746676626,521.0161804676056
TabNet,balanced_accuracy,0.5119562840768899,0.05606942274428542,0.021979213715759883,521.0161804676056
TabNet,precision_macro,0.7548681630904228,0.12599713516323455,0.04939087698398794,521.0161804676056
TabNet,recall_macro,0.5119562840768899,0.05606942274428542,0.021979213715759883,521.0161804676056
TabNet,f1_macro,0.5542429173912499,0.05772176715974369,0.022626932726619524,521.0161804676056
