prob_class_0,prob_class_1,true_label
0.99709654,0.0029034615,0
0.59434134,0.40565866,0
0.36879566,0.63120437,1
0.27205983,0.7279402,1
0.09087567,0.9091243,1
0.4268889,0.57311106,1
0.99709654,0.0029034615,0
0.079772085,0.9202279,1
0.2585064,0.74149364,1
0.30781266,0.69218737,1
0.96260214,0.037397854,0
0.00025428872,0.99974567,1
0.19284847,0.80715156,1
0.15992025,0.8400798,1
0.9325221,0.06747792,0
0.21197096,0.7880291,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.2149821,0.7850179,1
0.086685285,0.91331476,1
0.78592616,0.21407384,0
0.7243876,0.27561247,0
0.88388914,0.11611085,0
0.99709654,0.0029034615,0
0.8420374,0.15796259,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.085245654,0.91475433,1
0.99709654,0.0029034615,0
0.02241681,0.97758317,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.10335424,0.8966458,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.17057374,0.8294262,1
0.99709654,0.0029034615,0
0.9923522,0.007647872,0
0.8343022,0.16569787,1
0.086502455,0.91349757,1
0.00025428872,0.99974567,1
0.11881296,0.881187,1
0.99709654,0.0029034615,0
0.10281851,0.89718145,1
0.12327918,0.87672085,1
0.9895135,0.010486503,0
0.032659642,0.96734035,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.022966594,0.97703344,1
0.48292398,0.517076,1
0.015397752,0.9846022,1
0.047436535,0.95256346,1
0.99709654,0.0029034615,0
0.023276437,0.97672355,1
0.99709654,0.0029034615,0
0.014934742,0.9850653,1
0.95751697,0.042482972,0
0.21433167,0.7856683,0
0.022966594,0.97703344,1
0.2143101,0.7856899,1
0.54633176,0.45366824,0
0.59096193,0.4090381,0
0.9923522,0.007647872,0
0.9923522,0.007647872,0
0.99709654,0.0029034615,0
0.06518221,0.9348178,1
0.99709654,0.0029034615,0
0.96260214,0.037397854,0
0.0039638625,0.9960361,1
0.99709654,0.0029034615,0
0.9863325,0.013667475,0
0.99709654,0.0029034615,0
0.9863325,0.013667475,0
0.98958534,0.010414632,0
0.99530196,0.004698078,0
0.622635,0.37736496,0
0.99709654,0.0029034615,0
0.9838045,0.016195431,0
0.36670503,0.633295,1
0.99709654,0.0029034615,0
0.9914875,0.008512527,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.14179723,0.8582028,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99530196,0.004698078,0
0.99530196,0.004698078,0
0.018217616,0.9817824,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.985713,0.014286983,0
0.7391446,0.26085538,0
0.99709654,0.0029034615,0
0.9951251,0.00487496,0
0.058866203,0.9411338,1
0.1781206,0.82187945,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.12496242,0.87503755,1
0.28871268,0.7112873,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99530196,0.004698078,0
0.8420374,0.15796259,0
0.0015861833,0.9984138,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.21559419,0.78440577,1
0.99530196,0.004698078,0
0.9923522,0.007647872,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.03608235,0.9639177,1
0.005738561,0.9942615,1
0.985713,0.014286983,0
0.99709654,0.0029034615,0
0.34153724,0.6584628,1
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.9923522,0.007647872,0
0.99709654,0.0029034615,0
0.9692509,0.030749053,0
0.22173494,0.77826506,1
0.08234899,0.91765106,1
0.9896645,0.010335456,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.99709654,0.0029034615,0
0.09388437,0.9061156,1
0.054673202,0.9453268,1
