prob_class_0,prob_class_1,true_label
0.0058262316,0.9941738,0
0.0066427486,0.99335724,1
0.042956315,0.95704365,0
0.701584,0.29841605,0
0.9949319,0.0050680684,1
0.010851851,0.9891481,0
0.99724007,0.002759897,0
0.99882966,0.0011702992,0
0.99833125,0.0016687853,0
0.007014824,0.9929852,1
0.9990075,0.0009924656,0
0.9791155,0.020884523,1
0.0042069736,0.995793,1
0.983967,0.016033,0
0.99895716,0.001042826,0
0.0063044275,0.99369556,1
0.99610484,0.003895167,0
0.97821724,0.021782767,0
0.005795681,0.99420434,1
0.9594787,0.040521342,0
0.0048247324,0.99517524,0
0.9929516,0.0070483903,0
0.9801428,0.019857172,0
0.0045433617,0.9954567,1
0.9985814,0.00141862,0
0.9642383,0.035761714,1
0.21264257,0.7873574,1
0.1810208,0.8189792,0
0.9987644,0.0012356656,0
0.0047783097,0.9952217,1
0.99775094,0.0022491084,0
0.9892484,0.010751583,0
0.9967458,0.0032541815,0
0.013853638,0.9861464,1
0.0042762244,0.9957237,1
0.9980902,0.0019097687,0
0.9940129,0.00598706,0
0.99621516,0.0037847958,1
0.0059884787,0.99401146,1
0.0047113923,0.9952886,1
0.99137294,0.008627074,0
0.9840211,0.01597885,0
0.007993354,0.9920067,1
0.9976223,0.0023776826,0
0.004663332,0.9953367,1
0.015720146,0.9842799,1
0.013437797,0.9865622,1
0.052927062,0.947073,0
0.52390563,0.47609437,1
0.9925431,0.00745693,0
0.20857549,0.79142445,0
0.007816843,0.99218315,0
0.9973464,0.0026535185,0
0.007782112,0.9922179,1
0.019246677,0.98075336,0
0.003604574,0.9963954,1
0.9978561,0.0021439584,0
0.24505527,0.75494474,0
0.01244013,0.98755985,1
0.97230524,0.02769475,0
0.9926318,0.0073682247,1
0.005782102,0.9942179,1
0.0039942754,0.9960057,1
0.010926001,0.98907405,0
0.0055242595,0.9944758,1
0.9939944,0.006005634,0
0.9915479,0.008452118,0
0.0052270736,0.994773,0
0.025717143,0.9742829,1
0.9898358,0.010164216,0
0.9790501,0.02094994,0
0.9912962,0.008703761,0
0.017552864,0.9824471,1
0.96698314,0.033016875,0
0.99432725,0.00567275,0
0.98361844,0.016381565,0
0.004951466,0.99504846,0
0.014829496,0.98517054,0
0.20248945,0.7975105,1
0.0042304564,0.9957696,1
0.96650535,0.033494715,1
0.0068038125,0.99319625,1
0.9959495,0.0040504155,0
0.99369967,0.006300366,0
0.007094366,0.9929056,1
0.006851583,0.9931484,1
0.99786633,0.0021337275,0
0.020351963,0.97964805,1
0.9818178,0.01818217,0
0.018097492,0.9819025,1
0.025187949,0.9748121,1
0.0046837293,0.99531627,1
0.019805778,0.9801942,1
0.98172635,0.018273622,0
0.99897563,0.0010243572,0
0.9978064,0.0021936253,0
0.0059730834,0.9940269,1
0.99870956,0.0012904045,0
0.0065864515,0.9934136,1
0.9596169,0.040383127,1
0.99739885,0.0026012103,0
0.9885809,0.011419109,0
0.97119236,0.028807685,0
0.0057550496,0.994245,1
0.96808964,0.03191042,0
0.0071130856,0.99288696,1
0.041045133,0.9589548,1
0.006405712,0.99359435,1
0.998092,0.0019079625,0
0.0063243653,0.99367565,1
0.9961648,0.0038351878,0
0.006994844,0.9930052,1
0.997624,0.0023760318,1
0.006332335,0.99366766,1
0.028053313,0.97194666,0
0.9895942,0.01040583,0
0.9971661,0.002833912,0
0.931157,0.06884299,1
0.0067518232,0.9932482,1
0.017208077,0.98279196,1
0.9920344,0.007965668,0
0.004319556,0.99568045,1
0.9786396,0.021360343,0
0.53376955,0.46623045,1
0.98612577,0.013874226,0
0.004977124,0.9950229,1
0.005309953,0.99469006,1
0.9645608,0.03543922,0
0.99412966,0.005870351,0
0.98943406,0.010565907,0
0.99792695,0.0020729876,0
0.009871369,0.9901286,1
0.0045083887,0.9954917,1
0.9989371,0.001062902,0
0.9772987,0.022701329,0
0.9895571,0.0104429675,0
0.97142863,0.028571287,0
0.012503239,0.98749673,1
