prob_class_0,prob_class_1,true_label
0.98511165,0.014888387,0
0.7931066,0.2068934,1
0.88480484,0.11519524,1
0.17356737,0.82643265,1
0.8399103,0.16008967,1
0.9590511,0.04094887,0
0.9758631,0.024136856,0
0.97296757,0.02703247,0
0.9671788,0.032821193,0
0.059619583,0.9403804,0
0.93977076,0.060229257,0
0.076950945,0.92304903,1
0.048476897,0.9515231,1
0.8285997,0.17140037,0
0.7893838,0.21061616,0
0.46600524,0.53399473,0
0.9259365,0.07406349,0
0.034656182,0.96534383,1
0.25008646,0.7499136,0
0.08277222,0.9172278,1
0.5750508,0.4249492,1
0.011650051,0.9883499,1
0.4433189,0.5566811,0
0.74844277,0.25155723,0
0.8603623,0.13963777,1
0.9487565,0.05124355,0
0.6713735,0.32862654,1
0.7623952,0.23760474,0
0.8429682,0.15703173,0
0.6879676,0.3120323,1
0.6614808,0.33851922,0
0.34219953,0.65780044,0
0.034347396,0.96565264,1
0.6652848,0.33471522,0
0.7829386,0.21706142,0
0.8341258,0.16587426,0
0.84950805,0.15049192,0
0.89229983,0.10770018,0
0.91524184,0.08475811,0
0.6836343,0.31636578,1
0.020164173,0.97983587,1
0.52237207,0.47762793,0
0.9277676,0.07223241,0
0.88838696,0.1116131,0
0.037617784,0.96238214,0
0.86861223,0.13138776,0
0.10378259,0.89621735,1
0.9203652,0.07963475,1
0.9425957,0.057404235,0
0.07182663,0.92817336,1
0.8823933,0.117606714,0
0.035736382,0.96426356,0
0.117574215,0.8824258,1
0.02654946,0.97345054,1
0.24012889,0.7598711,1
0.523852,0.476148,0
0.26719004,0.73281,1
0.91568375,0.084316276,0
0.118647724,0.8813523,0
0.79121053,0.20878945,1
0.92943347,0.07056656,0
0.43108928,0.56891066,0
0.60412556,0.3958744,1
0.0041502123,0.9958497,1
0.04756717,0.9524328,1
0.42726377,0.57273626,0
0.15709008,0.8429099,1
0.49405125,0.5059487,0
0.9318098,0.06819025,0
0.7419404,0.25805962,0
0.03008315,0.9699168,1
0.0082677845,0.99173224,1
0.097377405,0.9026226,1
0.08746952,0.9125305,1
0.706728,0.29327205,1
0.8508975,0.14910251,0
0.5644825,0.4355175,0
0.043942694,0.95605725,1
0.85881114,0.14118887,0
0.11924683,0.8807532,1
0.97842056,0.021579474,0
0.9355494,0.06445065,0
0.954416,0.0455841,0
0.37671283,0.6232872,1
0.4111782,0.5888218,1
0.97120214,0.028797818,1
0.958151,0.041848995,0
0.9572414,0.04275856,0
0.04746405,0.952536,1
0.9638568,0.036143113,0
0.8919824,0.10801765,1
0.9310243,0.068975665,0
0.006185754,0.99381423,1
0.14170049,0.8582995,1
0.9797773,0.020222781,0
0.04750924,0.95249075,1
0.99492884,0.005071224,0
0.028207377,0.9717926,1
0.95940727,0.0405928,0
0.37088314,0.6291169,1
0.97136724,0.028632782,0
0.8587056,0.14129443,0
0.9215786,0.07842148,0
0.9017826,0.09821743,0
0.51529044,0.48470953,0
0.14968257,0.8503175,1
0.049416926,0.9505831,1
0.82395333,0.17604662,0
0.01878748,0.98121256,1
0.14432988,0.8556701,1
0.53394955,0.46605042,0
0.0066249603,0.993375,1
0.89323145,0.106768616,0
0.36577436,0.6342256,0
0.61744,0.38256004,1
0.11085338,0.88914657,1
0.040503815,0.95949614,0
0.9560391,0.04396098,0
0.071091615,0.92890835,1
0.067966886,0.93203306,1
0.5254328,0.47456712,0
0.003881721,0.9961183,1
0.07248202,0.92751795,1
0.020047054,0.97995293,1
0.8562023,0.14379768,0
0.19630972,0.8036904,1
0.88130665,0.11869336,0
0.9686844,0.03131564,0
0.9387571,0.061242882,0
0.8085578,0.19144212,0
0.87588537,0.12411461,0
0.9340784,0.06592161,0
0.95163184,0.048368193,0
0.38351068,0.61648935,0
0.41724136,0.58275867,1
0.06882998,0.93117,1
0.93749774,0.06250221,0
0.11973394,0.8802661,1
