prob_class_0,prob_class_1,true_label
0.2318874,0.76811266,0
0.96247494,0.037525106,1
0.31764188,0.68235815,1
0.9714806,0.028519403,1
0.21568504,0.784315,1
0.96247494,0.037525106,0
0.95925903,0.04074099,0
0.9694336,0.030566333,0
0.39389178,0.6061082,1
0.94824624,0.051753763,0
0.9391501,0.06084986,0
0.9715778,0.028422205,0
0.31460273,0.6853973,1
0.32649952,0.6735005,1
0.23851432,0.76148564,1
0.2175353,0.7824647,1
0.21568504,0.784315,1
0.21568504,0.784315,0
0.32649952,0.6735005,0
0.38463902,0.615361,1
0.9599379,0.040062174,0
0.36743087,0.63256913,1
0.94873106,0.05126894,0
0.959338,0.04066201,0
0.21568504,0.784315,1
0.39166436,0.6083357,1
0.8059191,0.19408089,0
0.2918572,0.70814276,1
0.97585595,0.024144085,0
0.21568504,0.784315,1
0.19988698,0.800113,1
0.3946131,0.6053869,1
0.38723764,0.6127623,1
0.9710606,0.028939422,1
0.98127455,0.018725406,0
0.96296126,0.037038766,0
0.9644831,0.035516966,0
0.38600907,0.6139909,1
0.9586427,0.04135731,0
0.9570388,0.04296121,0
0.21568504,0.784315,1
0.34535015,0.6546498,1
0.970595,0.029404962,0
0.30558917,0.69441086,1
0.9639231,0.03607691,0
0.21568504,0.784315,1
0.96247494,0.037525106,0
0.97040343,0.029596606,0
0.9589863,0.04101373,0
0.96976435,0.030235635,0
0.96453077,0.035469215,0
0.23600079,0.76399916,1
0.96247494,0.037525106,0
0.30868784,0.6913122,0
0.32649952,0.6735005,1
0.31892332,0.68107665,1
0.95678777,0.043212194,0
0.98612565,0.01387437,0
0.21568504,0.784315,1
0.32649952,0.6735005,1
0.47337767,0.5266224,1
0.9586068,0.041393224,0
0.32649952,0.6735005,1
0.9356898,0.06431016,0
0.9356898,0.06431016,0
0.37779385,0.62220615,1
0.96247494,0.037525106,0
0.95617104,0.04382901,0
0.067109436,0.9328906,1
0.95718634,0.042813595,0
0.95718634,0.042813595,0
0.26924336,0.7307567,1
0.9356898,0.06431016,0
0.380739,0.61926097,0
0.32649952,0.6735005,1
0.3077804,0.6922196,1
0.21568504,0.784315,1
0.9702528,0.02974714,0
0.9588483,0.041151706,0
0.24322344,0.7567766,1
0.95866805,0.041331954,0
0.949538,0.050461944,0
0.9606095,0.039390523,0
0.95911413,0.040885843,0
0.9596579,0.040342066,0
0.39250195,0.60749805,0
0.9356898,0.06431016,0
0.30659175,0.69340825,1
0.33882156,0.66117847,1
0.95748454,0.042515468,0
0.96247494,0.037525106,0
0.37581116,0.6241888,1
0.9540238,0.04597618,0
0.97172505,0.028274974,0
0.20503564,0.7949644,1
0.38698545,0.6130146,1
0.9578254,0.042174585,0
0.38179696,0.6182031,1
0.97185564,0.028144378,0
0.9701255,0.029874517,0
0.9603557,0.039644323,0
0.97045434,0.029545696,0
0.30668336,0.6933166,1
0.96247494,0.037525106,0
0.21568504,0.784315,1
0.31181657,0.6881834,0
0.23664628,0.76335365,1
0.96247494,0.037525106,0
0.32649952,0.6735005,1
0.21568504,0.784315,1
0.32649952,0.6735005,1
0.3623926,0.6376074,1
0.07298027,0.9270197,1
0.32354686,0.6764531,1
0.3639104,0.63608956,1
0.502671,0.49732897,0
0.96247494,0.037525106,0
0.95718634,0.042813595,0
0.95824313,0.04175681,0
0.95866793,0.04133203,0
0.95004934,0.049950633,0
0.97120184,0.028798202,0
0.9712893,0.028710693,0
0.96589804,0.03410201,0
0.39940864,0.60059136,1
0.4263526,0.57364744,1
0.21568504,0.784315,1
0.95959955,0.040400513,0
0.9605559,0.0394441,0
0.86103034,0.13896967,0
0.94974935,0.050250646,1
0.94233775,0.057662223,0
0.32193267,0.6780674,0
0.24499658,0.7550034,1
0.9632806,0.036719408,0
0.33321595,0.66678405,1
0.9644831,0.035516966,0
0.96205384,0.037946198,0
