prob_class_0,prob_class_1,true_label
0.27657413,0.7234259,1
0.92471385,0.07528622,0
0.68914205,0.31085792,1
0.5158798,0.48412016,1
0.551474,0.44852602,1
0.94324374,0.056756273,0
0.5867772,0.41322282,0
0.5439412,0.45605874,0
0.5747059,0.42529407,0
0.82634985,0.17365012,0
0.8789237,0.121076316,0
0.8790997,0.120900266,0
0.61468536,0.38531464,1
0.90181965,0.09818035,0
0.8402433,0.15975673,1
0.3055003,0.6944997,0
0.948195,0.051804986,0
0.9496137,0.050386358,0
0.93771183,0.062288113,0
0.62487537,0.3751247,0
0.6252532,0.37474683,1
0.8535108,0.14648919,0
0.853279,0.14672104,1
0.8148433,0.18515673,0
0.9145025,0.0854975,0
0.66402036,0.33597964,1
0.51244986,0.4875502,1
0.87878287,0.12121719,0
0.9750806,0.024919413,0
0.9359603,0.06403965,0
0.70754236,0.2924576,0
0.91613036,0.083869666,0
0.63124543,0.3687546,1
0.44565216,0.5543479,1
0.8336999,0.1663001,0
0.31099534,0.68900466,1
0.87916267,0.12083734,0
0.47980657,0.52019334,1
0.7885453,0.21145466,0
0.1571882,0.8428118,1
0.9139745,0.08602548,0
0.94812727,0.051872797,0
0.23628204,0.76371795,1
0.6895785,0.3104215,0
0.1912651,0.80873483,1
0.4220972,0.57790285,1
0.69813997,0.30186006,1
0.61725104,0.38274896,0
0.5672019,0.43279803,0
0.91995615,0.08004392,0
0.70633036,0.2936697,0
0.64915407,0.35084593,1
0.80450135,0.19549863,1
0.79222405,0.20777592,0
0.6868046,0.31319535,1
0.7326687,0.26733127,0
0.69511825,0.30488172,0
0.8046431,0.19535686,0
0.858883,0.14111698,0
0.6810985,0.31890154,1
0.856687,0.14331302,0
0.24335754,0.7566425,1
0.79194397,0.20805602,0
0.9055646,0.094435364,0
0.8209659,0.17903413,1
0.8654742,0.13452582,0
0.95327234,0.046727587,0
0.27791885,0.7220811,1
0.8809351,0.11906491,0
0.72013986,0.2798601,0
0.47729304,0.522707,1
0.9787178,0.021282177,0
0.3496816,0.6503184,0
0.9177411,0.08225885,0
0.741556,0.25844404,0
0.88209563,0.11790428,0
0.3603197,0.6396803,1
0.87902474,0.1209752,1
0.06208848,0.93791157,1
0.86210966,0.1378904,0
0.86286664,0.13713335,0
0.9560093,0.043990705,0
0.59780806,0.40219197,0
0.98060304,0.019396989,0
0.7726363,0.2273637,0
0.8215035,0.17849654,0
0.62384856,0.3761514,1
0.8017083,0.19829172,0
0.8951841,0.104815885,0
0.59580094,0.4041991,1
0.23488572,0.76511425,1
0.6392146,0.3607854,0
0.6186144,0.38138565,0
0.88114846,0.118851565,0
0.9144533,0.08554665,0
0.86731166,0.1326883,0
0.84318626,0.15681377,0
0.6206974,0.37930262,0
0.40384367,0.5961563,1
0.84411824,0.15588182,0
0.52306247,0.47693753,1
0.84931606,0.15068394,0
0.17312276,0.8268773,1
0.3439779,0.6560221,0
0.90926015,0.090739794,0
0.7551112,0.2448888,0
0.75184697,0.248153,0
0.34892026,0.6510798,1
0.7295419,0.2704581,0
0.9035474,0.09645259,0
0.7666111,0.23338893,0
0.78458124,0.21541877,1
0.7766056,0.22339444,0
0.84076303,0.15923701,0
0.83617043,0.16382955,0
0.9707456,0.029254325,0
0.2358844,0.76411563,1
0.83238757,0.16761243,0
0.93007886,0.0699212,0
0.8133777,0.18662237,0
0.88314056,0.11685942,0
0.9041264,0.09587352,0
0.7615432,0.23845676,1
0.8635186,0.13648146,1
0.7129563,0.2870437,0
0.47808856,0.5219115,1
0.96459955,0.03540042,0
0.47370577,0.5262942,1
0.40855813,0.59144187,0
0.4259747,0.57402533,1
0.9173752,0.08262481,0
0.6105942,0.38940582,0
0.4437727,0.55622727,1
0.39039865,0.6096014,1
0.60211194,0.3978881,0
0.5837121,0.41628793,0
0.3985106,0.60148937,1
0.7439999,0.25600004,1
0.69895816,0.30104178,1
0.53328645,0.46671352,0
0.7516941,0.24830599,0
0.72337776,0.27662224,0
0.67090625,0.3290937,0
0.9822589,0.017741103,0
0.8949038,0.10509626,1
0.65849817,0.3415018,1
0.8760127,0.1239873,0
0.9609197,0.039080277,0
0.5398749,0.46012503,0
0.72304904,0.27695101,1
0.48217425,0.5178258,1
0.44520688,0.5547931,1
0.3781073,0.62189275,0
0.89173716,0.108262815,0
