prob_class_0,prob_class_1,true_label
0.9492613,0.050738662,0
0.3692381,0.6307619,1
0.8924594,0.107540585,0
0.4352084,0.5647916,0
0.62260807,0.37739196,0
0.9144533,0.08554663,0
0.9937589,0.006241088,0
0.28785378,0.7121462,0
0.7979005,0.20209947,1
0.6839395,0.31606045,0
0.29476392,0.7052361,1
0.6219856,0.37801442,0
0.6951199,0.30488002,0
0.5898378,0.41016227,0
0.6637826,0.33621737,0
0.9467841,0.053215988,0
0.92408717,0.075912856,0
0.8206388,0.17936121,0
0.8577472,0.14225285,1
0.9465231,0.05347688,0
0.60950255,0.39049745,0
0.5518997,0.44810027,0
0.8551649,0.14483517,0
0.60541797,0.394582,1
0.529828,0.47017196,0
0.49866393,0.50133604,0
0.60708654,0.39291343,0
0.16800375,0.83199626,1
0.9416117,0.058388215,0
0.7825954,0.2174046,0
0.8027754,0.19722454,0
0.73976564,0.26023433,1
0.5281641,0.47183597,1
0.26329213,0.73670787,1
0.6528066,0.34719333,0
0.3563556,0.6436444,1
0.6022902,0.3977098,1
0.9367473,0.063252665,1
0.5707414,0.42925856,1
0.9066999,0.09330012,0
0.9326946,0.06730532,0
0.39244443,0.6075555,1
0.7014958,0.29850417,0
0.9087085,0.091291495,0
0.015405041,0.98459494,0
0.21312125,0.7868787,1
0.9757331,0.02426686,0
0.5330797,0.46692032,0
0.098015174,0.9019849,0
0.93423736,0.06576259,0
0.5324566,0.46754342,0
0.4901206,0.5098794,0
0.99125063,0.008749391,0
0.79027766,0.20972231,1
0.480024,0.51997596,0
0.8834273,0.11657265,1
0.834248,0.16575198,1
0.6303975,0.3696025,0
0.6034293,0.39657068,0
0.31525692,0.68474305,1
0.72083473,0.27916533,1
0.78259015,0.21740988,0
0.7436744,0.25632557,1
0.43873242,0.56126755,1
0.81973445,0.18026555,1
0.8962735,0.10372656,1
0.819951,0.180049,0
0.36613068,0.63386935,1
0.9854351,0.014564911,0
0.25817537,0.7418246,1
0.32312906,0.6768709,0
0.81341517,0.18658485,0
0.7376882,0.26231182,0
0.37224364,0.62775636,1
0.24037948,0.75962055,1
0.31678313,0.6832168,1
0.78202116,0.2179789,0
0.9883829,0.01161711,0
0.9356446,0.06435536,0
0.493485,0.50651497,1
0.84175324,0.15824682,0
0.53984493,0.46015504,1
0.58530384,0.41469616,1
0.28958318,0.71041685,1
0.68485814,0.3151419,0
0.5470769,0.45292315,1
0.560446,0.439554,1
0.52638775,0.47361222,0
0.97002274,0.029977307,0
0.9040507,0.09594927,1
0.6260467,0.37395325,0
0.57202667,0.42797333,1
0.52425134,0.47574857,0
0.67891884,0.3210811,0
0.4633185,0.53668153,1
0.52596766,0.47403228,0
0.68023896,0.31976104,1
0.9608114,0.039188623,0
0.9302087,0.06979132,0
0.92726403,0.07273599,0
0.98467004,0.015329967,0
0.74727935,0.25272062,0
0.8827648,0.117235154,1
0.48461586,0.5153841,0
0.49429372,0.5057063,0
0.6906107,0.3093893,0
0.55241925,0.44758078,1
0.30992946,0.69007057,0
0.8250698,0.17493026,0
0.43022433,0.5697757,1
0.31622985,0.6837701,1
0.71066433,0.2893356,0
0.65802133,0.34197867,0
0.94445395,0.055546034,0
0.77170134,0.22829872,0
0.9434716,0.0565284,0
0.8097155,0.19028452,0
0.9690588,0.030941214,0
0.8857068,0.11429323,0
0.8047135,0.19528653,0
0.7973858,0.2026142,1
0.51978815,0.48021185,0
0.6901407,0.30985925,0
0.7885736,0.21142636,0
0.84366554,0.15633446,0
0.8079339,0.19206613,0
0.13801026,0.86198974,1
0.9636953,0.036304742,0
0.73517716,0.2648229,0
0.772171,0.22782904,0
0.88044953,0.11955046,1
0.9724921,0.027507922,0
0.7719184,0.22808161,1
0.82639486,0.17360513,0
0.8615328,0.13846718,0
0.29144,0.70856,0
0.30836844,0.6916316,0
0.62869066,0.3713094,1
0.449712,0.550288,1
0.642484,0.35751602,0
0.5830215,0.41697848,0
0.53056735,0.46943265,0
0.62135345,0.37864658,0
0.5657971,0.43420297,1
0.52612746,0.47387257,0
0.4022016,0.59779835,1
0.6924085,0.30759153,0
0.7301542,0.2698458,0
0.77445626,0.22554374,0
0.7036652,0.2963348,0
0.67103416,0.32896584,0
0.40170988,0.59829015,1
0.75348836,0.2465116,1
