prob_class_0,prob_class_1,true_label
0.9414334,0.058566544,1
0.6889135,0.3110865,1
0.6177731,0.38222685,0
0.7471509,0.25284916,0
0.30352312,0.6964768,1
0.52385956,0.47614047,0
0.6197314,0.3802685,0
0.9498915,0.05010842,0
0.7097243,0.29027566,1
0.40240192,0.59759814,0
0.4053259,0.5946741,0
0.58705354,0.41294637,0
0.97576016,0.024239818,0
0.4199369,0.58006316,0
0.9767786,0.023221416,0
0.8166061,0.18339396,0
0.828452,0.171548,0
0.7849888,0.21501118,0
0.8826711,0.11732885,0
0.37656665,0.62343335,1
0.78860354,0.2113964,0
0.4409477,0.55905235,0
0.4167611,0.58323884,1
0.94270396,0.05729598,0
0.20486063,0.79513943,1
0.61736006,0.38263997,0
0.758442,0.24155797,1
0.47469944,0.52530056,1
0.9909155,0.009084474,0
0.94995254,0.0500475,0
0.52726394,0.47273603,1
0.9376527,0.062347226,0
0.95206094,0.047939103,0
0.4606693,0.53933066,1
0.8611445,0.13885552,0
0.20248994,0.7975101,1
0.867492,0.13250794,1
0.44356915,0.55643076,1
0.62252814,0.3774719,0
0.5320972,0.4679028,0
0.8758577,0.12414229,0
0.25528643,0.7447136,1
0.9641372,0.035862774,0
0.86472255,0.13527736,1
0.48311824,0.5168817,0
0.7783321,0.22166793,0
0.61964625,0.38035375,0
0.5618527,0.43814734,0
0.6981549,0.30184507,0
0.815045,0.18495502,0
0.5866916,0.41330838,1
0.4394634,0.5605366,0
0.70709246,0.2929075,1
0.6144457,0.38555425,1
0.7310499,0.2689501,1
0.89528126,0.104718804,0
0.7567626,0.24323732,1
0.6160397,0.38396034,1
0.42405364,0.57594633,0
0.6828831,0.31711695,0
0.69399214,0.30600786,0
0.23760909,0.7623909,1
0.8052794,0.19472066,0
0.95727825,0.042721808,0
0.22914645,0.7708536,0
0.5448009,0.45519912,1
0.7953751,0.2046249,0
0.87298465,0.12701541,0
0.6293231,0.37067688,1
0.11335223,0.88664776,1
0.35609975,0.6439002,1
0.4689541,0.5310459,0
0.30623677,0.6937632,1
0.94784176,0.052158214,0
0.80627704,0.19372292,0
0.6670261,0.33297387,1
0.63354266,0.36645737,0
0.9255042,0.07449583,0
0.94557476,0.054425173,0
0.87051004,0.12949,1
0.43816182,0.56183815,1
0.7045344,0.2954656,0
0.806956,0.19304395,1
0.4124443,0.5875557,1
0.42519525,0.5748048,1
0.8054369,0.19456302,1
0.80301607,0.19698395,0
0.9528257,0.047174342,0
0.94401854,0.055981513,0
0.32997808,0.67002183,1
0.78187436,0.21812564,0
0.69312465,0.30687538,0
0.8471411,0.1528589,0
0.7654159,0.23458402,0
0.5788793,0.42112064,0
0.92607135,0.073928624,0
0.8720566,0.12794343,0
0.40844998,0.59155005,0
0.7725432,0.22745675,0
0.9231105,0.076889455,0
0.82304776,0.17695227,0
0.9436663,0.056333788,0
0.88174844,0.11825153,0
0.96021485,0.03978511,0
0.7720443,0.22795567,0
0.90426785,0.09573213,0
0.855138,0.14486204,1
0.82129186,0.17870814,0
0.8333454,0.16665457,0
0.7871755,0.21282454,0
0.5971327,0.40286738,0
0.48233968,0.5176603,1
0.9617139,0.038286168,0
0.8003149,0.19968513,0
0.8213786,0.17862144,0
0.40094188,0.59905815,1
0.6373436,0.36265644,0
0.9750999,0.02490015,0
0.9622463,0.03775374,0
0.8391612,0.1608388,0
0.7740219,0.2259781,0
0.64137745,0.3586225,1
0.7866237,0.21337627,0
0.9281528,0.0718472,0
0.93987256,0.060127437,0
0.73161536,0.26838467,0
0.4258704,0.5741295,0
0.92968506,0.07031486,1
0.51018584,0.48981416,0
0.06933878,0.9306612,1
0.8896051,0.11039489,0
0.9375514,0.06244858,0
0.904639,0.09536099,0
0.84038526,0.15961479,0
0.86292475,0.13707528,0
0.8532093,0.14679068,0
0.33071852,0.6692815,1
0.8908287,0.10917134,0
0.7558844,0.24411556,0
0.5362749,0.46372512,1
0.41933584,0.58066416,1
0.9901011,0.009898871,1
0.43668804,0.56331193,1
0.86609733,0.13390267,1
0.8617907,0.13820925,0
0.4886577,0.5113422,1
0.84522516,0.15477484,0
0.38178298,0.61821705,1
0.41651595,0.583484,1
0.69905907,0.300941,0
0.5034425,0.4965575,1
0.24638397,0.75361603,1
0.9615433,0.03845663,0
