prob_class_0,prob_class_1,true_label
0.8967376,0.103262424,1
0.9662624,0.033737577,1
0.9750592,0.024940776,1
0.93595695,0.06404297,0
0.948098,0.051901985,0
0.9174469,0.082553044,1
0.9227735,0.07722648,1
0.95223767,0.047762413,0
0.9783165,0.02168349,0
0.839031,0.16096905,1
0.98313105,0.016868955,0
0.9155978,0.08440227,1
0.94143707,0.058562987,0
0.95093215,0.049067874,0
0.9429994,0.057000525,0
0.9646326,0.035367467,0
0.96820104,0.031798985,0
0.974718,0.025282007,0
0.9864912,0.013508808,0
0.9858425,0.014157437,0
0.9747483,0.025251683,1
0.972451,0.02754905,1
0.8861241,0.113875926,1
0.9003161,0.0996839,1
0.89231646,0.1076836,1
0.8963455,0.10365449,1
0.8952561,0.104743846,1
0.974116,0.025883958,0
0.94928354,0.050716426,1
0.6767419,0.32325816,1
0.60003597,0.399964,1
0.3763021,0.62369794,1
0.20592102,0.79407895,1
0.19336535,0.8066347,1
0.015282907,0.9847171,1
0.04394621,0.9560538,1
0.25163537,0.7483646,1
0.047270603,0.9527294,1
0.985031,0.014968963,0
0.82495195,0.1750481,0
0.5768094,0.42319065,0
0.9554151,0.044584814,0
0.9741701,0.025829904,0
0.41610816,0.5838918,1
0.97389734,0.026102679,0
0.987548,0.012452052,0
0.98749673,0.012503239,0
0.98944503,0.010555,0
0.89880794,0.101192005,1
0.93875134,0.061248608,0
0.945865,0.054134976,0
0.3764266,0.6235734,1
0.42135933,0.57864064,1
0.95960855,0.040391445,0
0.94961053,0.05038949,0
0.95570797,0.044292033,0
0.9820769,0.01792317,0
0.9847941,0.015205963,0
0.12495181,0.87504816,1
0.042357963,0.957642,1
0.033506084,0.96649396,1
0.30516344,0.6948366,1
0.04616799,0.953832,1
0.034383412,0.96561664,1
0.082853995,0.917146,1
0.2085418,0.79145813,0
0.9754082,0.024591804,0
0.6862691,0.31373087,0
0.056522608,0.94347733,1
0.014300728,0.98569924,1
0.17115106,0.82884896,0
0.07575103,0.92424905,1
0.096404724,0.90359527,0
0.53872544,0.46127453,0
0.65928423,0.34071577,0
0.57530314,0.42469692,0
0.048177578,0.9518224,1
0.2413163,0.75868374,0
0.26298565,0.73701435,0
0.27182692,0.7281731,0
0.27446458,0.72553545,0
0.012019077,0.9879809,1
0.08255083,0.9174491,1
0.28705287,0.7129471,0
0.38777307,0.6122269,0
0.67080617,0.32919386,0
0.07159329,0.9284067,1
0.12573734,0.8742627,0
0.43791994,0.56208,0
0.14489043,0.8551096,0
0.4331159,0.56688416,0
0.15060894,0.84939104,0
0.051226173,0.9487738,1
0.051723022,0.948277,1
0.056087896,0.9439121,1
0.2456353,0.7543647,0
0.48479098,0.51520896,0
0.60152084,0.39847916,0
0.58071744,0.41928256,0
0.3031548,0.69684523,1
0.022839228,0.9771608,1
0.040348724,0.95965123,1
0.017098285,0.9829017,1
0.18489873,0.81510127,0
0.019420201,0.9805798,1
0.4127039,0.58729607,0
0.05304186,0.9469582,1
0.98776615,0.012233846,0
0.2263051,0.77369493,0
0.026893992,0.973106,1
0.3182731,0.68172693,0
0.36394298,0.636057,0
0.058741163,0.94125885,1
0.36367208,0.6363279,0
0.3988261,0.60117394,0
0.5638733,0.43612662,0
0.992698,0.0073020076,0
0.299127,0.7008731,1
0.16934572,0.83065426,1
0.276391,0.723609,1
0.29016507,0.7098349,1
0.33331683,0.6666832,1
0.3490351,0.65096486,1
0.32950595,0.670494,1
0.30408686,0.69591314,1
0.9555749,0.04442513,0
0.96135086,0.038649164,0
0.9656176,0.034382347,0
0.019335743,0.98066425,1
0.09099243,0.90900755,1
0.023424657,0.9765753,1
0.02490966,0.9750904,1
0.07100999,0.92899,1
0.5506527,0.44934732,0
0.043244325,0.9567557,1
0.093495496,0.9065045,1
0.02746629,0.9725337,1
0.026112111,0.9738879,1
0.11979408,0.8802059,0
0.056474842,0.9435252,1
0.08413791,0.9158621,1
0.42953405,0.5704659,0
0.048914216,0.9510858,1
0.08681858,0.9131814,1
0.07991185,0.9200881,1
0.29138684,0.70861316,0
0.5958558,0.40414423,0
0.48740697,0.512593,0
0.14998281,0.8500172,1
0.93754166,0.062458307,0
0.10323401,0.89676595,1
0.18479301,0.815207,0
0.926018,0.07398202,0
0.9846385,0.015361489,0
0.98397946,0.016020508,0
0.97334945,0.026650533,0
0.9842642,0.015735863,0
0.07867006,0.92133,1
0.19814733,0.80185264,1
0.15437338,0.84562665,1
0.18981923,0.8101808,1
0.94680905,0.05319091,0
0.9452602,0.05473977,0
0.9552176,0.044782445,0
0.18219803,0.8178019,1
0.040670425,0.95932955,1
0.043098014,0.956902,1
0.2051057,0.7948942,1
0.22163156,0.7783685,1
0.030408604,0.9695914,1
0.047783583,0.95221645,1
0.5782773,0.42172277,0
0.49458027,0.50541973,0
0.3760846,0.6239154,1
0.041270837,0.95872915,1
0.014141035,0.985859,1
0.009096468,0.99090356,1
0.020767638,0.9792324,1
0.0029834486,0.99701655,1
0.5592383,0.44076172,0
0.6469675,0.35303253,0
0.020911632,0.97908837,1
0.32024384,0.6797561,0
0.2685207,0.73147935,0
0.021018784,0.9789812,1
0.03156068,0.96843934,1
0.41707408,0.5829259,0
0.4575163,0.5424837,0
0.5378275,0.46217254,0
0.5976016,0.4023984,0
0.601807,0.39819306,0
0.54233587,0.45766413,0
0.3559551,0.64404494,0
0.007182038,0.992818,1
0.0048840037,0.995116,1
0.0058403155,0.9941597,1
0.006290206,0.9937098,1
0.0078110243,0.99218905,1
0.0032271314,0.9967728,1
0.0006282919,0.9993717,1
0.00053514057,0.9994649,1
0.002416049,0.997584,1
0.0027658117,0.99723417,1
0.038324907,0.96167505,0
0.25742677,0.74257326,0
0.3315576,0.6684425,0
0.4940115,0.50598854,0
0.7369443,0.2630556,0
0.5000402,0.4999598,0
0.9508609,0.049139075,0
0.96796656,0.032033492,0
0.97182775,0.02817223,0
0.9756526,0.024347477,0
0.972327,0.027673062,0
0.9759523,0.024047643,0
0.976838,0.023161976,0
0.9785967,0.021403298,0
0.96866244,0.031337533,0
0.9784515,0.021548565,0
0.6420433,0.35795662,1
0.60806835,0.39193165,1
0.4754945,0.52450556,1
0.2067157,0.7932843,1
0.9476236,0.05237636,0
0.9364236,0.06357636,0
0.9839245,0.016075427,0
0.98359126,0.01640871,0
0.44976628,0.5502337,1
0.36200538,0.6379946,1
0.94342697,0.05657302,0
0.95480573,0.04519429,0
0.95264834,0.04735163,0
0.9446518,0.055348214,0
