prob_class_0,prob_class_1,true_label
0.8530018,0.14699818,1
0.9790364,0.020963605,0
0.9288556,0.07114437,1
0.9137512,0.086248755,1
0.9374301,0.06256998,0
0.90199095,0.09800908,1
0.91608936,0.083910696,1
0.9481656,0.05183438,0
0.94200563,0.05799434,1
0.9627347,0.03726528,0
0.9311358,0.068864204,1
0.84355426,0.15644576,1
0.9555167,0.04448333,0
0.96329135,0.036708612,0
0.88910306,0.11089696,1
0.9297147,0.07028537,0
0.94277495,0.057225056,0
0.93088174,0.069118336,0
0.9395699,0.060430087,0
0.9588895,0.04111046,0
0.9631552,0.036844794,0
0.8640055,0.13599451,1
0.9525781,0.047421843,0
0.94466794,0.05533203,1
0.89800215,0.10199787,1
0.87159675,0.12840326,1
0.9042574,0.09574262,0
0.8627086,0.13729137,1
0.8575222,0.14247784,1
0.9091719,0.09082809,1
0.9248136,0.07518642,1
0.5825693,0.41743073,1
0.6224768,0.37752315,1
0.39393744,0.60606253,1
0.048903693,0.95109636,1
0.03554442,0.9644556,1
0.05231115,0.9476888,1
0.93907547,0.0609245,0
0.55340797,0.44659197,0
0.4584415,0.54155856,0
0.53402495,0.46597508,0
0.7076307,0.29236934,0
0.23223081,0.7677692,0
0.2931292,0.7068708,0
0.38715386,0.61284614,0
0.93745196,0.06254805,0
0.4413532,0.5586468,0
0.9474284,0.052571576,0
0.4682259,0.5317741,1
0.5361359,0.46386406,1
0.9584662,0.041533854,0
0.9608366,0.039163433,0
0.90836024,0.091639765,1
0.8817219,0.11827809,1
0.85451204,0.14548795,0
0.96192926,0.038070716,0
0.96190226,0.038097795,0
0.94107366,0.058926314,0
0.9508565,0.04914351,0
0.96230596,0.037694037,0
0.9754245,0.024575459,0
0.9472719,0.052728094,0
0.018763341,0.9812367,1
0.02254347,0.9774565,1
0.009790424,0.9902096,1
0.005813576,0.9941864,1
0.0027899817,0.99720997,1
0.016354261,0.9836458,1
0.17083457,0.82916546,0
0.95553833,0.044461615,0
0.84286815,0.15713193,0
0.64900786,0.3509922,0
0.041926216,0.95807385,1
0.029268032,0.9707319,1
0.08385583,0.91614413,0
0.17157924,0.8284208,0
0.08406143,0.9159386,0
0.52339023,0.4766098,0
0.7662356,0.23376441,0
0.6109804,0.3890196,0
0.12026667,0.8797333,1
0.09517316,0.9048268,1
0.1947089,0.8052911,0
0.208169,0.79183096,0
0.24196173,0.7580383,0
0.11673239,0.8832676,1
0.1420628,0.8579372,1
0.18139935,0.8186006,1
0.6607661,0.3392339,0
0.521111,0.478889,0
0.08553991,0.9144601,0
0.085458025,0.91454196,0
0.42131034,0.5786897,0
0.040764064,0.9592359,1
0.058311455,0.9416886,1
0.07355102,0.92644894,1
0.14653125,0.8534688,1
0.15232289,0.8476772,1
0.29738212,0.7026179,0
0.4843966,0.5156034,0
0.63083726,0.36916277,0
0.3551252,0.6448748,0
0.062507406,0.9374926,1
0.04528055,0.9547194,1
0.04717034,0.9528296,1
0.06703652,0.9329635,1
0.057694256,0.9423057,1
0.058457136,0.9415428,0
0.5252019,0.47479805,0
0.64088994,0.35911003,0
0.48452958,0.51547045,0
0.16642836,0.8335716,0
0.17131647,0.82868356,0
0.044969846,0.9550302,1
0.28310052,0.7168995,0
0.22864991,0.7713501,0
0.23287669,0.76712334,0
0.037789263,0.9622107,1
0.31914568,0.6808543,1
0.45385724,0.54614276,0
0.5323429,0.4676571,0
0.7207372,0.27926278,0
0.9552548,0.044745177,0
0.9719943,0.028005676,0
0.7408818,0.25911823,0
0.39526513,0.60473484,1
0.22387518,0.7761248,1
0.15028626,0.84971374,1
0.20776185,0.7922381,1
0.24025212,0.75974786,1
0.1060552,0.8939448,1
0.11804565,0.8819543,1
0.33184254,0.6681575,1
0.97074497,0.029255044,0
0.97501624,0.024983786,0
0.97869945,0.02130061,0
0.16511925,0.83488077,1
0.012460047,0.98754,1
0.021493861,0.97850615,1
0.01395953,0.9860405,1
0.02470611,0.9752939,1
0.028702823,0.97129714,1
0.51011795,0.48988208,0
0.37970662,0.6202934,0
0.05775902,0.94224095,1
0.92704266,0.0729573,0
0.01848579,0.98151416,1
0.035011,0.964989,1
0.029212376,0.97078764,1
0.010325462,0.9896745,1
0.055537898,0.9444622,0
0.040633634,0.9593663,1
0.08284579,0.9171542,1
0.07052523,0.9294747,1
0.08165622,0.91834384,1
0.3616112,0.6383888,0
0.95142895,0.04857108,0
0.052991115,0.94700885,1
0.097096704,0.90290326,1
0.13803712,0.86196285,1
0.072646596,0.9273534,1
0.028368412,0.97163165,1
0.03934227,0.9606577,1
0.03987853,0.96012145,1
0.1681363,0.83186376,1
0.9440609,0.055939145,0
0.51375425,0.48624572,0
0.11787553,0.8821244,1
0.9060429,0.093957156,0
0.08405695,0.9159431,1
0.07371883,0.92628115,1
0.07032944,0.9296706,1
0.13294683,0.8670532,0
0.951155,0.048844997,0
0.96603894,0.033961076,0
0.9661832,0.033816885,0
0.93358,0.066420026,0
0.119049065,0.880951,1
0.065926835,0.9340731,1
0.93309695,0.066903055,0
0.9022141,0.09778588,0
0.03837513,0.9616249,1
0.030385235,0.9696148,1
0.94356287,0.056437142,0
0.12399701,0.87600297,1
0.964263,0.035736986,0
0.116552375,0.8834476,1
0.3045518,0.69544816,1
0.027455384,0.97254467,1
0.018041568,0.98195845,1
0.04807168,0.95192826,1
0.14770438,0.85229564,1
0.24881051,0.7511895,0
0.21026544,0.78973454,0
0.11362586,0.8863742,1
0.017927459,0.98207253,1
0.03358118,0.9664188,1
0.24970296,0.750297,0
0.18468341,0.81531656,0
0.12691532,0.87308466,1
0.7856838,0.21431616,0
0.7455302,0.25446978,0
0.68221474,0.31778526,0
0.11573854,0.8842614,1
0.24877976,0.7512203,0
0.35736328,0.6426368,0
0.36759,0.63241,0
0.12415915,0.8758409,1
0.025835376,0.97416466,1
0.008734953,0.991265,1
0.11494588,0.88505405,1
0.5748719,0.42512813,0
0.67080915,0.32919082,0
0.08999649,0.9100035,1
0.0027676881,0.9972324,1
0.0013115716,0.9986884,1
0.003266111,0.9967339,1
0.0028953596,0.9971046,1
0.0004023397,0.9995977,1
0.5982771,0.40172288,0
0.93670905,0.06329096,0
0.94074607,0.05925396,0
0.9116821,0.088317804,0
0.9363656,0.06363446,0
0.9527873,0.047212753,0
0.9589092,0.041090805,0
0.95227945,0.04772055,0
0.95208555,0.047914427,0
0.59742934,0.40257066,1
0.93205833,0.0679417,0
0.93005097,0.06994896,0
0.9238665,0.07613347,0
0.92328596,0.07671406,0
0.9264241,0.073575884,0
0.945716,0.054283928,0
0.94984084,0.050159115,0
0.94384164,0.056158375,0
0.923467,0.076532975,0
0.97501093,0.024989037,0
0.9758462,0.024153799,0
