prob_class_0,prob_class_1,true_label
0.8561672,0.14383286,0
0.6349575,0.36504254,0
0.58860743,0.4113926,0
0.64656264,0.35343742,0
0.6461611,0.35383886,0
0.64458865,0.35541138,1
0.64554596,0.35445395,1
0.6447392,0.35526076,1
0.6530838,0.34691623,1
0.6594651,0.34053499,0
0.7160152,0.28398475,0
0.73089015,0.26910987,0
0.6176748,0.38232514,1
0.85235816,0.14764184,0
0.8919874,0.10801257,0
0.5944752,0.4055248,1
0.576326,0.42367405,0
0.6549174,0.34508258,0
0.70652294,0.29347703,0
0.7237137,0.2762863,0
0.73087287,0.2691271,0
0.64727265,0.3527274,1
0.6176748,0.38232514,1
0.87267923,0.12732081,0
0.89354545,0.106454626,0
0.6387007,0.36129925,1
0.6430228,0.35697722,1
0.6976451,0.30235484,1
0.7275362,0.2724638,0
0.7233564,0.27664354,1
0.68344927,0.31655067,1
0.42148063,0.5785194,1
0.7755822,0.22441776,1
0.63407344,0.36592647,0
0.26923478,0.7307652,1
0.11092732,0.8890727,1
0.48656446,0.5134356,0
0.42095235,0.5790477,0
0.45611468,0.5438853,0
0.51853067,0.48146936,0
0.8801133,0.11988675,0
0.9028614,0.09713863,0
0.90622485,0.0937752,0
0.84255964,0.15744036,0
0.56229264,0.43770733,0
0.4996631,0.5003369,0
0.79326874,0.20673127,0
0.8992647,0.10073537,0
0.8577025,0.1422976,1
0.8634861,0.13651383,1
0.87973136,0.12026865,0
0.741586,0.258414,0
0.64855736,0.3514427,0
0.66139334,0.3386067,0
0.6961901,0.30380982,0
0.6957678,0.3042322,0
0.70608217,0.2939178,0
0.7178761,0.28212392,0
0.7235397,0.27646026,0
0.90849257,0.09150737,0
0.9065864,0.09341359,0
0.17072615,0.8292739,1
0.17928974,0.82071024,1
0.12578046,0.8742195,1
0.36154553,0.6384545,1
0.33789432,0.66210574,1
0.1433091,0.8566908,1
0.40362126,0.5963788,0
0.881494,0.11850601,0
0.33670518,0.6632948,1
0.2872398,0.71276027,1
0.112284906,0.88771516,1
0.10974055,0.8902595,1
0.111353524,0.8886465,1
0.11289592,0.8871041,1
0.12578046,0.8742195,1
0.13579832,0.8642017,1
0.17744581,0.8225542,0
0.22255251,0.7774475,0
0.6672499,0.33275008,0
0.27031475,0.7296853,0
0.6956887,0.30431125,0
0.286781,0.713219,0
0.35958162,0.6404184,1
0.1797082,0.82029176,1
0.15124139,0.8487586,1
0.25174582,0.7482542,1
0.5940785,0.40592152,0
0.7727771,0.22722287,0
0.15068677,0.8493132,0
0.16009663,0.83990335,0
0.3316497,0.66835034,0
0.35485473,0.64514524,0
0.36328813,0.6367119,0
0.18801318,0.8119868,0
0.11641743,0.88358265,1
0.22167146,0.77832854,0
0.15795778,0.8420422,1
0.26496738,0.7350326,1
0.71453184,0.28546813,0
0.7494273,0.2505727,0
0.26436448,0.7356355,1
0.1562856,0.8437144,1
0.27666438,0.7233356,1
0.114482485,0.8855175,1
0.11602447,0.88397557,1
0.22815605,0.7718439,1
0.1345495,0.86545056,1
0.27115417,0.7288459,0
0.14022084,0.8597791,1
0.1595895,0.84041053,1
0.3097099,0.6902901,0
0.75401634,0.24598369,0
0.81399786,0.18600214,0
0.46448335,0.53551674,0
0.12859738,0.8714026,1
0.25724176,0.7427582,0
0.30726743,0.6927325,0
0.32189274,0.67810726,0
0.22486772,0.7751323,1
0.2562265,0.7437735,1
0.37934238,0.6206577,0
0.5004939,0.4995061,0
0.73152375,0.26847625,0
0.84333444,0.1566656,0
0.90431494,0.09568502,0
0.83439744,0.1656025,0
0.49240828,0.5075917,0
0.49765456,0.5023455,0
0.4986456,0.5013544,0
0.73321444,0.2667856,0
0.77517074,0.22482929,0
0.90084004,0.09916,0
0.9052881,0.09471183,0
0.8927084,0.10729161,0
0.1009817,0.89901835,1
0.15784024,0.8421598,1
0.15793101,0.842069,1
0.13081458,0.8691854,1
0.20389366,0.7961064,1
0.28523672,0.7147633,1
0.4901964,0.5098036,0
0.76341075,0.23658921,0
0.7525971,0.24740289,0
0.7010008,0.2989992,0
0.2595512,0.7404488,0
0.20991194,0.79008806,0
0.11962296,0.880377,1
0.21430081,0.7856992,0
0.20272826,0.7972717,0
0.15572272,0.84427726,1
0.1699011,0.83009887,1
0.15629643,0.84370357,1
0.75623447,0.24376555,0
0.57888937,0.42111063,0
0.16704893,0.83295107,1
0.15553795,0.84446204,1
0.16101912,0.83898085,1
0.37142447,0.6285755,0
0.17011884,0.82988113,1
0.14157163,0.8584284,1
0.20774671,0.7922533,0
0.6474175,0.3525825,0
0.2569036,0.7430964,1
0.2569036,0.7430964,1
0.70496166,0.29503834,0
0.7146733,0.28532672,0
0.16997033,0.8300297,1
0.78174806,0.21825193,0
0.71702105,0.28297892,1
0.27935243,0.7206476,1
0.12031426,0.87968576,1
0.20904773,0.79095227,1
0.21123242,0.7887676,1
0.65332365,0.3466763,0
0.67054987,0.32945022,0
0.67859423,0.3214058,0
0.68763405,0.31236592,0
0.2788636,0.72113645,1
0.7293915,0.27060845,0
0.17050004,0.82949996,1
0.38767967,0.6123203,1
0.6790751,0.32092494,0
0.74301547,0.25698456,0
0.7018974,0.2981026,0
0.118676096,0.8813239,1
0.17734377,0.8226562,1
0.10275372,0.89724624,1
0.12414661,0.87585336,1
0.24412392,0.75587606,0
0.2499256,0.7500744,0
0.2235172,0.7764828,0
0.22462432,0.77537566,0
0.12907206,0.87092793,1
0.16716745,0.8328326,1
0.17451169,0.8254883,1
0.8003331,0.19966689,0
0.6298649,0.3701351,0
0.5055196,0.49448034,0
0.1459282,0.8540718,1
0.16716745,0.8328326,1
0.17223002,0.82777,1
0.55887884,0.44112122,0
0.757278,0.24272202,0
0.6832386,0.3167613,0
0.27376264,0.72623736,1
0.36464244,0.63535756,1
0.17223002,0.82777,0
0.17502141,0.82497865,0
0.7562635,0.24373646,0
0.41751248,0.58248746,0
0.64437324,0.35562676,0
0.6710764,0.32892364,0
0.6980146,0.30198538,0
0.704919,0.295081,0
0.7148642,0.28513584,0
0.7286405,0.27135944,0
0.7298619,0.27013806,0
0.63018,0.36982003,0
0.6455776,0.35442248,0
0.817502,0.18249804,0
0.3807442,0.61925584,1
0.2552773,0.74472266,1
0.6449792,0.35502085,0
0.64613867,0.35386124,0
0.65022606,0.34977394,0
0.6582262,0.3417739,0
0.73076075,0.26923925,0
0.73333097,0.26666903,0
0.36463892,0.63536114,1
0.40109047,0.59890956,1
0.69818753,0.3018125,1
0.37616643,0.6238336,1
0.57194465,0.4280553,0
0.6451821,0.354818,0
0.6477672,0.3522329,0
0.6980146,0.30198538,0
0.61493844,0.38506153,1
0.6407107,0.35928932,0
0.70512563,0.2948744,0
0.72847193,0.271528,0
0.73333097,0.26666903,0
0.6415856,0.35841447,0
0.55091274,0.44908723,1
0.7004986,0.29950145,1
0.6449792,0.35502085,0
0.6639647,0.33603534,0
0.733514,0.26648596,0
0.7381462,0.26185375,0
0.79504627,0.20495375,1
0.36753196,0.63246804,1
0.6457414,0.3542586,0
0.6580155,0.34198454,0
0.286781,0.713219,1
0.7600485,0.23995152,0
0.9150328,0.08496722,0
0.91727054,0.08272941,0
0.9053585,0.09464149,0
0.78252774,0.21747224,0
0.6449792,0.35502085,0
0.26012313,0.7398768,1
0.2635875,0.73641247,1
0.26282498,0.73717505,1
0.3018885,0.69811153,1
0.3018885,0.69811153,1
0.7221999,0.27780005,0
0.7295091,0.27049085,0
0.7311886,0.26881137,0
0.9071038,0.09289621,0
0.8899068,0.110093184,0
0.28573382,0.7142661,1
0.6507395,0.3492605,0
0.71121407,0.28878593,0
0.71422505,0.28577498,0
0.71631175,0.2836883,0
0.40503377,0.59496623,1
0.8436254,0.15637454,0
0.56996965,0.43003038,0
0.56754494,0.432455,0
0.5809528,0.41904715,0
0.64255834,0.35744172,0
0.6460373,0.35396272,0
0.6715719,0.3284281,0
0.68071634,0.31928363,0
0.6976451,0.30235484,0
0.70576596,0.29423404,0
0.7301547,0.26984528,0
0.73120195,0.2687981,0
0.64569783,0.3543021,0
0.7303598,0.2696402,0
0.64240247,0.3575975,0
0.6423665,0.35763344,0
0.64373815,0.35626182,0
0.64537156,0.35462844,0
0.6478381,0.35216188,0
0.6512936,0.34870636,0
0.66856945,0.33143058,0
0.72639346,0.27360657,0
0.7297965,0.27020353,0
0.8658512,0.13414878,0
0.883286,0.116713986,0
0.45611492,0.5438851,1
0.5665258,0.43347412,0
0.64197874,0.3580213,0
0.6449852,0.35501474,0
0.6478381,0.35216188,0
0.65136755,0.3486325,0
0.7276212,0.27237883,0
0.7308457,0.2691543,0
0.75489926,0.24510081,0
0.6093348,0.3906651,0
0.6145841,0.38541594,0
0.6415506,0.35844934,0
0.66866064,0.33133933,0
0.7123769,0.28762314,0
0.6970889,0.30291113,0
0.69839346,0.3016065,0
0.3847084,0.61529166,1
0.39702362,0.6029763,1
0.70576096,0.294239,0
0.8693186,0.13068135,0
0.83708936,0.1629106,1
0.24791361,0.75208634,1
0.2349884,0.7650116,1
0.67124826,0.32875174,0
0.6883131,0.3116869,0
0.69817877,0.30182126,0
0.1844568,0.8155432,1
0.1844568,0.8155432,1
0.2978909,0.7021091,1
0.52826965,0.47173032,0
0.7824339,0.21756604,0
0.8712654,0.12873459,0
0.18058406,0.81941587,1
0.6478074,0.35219258,0
0.65041983,0.34958008,0
0.6540398,0.34596017,0
0.658593,0.34140703,0
0.6883131,0.3116869,0
0.288246,0.71175396,1
0.73076075,0.26923925,0
0.73227584,0.26772416,0
0.81285715,0.18714277,0
0.56884044,0.43115953,1
0.20791928,0.79208076,1
0.20761576,0.7923842,1
0.26548126,0.73451877,1
0.20860054,0.7913995,1
0.18871741,0.81128263,1
0.37444773,0.6255523,1
0.7298619,0.27013806,0
0.3154221,0.6845779,1
0.5317085,0.46829155,0
0.6501957,0.34980425,0
0.6447986,0.3552014,0
0.6463336,0.3536664,0
0.26354238,0.7364575,1
0.11336223,0.8866378,1
0.15910544,0.8408946,1
0.15910544,0.8408946,1
0.16543357,0.8345665,1
0.1735285,0.8264715,1
0.38695207,0.6130479,0
0.38621873,0.61378133,0
0.26833746,0.7316626,0
0.13282803,0.86717194,1
0.1351704,0.86482966,1
0.14103164,0.8589684,1
0.18019791,0.81980205,1
0.15723339,0.8427666,1
0.32374677,0.6762532,1
0.422544,0.577456,0
0.2664449,0.7335551,0
0.73193145,0.26806855,0
0.18477204,0.815228,0
0.26164883,0.7383511,0
0.12839086,0.87160915,0
0.14586426,0.85413575,0
0.15683825,0.84316176,0
0.17512974,0.8248702,1
0.110846974,0.88915306,1
0.22667922,0.7733208,0
0.21739931,0.7826007,0
0.88208944,0.117910564,0
0.7168345,0.28316545,0
