prob_class_0,prob_class_1,prob_class_2,true_label
0.0027880776,0.14436321,0.8528487,2
0.001556169,0.07827427,0.92016953,2
0.0024367047,0.07044909,0.9271142,2
3.4654833e-05,0.006228935,0.9937364,2
0.011872554,0.9733549,0.014772532,1
0.8859664,0.071100175,0.04293346,0
0.004582656,0.12471682,0.8707005,2
0.99502534,0.0039693736,0.0010053176,0
0.004819768,0.0028902546,0.99228996,2
0.00010122969,0.058656458,0.9412423,2
0.5969774,0.40100518,0.0020174577,1
0.06011321,0.69263923,0.24724747,1
0.0048046308,0.052356727,0.94283867,2
0.0009851546,0.007903433,0.99111134,2
3.9460785e-05,0.008015623,0.99194485,2
0.0060371445,0.015091143,0.97887176,2
4.47648e-06,0.007134132,0.99286133,2
0.00037280348,0.02597802,0.9736492,2
0.0006371796,0.0003403331,0.9990225,2
0.70435196,0.23966597,0.05598197,0
0.8879721,0.11139322,0.0006346349,0
0.28605148,0.50442845,0.20952004,2
0.7093653,0.036691137,0.2539435,2
0.00047175912,0.0040314696,0.99549675,2
0.9612204,0.03803976,0.00073986815,0
0.00045865146,0.0027281623,0.99681324,2
1.25550205e-05,0.00028884312,0.99969864,2
0.0055779926,0.89311665,0.10130542,1
0.16122219,0.33172882,0.507049,1
0.015950765,0.02626408,0.9577851,2
0.98273844,0.016735878,0.0005256501,0
0.9796917,0.008400778,0.011907534,0
5.0631363e-05,0.0017450954,0.99820423,2
0.0031533951,0.005307523,0.99153906,2
0.96716577,0.03165979,0.0011743507,0
0.8329695,0.13476717,0.032263406,0
0.0010586289,0.028851165,0.97009027,2
4.728845e-05,0.0016885451,0.99826413,2
1.0966593e-05,0.00818232,0.99180675,2
0.39924595,0.26941478,0.33133933,2
0.8879721,0.11139322,0.0006346349,0
0.0004131304,0.013738613,0.9858482,2
0.88445324,0.06984194,0.04570483,0
0.30395755,0.6855928,0.010449724,1
0.22203636,0.02785089,0.7501127,2
0.023086337,0.9489386,0.027975028,2
0.22423375,0.4553105,0.3204557,1
0.0027361326,0.98794913,0.00931472,1
0.84694594,0.14211106,0.010943029,0
0.7474993,0.2502154,0.0022852847,0
0.0040060375,0.023492327,0.9725017,2
