prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,true_label
0.42215672,0.42251292,0.0957159,0.016938733,0.02856636,0.014109191,0
0.48030597,0.37862992,0.087368816,0.0124819195,0.024954008,0.016259337,0
0.37186927,0.44434702,0.08651136,0.026792526,0.038659494,0.031820353,0
0.4391367,0.4092892,0.09298533,0.016312819,0.028015804,0.014260097,0
0.40423146,0.31939945,0.092981584,0.044924535,0.052146826,0.086316176,0
0.4386087,0.40153322,0.08706216,0.017795257,0.030279025,0.024721589,0
0.4070851,0.4373099,0.084788226,0.018502261,0.030301617,0.022012915,0
0.4200803,0.40139368,0.11009355,0.019971527,0.032185405,0.016275596,0
0.4316442,0.40268755,0.089403085,0.01878655,0.03064077,0.026837787,0
0.4719447,0.3848447,0.096863955,0.011873026,0.023416385,0.011057301,0
0.47736624,0.37240735,0.09227375,0.01407839,0.02602912,0.017845023,0
0.4405518,0.41234645,0.09476757,0.014083462,0.025642522,0.012608263,0
0.42941582,0.37955502,0.10828251,0.022761004,0.035327125,0.02465864,0
0.35733652,0.29136685,0.06270572,0.039197505,0.046296634,0.20309682,0
0.38054344,0.43575758,0.10228722,0.025288774,0.03426099,0.021862043,1
0.32615998,0.4339717,0.10030699,0.044107,0.05060614,0.044848185,1
0.40734705,0.42330512,0.10051484,0.019362364,0.03173013,0.017740482,1
0.40674713,0.35359037,0.08268171,0.030503154,0.04187231,0.084605284,1
0.36731428,0.44461447,0.100397564,0.028001625,0.037227858,0.022444217,1
0.37779525,0.41814005,0.095149614,0.030738192,0.040764075,0.037412845,1
0.32075152,0.38745704,0.08497608,0.05625567,0.053961623,0.09659816,1
0.043816354,0.26269418,0.022827711,0.20369436,0.06397581,0.4029916,1
0.08404493,0.37177926,0.03136516,0.15014932,0.067541406,0.2951199,1
0.43947342,0.39241686,0.10381602,0.017730238,0.029554743,0.017008793,1
0.3872136,0.44318816,0.08916208,0.021779094,0.033945993,0.024711106,1
0.32099953,0.45289528,0.08178837,0.03766555,0.04216263,0.06448863,1
0.26777828,0.49530813,0.07428777,0.044741195,0.04661428,0.07127031,1
0.38505217,0.44652703,0.094019905,0.022134244,0.03346298,0.018803684,1
0.40242517,0.41368237,0.10851221,0.022485632,0.034123313,0.01877116,1
0.43389082,0.39855784,0.1026935,0.017793585,0.030388894,0.016675316,2
0.44200143,0.3681454,0.10408756,0.022991091,0.035282232,0.0274923,2
0.45202026,0.37275878,0.10278304,0.019165479,0.031619903,0.02165255,2
0.17339545,0.41832644,0.07665171,0.12228756,0.07273803,0.13660085,3
0.12157465,0.41574273,0.059276693,0.16661538,0.07386285,0.16292775,3
0.079922706,0.28833553,0.035519924,0.15623584,0.061360586,0.37862542,3
0.43915546,0.38933328,0.09965732,0.018876947,0.032285534,0.02069145,4
0.44312888,0.37575644,0.09920453,0.02002529,0.034171186,0.027713774,4
0.32843113,0.41028467,0.099837914,0.046145327,0.052277252,0.0630236,5
0.15105677,0.40832144,0.064916044,0.15395766,0.08134413,0.14040396,5
0.11527031,0.2240281,0.03366846,0.0824279,0.052814826,0.49179047,5
0.107081555,0.5374397,0.04074185,0.14593662,0.06656584,0.1022345,5
0.034225665,0.051614754,0.0056477,0.02301932,0.016048374,0.8694442,5
