prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,true_label
0.4122891,0.3939562,0.09669754,0.039376445,0.034049496,0.02363121,0
0.26726902,0.48343602,0.079617776,0.07024549,0.036206663,0.06322501,0
0.36224905,0.39297456,0.09736761,0.05202846,0.04202849,0.05335184,0
0.44020006,0.3656858,0.09615834,0.036812305,0.035506085,0.025637455,0
0.49048018,0.3251031,0.08656566,0.03885366,0.0320551,0.02694228,0
0.5221066,0.30497286,0.066404805,0.05294153,0.02475808,0.028816158,0
0.4333429,0.3881703,0.09383697,0.031963043,0.03241213,0.020274647,0
0.43278238,0.3880246,0.09352377,0.033234295,0.031785354,0.020649614,0
0.38724586,0.38262093,0.09888936,0.046776652,0.04076959,0.043697584,0
0.43483558,0.36147523,0.10076107,0.03902293,0.037258808,0.026646372,0
0.5397835,0.28803462,0.067507304,0.051577047,0.024497354,0.02860013,0
0.44477355,0.37318397,0.09624905,0.031257488,0.033232227,0.021303661,0
0.39097023,0.37129667,0.09896227,0.06148651,0.03673028,0.04055416,0
0.42386612,0.35548925,0.08946535,0.059751745,0.033668354,0.03775929,0
0.42180276,0.3986805,0.092247784,0.03740736,0.02955268,0.02030883,1
0.4016062,0.38583905,0.10330998,0.043277323,0.038240075,0.027727341,1
0.357894,0.34869623,0.079705834,0.076362245,0.042063285,0.0952783,1
0.40028673,0.394782,0.09294402,0.048168562,0.030230027,0.033588585,1
0.29063368,0.4360933,0.08072044,0.09300861,0.03817441,0.061369583,1
5.2179228e-05,0.0061590318,1.7477369e-05,0.023619976,0.00031013283,0.9698411,1
0.1387371,0.28301144,0.06908539,0.16381148,0.061016057,0.28433856,1
0.41808295,0.37284797,0.10058706,0.038622957,0.039862625,0.029996542,1
0.24795422,0.46931082,0.08617488,0.07812166,0.04437216,0.074066274,1
0.36124554,0.37997895,0.10825636,0.05869641,0.046949986,0.044872712,1
0.38856468,0.37502936,0.10907636,0.04662707,0.044772018,0.03593048,1
0.07573133,0.37536785,0.037049986,0.20861559,0.038110815,0.26512447,1
0.29127708,0.4478954,0.086379685,0.06326683,0.04453378,0.0666472,1
0.42608392,0.39761585,0.0914931,0.03545851,0.02921746,0.020131184,1
0.4241725,0.39420623,0.09370761,0.036422007,0.029816395,0.021675337,1
0.5351432,0.2870837,0.07175161,0.050554458,0.026525985,0.028941073,2
0.39594996,0.3442369,0.10240631,0.056644157,0.050516523,0.050246097,2
0.42290977,0.3582631,0.10500192,0.042029157,0.041195266,0.030600857,2
0.007049032,0.07116062,0.0023227532,0.05660244,0.0055382648,0.8573269,3
0.18491492,0.38868052,0.06644511,0.1328582,0.050427966,0.17667326,3
0.30466142,0.4599302,0.06773661,0.08130031,0.026046013,0.06032551,3
0.12122174,0.25468075,0.067529164,0.16404273,0.07570094,0.31682462,4
0.009941849,0.095744394,0.0043715043,0.10787169,0.022660663,0.7594099,4
0.15831931,0.2641432,0.07636501,0.12513748,0.08501801,0.291017,5
0.033938847,0.10232388,0.016446423,0.09751203,0.041844342,0.70793444,5
0.034515258,0.11233489,0.01802777,0.10918322,0.041062023,0.68487686,5
0.03190167,0.1081175,0.016805578,0.10261293,0.041772418,0.6987899,5
0.004888895,0.069371566,0.002271338,0.07826825,0.009058554,0.8361414,5
0.01756023,0.091234416,0.009459698,0.1049395,0.027983721,0.7488224,5
