prob_class_0,prob_class_1,true_label
0.9686432,0.031356774,0
0.5171799,0.48282018,1
0.9690298,0.030970192,0
0.8460854,0.15391454,0
0.8680486,0.13195144,0
0.8661331,0.13386692,0
0.46259475,0.5374052,0
0.9812368,0.0187632,0
0.9667954,0.033204567,0
0.49456927,0.50543076,1
0.96792173,0.032078307,0
0.3706755,0.62932444,1
0.5264749,0.4735251,1
0.75098044,0.24901955,0
0.90632635,0.09367358,0
0.14218093,0.85781914,1
0.8829187,0.11708128,0
0.87619585,0.12380417,0
0.17416757,0.8258325,1
0.112469666,0.8875303,1
0.17977981,0.8202202,0
0.95063615,0.04936389,0
0.81682706,0.18317296,0
0.9126674,0.087332636,0
0.51991457,0.4800854,1
0.8903793,0.10962072,0
0.7952406,0.20475945,0
0.70768785,0.29231215,0
0.9648505,0.035149463,0
0.78852034,0.21147971,0
0.081562206,0.91843784,1
0.9690298,0.030970192,0
0.86684465,0.13315533,0
0.32222033,0.6777797,0
0.8910558,0.10894419,0
0.32222033,0.6777797,0
0.4318705,0.56812954,0
0.36257753,0.63742244,1
0.20425773,0.79574233,1
0.82166594,0.17833401,0
0.86743355,0.13256645,0
0.919212,0.08078804,0
0.8910558,0.10894419,0
0.19232218,0.8076778,1
0.17149061,0.8285094,1
0.17192869,0.8280713,1
0.19381684,0.80618316,1
0.70958453,0.2904155,0
0.9575821,0.042417917,0
0.18523516,0.81476486,1
0.17149061,0.8285094,1
0.53619885,0.46380118,1
0.17963803,0.820362,1
0.19302261,0.8069774,1
0.8742843,0.12571566,0
0.92559385,0.07440614,0
0.17149061,0.8285094,1
0.79099244,0.2090075,1
0.17558102,0.82441896,1
0.8476429,0.15235716,1
0.69634223,0.3036578,0
0.26173913,0.73826087,1
0.925367,0.07463307,0
0.84277946,0.15722051,0
0.9527859,0.047214072,0
0.17266238,0.8273376,1
0.75070375,0.24929623,0
0.8279533,0.17204675,0
0.96184313,0.038156856,0
0.11693161,0.8830683,1
0.5037234,0.49627668,0
0.72737616,0.27262387,1
0.1952386,0.80476135,1
0.9575821,0.042417917,0
0.20775904,0.792241,1
0.74106115,0.25893876,1
0.96748036,0.03251968,1
0.9690298,0.030970192,0
0.14758323,0.8524168,1
0.9805916,0.019408442,0
0.4562911,0.54370886,1
0.17149061,0.8285094,1
0.9690298,0.030970192,0
0.08815331,0.91184664,1
0.93878245,0.061217513,0
0.11108612,0.88891387,1
0.32222033,0.6777797,1
0.5909849,0.40901515,0
0.79086965,0.20913036,0
0.9812368,0.0187632,0
0.114887334,0.8851127,1
0.086395055,0.9136049,1
0.096513875,0.9034861,1
0.5484298,0.45157015,0
0.35881433,0.6411857,1
0.85114557,0.14885448,0
0.7430452,0.2569548,0
0.52071893,0.47928104,0
0.90302145,0.096978486,0
0.88431317,0.11568679,0
0.18161374,0.81838626,1
0.15606414,0.8439359,0
0.069251664,0.9307484,1
0.9092462,0.09075387,0
0.9809996,0.019000404,1
0.37295073,0.6270492,1
0.9670222,0.03297778,0
0.9716134,0.028386548,0
0.26655987,0.73344016,1
0.17149061,0.8285094,1
0.9253344,0.074665554,0
0.92942786,0.070572086,0
0.10744392,0.8925561,1
0.803286,0.19671403,0
0.34408662,0.6559134,1
0.8415352,0.15846485,0
0.17149061,0.8285094,1
0.95379955,0.04620041,1
0.7736468,0.22635318,1
0.21115893,0.788841,1
0.36272123,0.63727874,1
0.28519773,0.7148022,1
0.17158568,0.8284143,0
0.19990416,0.80009586,0
0.9812368,0.0187632,0
0.17149061,0.8285094,1
0.087209724,0.91279024,1
0.617309,0.38269106,0
0.17149061,0.8285094,1
0.8132512,0.18674885,0
0.561817,0.438183,0
0.670443,0.329557,1
0.72737616,0.27262387,0
0.8744686,0.12553133,0
0.5582394,0.44176063,1
0.9690298,0.030970192,0
0.8903793,0.10962072,0
0.921178,0.07882201,0
0.12189103,0.8781089,1
0.3538232,0.64617676,1
0.9404775,0.059522483,0
0.85607415,0.14392585,0
0.17214657,0.82785344,1
0.5131639,0.48683608,0
0.9575821,0.042417917,0
0.26145312,0.73854685,0
0.9175556,0.08244438,0
0.90192413,0.098075815,1
0.52769834,0.47230172,0
0.17149061,0.8285094,1
0.8799271,0.12007293,0
0.17149061,0.8285094,1
0.07028416,0.9297159,1
0.06916049,0.9308395,1
0.9812368,0.0187632,0
0.87165445,0.12834558,0
0.9263204,0.07367962,0
0.77843684,0.2215632,0
0.8087679,0.19123209,1
0.101443246,0.89855677,1
0.1102634,0.88973665,1
0.8476429,0.15235716,0
0.9690298,0.030970192,0
0.6207579,0.3792421,1
0.9686432,0.031356774,0
0.15143403,0.848566,1
0.9812368,0.0187632,0
0.09858096,0.901419,1
0.7560868,0.24391311,1
0.8910558,0.10894419,0
0.18057162,0.8194284,1
0.538795,0.46120495,0
0.8720262,0.12797375,0
0.744439,0.25556102,1
0.5162908,0.48370922,0
0.17149061,0.8285094,1
0.96818775,0.03181225,0
0.17303161,0.82696843,1
0.5810156,0.41898438,0
0.97054815,0.029451843,0
0.8295145,0.17048545,0
0.88625973,0.11374031,1
0.17149061,0.8285094,1
0.59548384,0.40451616,1
