prob_class_0,prob_class_1,prob_class_2,true_label
0.9114627,0.06704904,0.021488264,0
0.86387604,0.07875345,0.057370514,0
0.3307812,0.45162055,0.2175983,1
0.53114605,0.4216372,0.04721676,0
0.38836795,0.5280189,0.08361313,1
0.8531365,0.09853806,0.048325393,0
0.58862656,0.30258927,0.108784206,1
0.42881116,0.41044724,0.16074167,1
0.70681685,0.20822024,0.0849629,0
0.63783216,0.3034868,0.05868102,2
0.7333812,0.15440805,0.11221069,2
0.2746468,0.4122744,0.31307882,0
0.24611543,0.6450047,0.10887986,1
0.5528281,0.28575602,0.16141586,0
0.27676442,0.64660525,0.076630265,0
0.38254791,0.48226643,0.13518573,0
0.56629294,0.3844576,0.049249496,0
0.8251924,0.036620867,0.13818677,0
0.30921847,0.28605506,0.40472654,2
0.3514834,0.39947492,0.2490417,0
0.5509781,0.132438,0.31658387,2
0.3822601,0.562685,0.055054817,1
0.8394855,0.082815975,0.077698536,0
0.5563676,0.21437535,0.2292571,2
0.58526605,0.3874501,0.027283857,1
0.8597439,0.053169597,0.08708656,0
0.44638476,0.37020844,0.18340674,0
0.609954,0.27431142,0.115734585,2
0.58172643,0.20444773,0.21382579,0
0.42165908,0.3853653,0.19297561,0
0.74715614,0.14119965,0.11164426,0
0.17777877,0.59491974,0.22730151,1
0.7236021,0.15772726,0.11867062,0
0.8051604,0.11581424,0.07902531,0
0.82522964,0.10031078,0.074459545,0
0.54883206,0.36621743,0.08495057,0
0.75077057,0.091473326,0.15775609,0
0.26949075,0.27071488,0.45979437,2
0.21776897,0.7259645,0.05626652,1
0.7403587,0.14364608,0.115995176,0
0.60334647,0.17184247,0.22481108,1
0.3421022,0.5664901,0.091407716,0
0.2264187,0.35369325,0.419888,0
0.73267645,0.20852965,0.058793876,0
0.7521697,0.16676779,0.08106248,1
0.54434663,0.30396715,0.1516862,1
0.91845113,0.057002507,0.02454643,0
0.32945004,0.5627212,0.107828766,2
0.8226209,0.106520146,0.07085889,0
0.34605354,0.37580118,0.27814525,0
0.8678765,0.07731534,0.054808248,0
0.4947014,0.30672973,0.19856882,0
0.21408378,0.74313045,0.042785812,0
0.3761352,0.36098012,0.2628847,1
0.39188534,0.24871597,0.35939875,0
0.6869045,0.112417124,0.20067841,2
0.28411934,0.46273214,0.2531486,1
0.68009555,0.23378912,0.08611539,0
0.571655,0.12673806,0.30160695,0
0.8939025,0.042943966,0.0631536,0
0.22902432,0.3577933,0.41318235,1
0.8629059,0.10957895,0.027515126,0
0.7702767,0.10065638,0.12906691,0
0.2693865,0.67910975,0.051503755,1
0.7900824,0.13614787,0.07376979,0
0.76450014,0.16143502,0.07406481,0
0.80284977,0.18407235,0.0130778635,0
0.80758643,0.107892126,0.084521465,0
0.20115405,0.5110489,0.287797,2
0.50167227,0.3061776,0.1921502,1
0.64417076,0.2299885,0.12584075,0
0.97047013,0.019606825,0.009923005,0
0.38191986,0.48809087,0.12998927,1
