prob_class_0,prob_class_1,prob_class_2,true_label
0.8555685,0.05082408,0.09360738,0
0.83256525,0.10077019,0.066664554,2
0.30291003,0.5808685,0.116221495,1
0.8723092,0.07241147,0.055279285,0
0.87634295,0.04417592,0.07948112,0
0.8905179,0.03944454,0.07003767,2
0.45942184,0.40977538,0.1308028,1
0.84959877,0.084425725,0.06597546,0
0.7481874,0.18598576,0.06582677,2
0.7980737,0.107362546,0.09456371,0
0.71544075,0.16563241,0.118926845,0
0.6168125,0.21606554,0.16712195,1
0.9580587,0.014450921,0.027490297,0
0.881153,0.061356086,0.057491,0
0.21738465,0.28678057,0.49583477,1
0.16770382,0.5894743,0.24282184,0
0.2368512,0.59706783,0.166081,0
0.55094236,0.2786221,0.17043546,0
0.786706,0.1653944,0.047899686,0
0.69222575,0.21626109,0.09151317,0
0.9678026,0.014983587,0.01721378,0
0.72656107,0.17630503,0.09713395,0
0.2738556,0.63237154,0.09377291,2
0.7647853,0.17864707,0.056567702,1
0.8588188,0.1003733,0.040807944,0
0.64280534,0.20636167,0.15083307,0
0.52211004,0.15741943,0.32047048,0
0.8073189,0.06588702,0.12679407,0
0.39910612,0.47265366,0.12824024,1
0.13662872,0.6894382,0.17393306,1
0.8123914,0.08238279,0.105225824,2
0.36519858,0.3305095,0.3042919,0
0.7355598,0.16113675,0.1033034,0
0.70443267,0.1093699,0.18619741,0
0.16088544,0.53430575,0.30480877,1
0.5056795,0.37299204,0.12132847,1
0.6948973,0.21236211,0.09274062,1
0.9080424,0.037697677,0.054259963,0
0.5566688,0.37857094,0.06476028,1
0.5335311,0.41987234,0.046596583,1
0.8312318,0.08012535,0.08864294,0
0.15759778,0.6877171,0.15468514,1
0.28880763,0.4145022,0.29669014,2
0.59171736,0.21342759,0.19485502,0
0.50186765,0.10295231,0.3951801,0
0.3548874,0.39465052,0.250462,1
0.6226564,0.14012823,0.23721538,1
0.9069728,0.046218358,0.046808835,0
0.52735615,0.44300982,0.029634051,1
0.9614114,0.017740915,0.020847645,0
0.64491564,0.21595412,0.1391302,0
0.73687935,0.114905216,0.14821546,2
0.7158083,0.13898623,0.14520544,2
0.678208,0.14050618,0.18128592,0
0.21677934,0.47687852,0.30634218,0
0.8376046,0.10289686,0.05949855,2
0.3793226,0.39330807,0.22736937,0
0.9015119,0.039802752,0.058685396,0
0.7693802,0.058425676,0.17219415,0
0.58843017,0.11962834,0.29194152,0
0.8835767,0.058378994,0.058044333,0
0.8072508,0.10541696,0.08733225,0
0.68592334,0.16384563,0.15023099,0
0.68974733,0.19453315,0.1157195,1
0.86236763,0.05247132,0.08516108,0
0.61851394,0.23169436,0.14979161,0
0.8822305,0.06320655,0.0545629,0
0.9040616,0.043007832,0.052930575,0
0.48223737,0.382241,0.13552153,1
0.75880784,0.17914535,0.06204678,0
0.7895402,0.07386471,0.13659506,0
0.20011507,0.5883178,0.21156715,2
0.57494646,0.21655117,0.20850237,0
