prob_class_0,prob_class_1,prob_class_2,true_label
0.4967897,0.31709155,0.1861187,1
0.5616039,0.26857936,0.16981672,1
0.6258462,0.24392985,0.13022397,0
0.49464142,0.3012014,0.20415711,1
0.53044736,0.29628977,0.17326279,0
0.40216878,0.32279524,0.27503598,0
0.41639298,0.31978536,0.26382172,2
0.40456584,0.320518,0.27491614,2
0.38997743,0.3344772,0.27554542,2
0.57887214,0.2746642,0.14646369,0
0.56895757,0.27338088,0.15766162,0
0.42203516,0.3480612,0.22990362,0
0.36631525,0.33151877,0.30216601,1
0.38700888,0.32707182,0.2859193,1
0.3671042,0.33274275,0.30015305,2
0.44220316,0.3346979,0.223099,0
0.56224436,0.28548265,0.15227303,0
0.46237502,0.28595704,0.251668,1
0.32393277,0.440801,0.23526621,0
0.48003,0.3035663,0.21640363,0
0.5276559,0.29272163,0.17962252,1
0.580038,0.28535134,0.13461061,0
0.4620546,0.3047289,0.23321642,0
0.52100426,0.30158868,0.17740712,0
0.5276789,0.29168183,0.18063925,0
0.35886425,0.371443,0.26969266,0
0.34760636,0.4683651,0.18402852,2
0.39341253,0.31791532,0.28867212,0
0.44648322,0.31699076,0.23652606,1
0.42340782,0.32250544,0.2540867,2
0.44424024,0.3334535,0.22230627,0
0.52842915,0.25435486,0.21721601,2
0.4099962,0.3981998,0.19180395,1
0.43621582,0.2922981,0.271486,0
0.40612465,0.31545854,0.2784168,1
0.39967835,0.33697942,0.26334226,0
0.4065964,0.3120789,0.2813247,0
0.43183616,0.30728042,0.26088345,0
0.423292,0.33055043,0.2461575,0
0.6258462,0.24392985,0.13022397,0
0.5276789,0.29168183,0.18063925,0
0.39015847,0.46760327,0.14223836,1
0.4451799,0.33330256,0.22151753,0
0.4578054,0.3360246,0.20616995,0
0.639769,0.2461017,0.11412925,0
0.5533585,0.3456392,0.10100234,1
0.7970334,0.1583768,0.044589825,0
0.5219084,0.28854162,0.18954995,2
0.5215813,0.3032253,0.17519334,0
0.5295562,0.27489832,0.19554551,0
0.42999384,0.349338,0.22066814,0
0.48512435,0.32973915,0.18513657,0
0.46891835,0.467292,0.063789666,1
0.42480963,0.34618688,0.22900347,0
0.51846325,0.28164485,0.19989194,0
0.42863974,0.43644103,0.13491914,1
0.5220475,0.30925688,0.16869563,0
0.640403,0.2528682,0.106728815,0
0.41361296,0.33160964,0.25477734,1
0.40947387,0.3266895,0.2638366,1
0.37770584,0.32666695,0.2956272,0
0.31194606,0.34071335,0.34734052,2
0.39822102,0.32688007,0.2748989,0
0.49983656,0.2973785,0.2027849,0
0.4747942,0.28243265,0.24277319,0
0.43002513,0.4684855,0.10148939,1
0.3607414,0.33478433,0.30447426,1
0.37326267,0.32681847,0.29991886,0
0.39809653,0.36916745,0.23273602,0
0.48760685,0.29794553,0.2144476,0
0.56207544,0.37597412,0.06195045,0
0.54041094,0.29017574,0.16941322,2
