prob_class_0,prob_class_1,true_label
0.0788941,0.92110586,1
0.08715413,0.91284585,1
0.0056657423,0.9943342,1
0.022498054,0.9775019,1
0.009010047,0.9909899,1
0.019340955,0.980659,1
0.009583307,0.99041677,1
0.016886132,0.9831139,1
0.06092357,0.9390764,1
0.0107153,0.9892847,1
0.004466605,0.99553335,1
0.089679874,0.9103201,1
0.1138074,0.8861926,1
0.03559519,0.9644048,1
0.020190302,0.97980964,1
0.1392299,0.86077005,1
0.05888187,0.94111806,1
0.18699744,0.8130025,1
0.17541936,0.8245806,1
0.08458813,0.91541183,1
0.040872138,0.95912784,1
0.11173757,0.8882624,1
0.005047287,0.9949528,1
0.38406393,0.61593604,1
0.0878271,0.91217285,1
0.059664745,0.9403353,1
0.0445731,0.9554269,1
0.042381085,0.95761895,1
0.068385355,0.9316147,1
0.074670345,0.92532974,1
0.1404266,0.8595734,1
0.1633864,0.8366136,1
0.091520615,0.9084794,1
0.006455246,0.9935448,1
0.2594824,0.7405176,1
0.033422366,0.9665776,1
0.0979395,0.9020605,1
0.0044994364,0.9955005,1
0.2650468,0.73495317,1
0.072141625,0.92785835,1
0.14203846,0.85796154,1
0.021957451,0.9780425,1
0.07639056,0.92360944,1
0.0828241,0.9171759,1
0.007183827,0.9928162,1
0.3038408,0.69615924,1
0.20633066,0.79366934,1
0.012164577,0.98783547,1
0.006620195,0.99337983,1
0.06448212,0.93551785,1
0.16325955,0.8367405,1
0.016757907,0.98324215,1
0.059616946,0.9403831,1
0.07634829,0.92365164,1
0.12674665,0.87325335,1
0.2902636,0.7097364,1
0.01963469,0.98036534,1
0.2706873,0.7293127,1
0.067252934,0.9327471,1
0.7294901,0.27050987,1
0.11129416,0.88870585,1
0.43632904,0.56367093,1
0.022990916,0.9770091,1
0.115364105,0.8846359,1
0.009433909,0.9905661,1
0.0050651478,0.99493486,1
0.2523782,0.7476218,1
0.011478089,0.98852193,1
0.06325324,0.93674684,1
0.0569057,0.9430943,1
0.121586435,0.87841356,1
0.004574937,0.99542505,1
0.007108325,0.99289167,1
0.008447404,0.99155253,1
0.10173621,0.8982638,1
0.055290833,0.9447091,1
0.2842793,0.7157208,1
0.029611103,0.9703888,1
0.0042334744,0.9957665,1
0.16753401,0.83246595,1
0.01105058,0.9889494,1
0.07457039,0.92542964,1
0.049204037,0.9507959,1
0.25224096,0.74775904,1
0.009675369,0.9903246,1
0.0040663606,0.9959337,1
0.10446193,0.89553803,1
0.011752883,0.9882471,1
0.03530229,0.9646977,1
0.81499785,0.18500222,1
0.04636007,0.9536399,1
0.0050877575,0.99491227,1
0.0049276003,0.9950724,1
0.097809315,0.9021907,1
0.05815975,0.9418403,1
0.016240356,0.98375964,1
0.056147937,0.94385207,1
0.011939715,0.9880603,1
