prob_class_0,prob_class_1,prob_class_2,true_label
0.00059938425,0.9981834,0.0012172046,1
1.6523279e-06,2.6597008e-06,0.9999957,2
0.0003487702,1.5986307e-05,0.9996352,2
1.6636036e-06,2.4003502e-06,0.99999595,2
1.4696673e-06,2.5625195e-06,0.99999595,2
1.3348091e-06,2.877773e-06,0.9999958,2
1.5452637e-06,2.4834044e-06,0.99999595,2
1.7688342e-06,2.2274216e-06,0.99999595,2
5.3735757e-06,2.24598e-06,0.9999924,2
1.5041593e-06,2.5323272e-06,0.99999595,2
1.554644e-06,2.4866085e-06,0.99999595,2
1.9775612e-06,2.1101962e-06,0.99999595,2
1.7980207e-06,2.4582382e-06,0.9999957,2
1.6573264e-06,2.356457e-06,0.99999595,2
1.665005e-06,2.4022718e-06,0.99999595,2
1.6479612e-06,2.5636632e-06,0.9999958,2
1.5268932e-06,2.8411928e-06,0.9999956,2
5.9139043e-06,3.7007703e-06,0.99999034,2
1.4673101e-06,2.731229e-06,0.9999958,2
2.4777748e-06,6.9274747e-06,0.9999906,2
1.4985725e-06,2.6095493e-06,0.99999595,2
1.7044653e-06,2.2412166e-06,0.99999607,2
1.5766582e-06,2.5101917e-06,0.99999595,2
1.4047931e-06,2.6987504e-06,0.99999595,2
1.7712432e-06,3.1013085e-06,0.9999951,2
0.998066,0.00016459814,0.0017694887,0
2.0131833e-06,3.7729696e-06,0.99999416,2
5.186906e-06,3.055897e-06,0.9999918,2
2.8422323e-06,1.8823616e-06,0.99999523,2
0.09303847,0.5553008,0.35166073,1
2.5132654e-06,2.3969033e-06,0.9999951,2
0.00040911848,0.99665326,0.0029376633,1
2.6273196e-06,2.0031198e-06,0.99999535,2
1.4922119e-06,2.5997576e-06,0.99999595,2
2.090619e-06,2.3297578e-06,0.9999956,2
1.5003405e-06,3.0616347e-06,0.99999547,2
2.6973264e-06,2.611378e-06,0.99999464,2
1.5249582e-06,2.678466e-06,0.9999958,2
2.2432946e-06,2.068923e-06,0.9999957,2
1.8845999e-06,3.7331276e-06,0.9999944,2
1.6564871e-06,2.5143509e-06,0.9999958,2
1.7532639e-06,2.3086695e-06,0.99999595,2
2.2304312e-06,2.050842e-06,0.9999957,2
1.6414957e-06,2.370436e-06,0.99999595,2
1.5527207e-06,2.5056952e-06,0.99999595,2
1.7437304e-06,2.5359661e-06,0.9999957,2
1.4639153e-06,2.5817558e-06,0.99999595,2
1.6210433e-06,2.481127e-06,0.99999595,2
1.6132158e-06,2.8947884e-06,0.99999547,2
1.745674e-06,2.468088e-06,0.9999958,2
2.9904907e-06,2.103427e-06,0.9999949,2
1.5850782e-06,2.6355651e-06,0.9999958,2
1.6066035e-06,2.6730813e-06,0.9999957,2
1.4614895e-06,2.5856637e-06,0.99999595,2
1.6931491e-06,3.1222844e-06,0.99999523,2
1.4022687e-06,2.6714101e-06,0.99999595,2
1.5655007e-06,3.175981e-06,0.99999523,2
1.2523357e-06,2.9379567e-06,0.9999958,2
1.7650326e-06,2.3269145e-06,0.99999595,2
1.6395262e-06,2.3346256e-06,0.99999607,2
1.4816164e-06,2.6073951e-06,0.99999595,2
1.4882121e-06,2.9881944e-06,0.99999547,2
3.0827982e-06,2.0737689e-06,0.9999949,2
1.5634572e-06,2.9028336e-06,0.9999956,2
1.4863148e-06,2.6576345e-06,0.9999958,2
1.4942051e-06,2.9752082e-06,0.9999956,2
1.4109369e-06,2.743739e-06,0.9999958,2
1.2463496e-06,3.0908848e-06,0.9999957,2
1.6108891e-06,2.4263416e-06,0.99999595,2
1.4971736e-05,6.0095913e-06,0.999979,2
1.5019632e-06,2.6763594e-06,0.9999958,2
1.5318732e-06,2.4801761e-06,0.99999595,2
1.6489456e-06,2.3336995e-06,0.99999607,2
2.5264353e-06,2.0491018e-06,0.99999547,2
4.171463e-06,2.0430728e-06,0.9999938,2
1.566625e-06,2.505418e-06,0.99999595,2
1.6395372e-06,3.2077385e-06,0.9999951,2
1.4638972e-06,2.629758e-06,0.99999595,2
1.6546705e-06,2.9876585e-06,0.99999535,2
1.6546705e-06,2.9876585e-06,0.99999535,2
1.5344884e-06,2.919185e-06,0.9999956,2
1.4380203e-06,2.679314e-06,0.9999958,2
1.5944403e-06,2.4922542e-06,0.99999595,2
1.5783703e-06,2.4787905e-06,0.99999595,2
1.6634608e-06,2.3314744e-06,0.99999595,2
1.4844497e-06,3.2530465e-06,0.99999523,2
1.5758212e-06,3.1647821e-06,0.99999523,2
1.4246876e-06,2.976142e-06,0.9999956,2
1.4839708e-06,2.6387088e-06,0.9999958,2
1.6120987e-06,2.3527925e-06,0.99999607,2
2.4775202e-06,2.1034964e-06,0.99999547,2
1.6682552e-06,2.5268796e-06,0.9999958,2
1.5085006e-06,2.5489899e-06,0.99999595,2
1.3920593e-06,2.9192968e-06,0.9999957,2
1.5998625e-06,2.5226468e-06,0.9999958,2
1.6074121e-06,3.050603e-06,0.99999535,2
4.282541e-06,1.7127933e-06,0.99999404,2
0.9980299,6.964334e-05,0.0019005183,0
1.5743973e-06,3.1680856e-06,0.99999523,2
2.0504083e-06,4.0862374e-06,0.9999939,2
1.5205601e-06,3.142976e-06,0.99999535,2
