prob_class_0,prob_class_1,true_label
0.020264447,0.9797355,1
0.99339664,0.006603342,0
0.9940101,0.0059899758,0
0.04542207,0.95457786,1
0.37449285,0.6255072,1
0.9973001,0.0026998983,0
0.9939229,0.0060770987,0
0.99752766,0.0024723054,0
0.10544507,0.8945549,0
0.04585098,0.954149,1
0.9878925,0.012107572,0
0.35016346,0.6498366,1
0.3631737,0.63682634,1
0.9981027,0.0018973346,0
0.9970693,0.0029306735,0
0.025726391,0.9742736,1
0.13423386,0.8657661,1
0.03890717,0.9610929,1
0.9973001,0.0026998983,0
0.99738044,0.002619549,0
0.9949033,0.005096652,0
0.49684817,0.50315183,1
0.997493,0.0025069711,0
0.02566093,0.97433907,1
0.93818974,0.061810207,0
0.95751685,0.042483088,0
0.9901265,0.009873476,0
0.11482103,0.8851789,1
0.99629945,0.0037005558,0
0.9960783,0.0039217374,0
0.9844171,0.015582856,0
0.999071,0.0009289157,0
0.9989128,0.0010872192,0
0.99811125,0.0018887141,0
0.9949033,0.005096652,0
0.9981027,0.0018973346,0
0.029115587,0.9708844,1
0.9992481,0.0007518674,0
0.9940101,0.0059899758,0
0.039905053,0.960095,1
0.99871814,0.0012818616,0
0.029300265,0.97069967,1
0.9973001,0.0026998983,0
0.9992481,0.0007518674,0
0.9949033,0.005096652,0
0.9973001,0.0026998983,0
0.9973001,0.0026998983,0
0.9973001,0.0026998983,0
0.9973001,0.0026998983,0
0.99629945,0.0037005558,0
0.025953116,0.97404695,1
0.99629945,0.0037005558,0
0.10876209,0.891238,0
0.08608938,0.91391057,1
0.022304084,0.9776959,1
0.0247007,0.9752993,1
0.4876235,0.5123765,1
0.9847424,0.015257632,0
0.020264447,0.9797355,1
0.06406039,0.93593967,1
0.08331417,0.9166859,1
0.07144555,0.9285544,1
0.9973001,0.0026998983,0
0.11482103,0.8851789,1
0.3017449,0.6982551,1
0.9992481,0.0007518674,0
0.038286597,0.96171343,1
0.3665159,0.6334841,1
0.11350426,0.88649577,1
0.9852771,0.014722928,0
0.06794211,0.9320579,1
0.09033331,0.9096667,1
0.9992481,0.0007518674,0
0.24782309,0.75217694,0
0.0050223675,0.99497765,1
0.99246174,0.007538282,0
0.99912804,0.0008719923,0
0.6230725,0.37692752,0
0.9981048,0.0018951766,0
0.9573546,0.042645432,0
0.3536156,0.6463844,0
0.61733717,0.38266283,0
0.027430736,0.9725692,1
0.9773875,0.02261249,0
0.102396384,0.8976037,1
0.9981027,0.0018973346,0
0.9914049,0.008595126,0
0.9934748,0.0065251845,0
0.9956689,0.004331157,0
0.9970745,0.00292552,0
0.9942252,0.005774843,0
0.023216337,0.97678363,1
0.047986522,0.9520135,1
0.99625933,0.003740664,0
0.99899596,0.0010039886,0
0.99893564,0.0010644115,0
0.99899596,0.0010039886,0
0.021239178,0.97876084,1
0.9992481,0.0007518674,0
0.9992481,0.0007518674,0
0.994079,0.005921053,0
0.99893564,0.0010644115,0
0.99671257,0.0032874516,0
0.9956594,0.0043405555,0
0.9853521,0.014647907,0
0.9955657,0.004434317,0
0.9939229,0.0060770987,0
0.027435549,0.9725645,1
0.9589055,0.04109444,0
0.9968719,0.0031280974,0
0.9949033,0.005096652,0
0.9830941,0.016905932,0
0.99671257,0.0032874516,0
0.9939229,0.0060770987,0
0.021239178,0.97876084,1
0.9863688,0.013631192,0
0.021239178,0.97876084,1
0.9929283,0.0070717027,0
0.99893564,0.0010644115,0
0.02788542,0.97211456,1
0.11350426,0.88649577,1
0.016123103,0.9838769,1
0.0018070552,0.99819297,1
0.99885285,0.0011471255,0
0.98150855,0.018491477,0
0.99875104,0.0012489281,0
0.047319613,0.9526804,1
0.999071,0.0009289157,0
0.9968719,0.0031280974,0
0.99671257,0.0032874516,0
0.99033797,0.009662051,0
0.9992481,0.0007518674,0
0.99629945,0.0037005558,0
0.088406235,0.9115938,1
0.015521352,0.9844787,1
0.99915695,0.0008430889,0
0.9992481,0.0007518674,0
0.04688915,0.9531109,1
0.998752,0.0012480292,0
