prob_class_0,prob_class_1,true_label
0.9973659,0.002634128,0
0.94420975,0.055790197,0
0.9985335,0.0014664709,0
0.07038089,0.92961913,0
0.99871206,0.0012879033,0
0.99849796,0.0015021018,0
0.015536266,0.98446375,1
0.97232234,0.027677694,0
0.04991457,0.9500854,1
0.98488057,0.015119463,0
0.01987299,0.980127,1
0.99201804,0.007981906,0
0.36399236,0.6360076,0
0.9248428,0.07515717,0
0.016302243,0.98369783,1
0.006103307,0.99389666,1
0.013450927,0.9865491,1
0.99815863,0.0018413477,0
0.006158929,0.99384105,1
0.028522093,0.9714779,1
0.9984584,0.0015415737,0
0.89121175,0.10878822,0
0.006750394,0.99324965,1
0.03238477,0.96761525,1
0.0568928,0.9431071,0
0.99113864,0.008861353,1
0.03962156,0.96037847,1
0.9985671,0.0014328796,0
0.9984875,0.0015125336,0
0.9755137,0.024486357,1
0.02387479,0.9761252,0
0.009935433,0.99006456,1
0.05881057,0.94118947,1
0.023638034,0.97636193,1
0.998387,0.0016130836,0
0.9987035,0.0012964876,0
0.064552575,0.93544745,1
0.9905263,0.009473646,1
0.9962519,0.0037481422,1
0.99783,0.0021699602,0
0.99311006,0.006889961,0
0.98476636,0.015233716,0
0.005661771,0.9943382,1
0.0071494235,0.99285054,1
0.03131523,0.9686848,1
0.08110496,0.91889507,0
0.99800223,0.0019977868,0
0.023404006,0.976596,0
0.00936112,0.99063885,1
0.998747,0.0012529787,0
0.9984505,0.0015494854,0
0.028618954,0.97138107,0
0.012406135,0.9875938,1
0.0054879547,0.9945121,1
0.99779403,0.0022059274,0
0.46374193,0.5362581,1
0.015456846,0.98454314,1
0.025040338,0.97495973,1
0.016137049,0.98386294,1
0.99623966,0.0037603443,0
0.0059594302,0.99404055,1
0.9986773,0.0013226848,0
0.012821865,0.9871781,1
0.9986841,0.0013158958,0
0.99719244,0.0028075539,0
0.056448393,0.9435516,1
0.03635822,0.9636418,1
0.9914977,0.008502258,0
0.94513065,0.054869346,0
0.06604451,0.9339555,1
0.8977633,0.102236725,0
0.9917354,0.008264611,0
0.06520339,0.93479663,0
0.9952651,0.004734825,0
0.9158119,0.08418807,0
0.9932268,0.0067732246,0
0.0068653314,0.9931346,1
0.99852294,0.0014770256,0
0.9986908,0.0013092826,0
0.9977791,0.002220934,0
0.9372024,0.06279757,0
0.027758704,0.97224134,1
0.992919,0.00708101,0
0.014708726,0.98529124,1
0.04429314,0.95570683,1
0.9737438,0.026256239,0
0.16083479,0.8391653,0
0.9612602,0.038739875,0
0.037332166,0.9626679,1
0.038389757,0.96161026,1
0.010339091,0.98966086,1
0.9529353,0.047064766,1
0.9973489,0.0026510993,0
0.95385814,0.04614189,0
0.9984351,0.001564943,0
0.006605548,0.99339443,1
0.012034722,0.98796535,1
0.9875852,0.012414813,0
0.99345535,0.006544645,1
0.99783593,0.0021641192,0
0.013549549,0.98645043,1
0.012906475,0.9870935,1
0.831716,0.16828392,1
0.013125965,0.98687404,1
0.99457526,0.0054246914,0
0.9933367,0.0066633015,0
0.9985275,0.0014724095,0
0.01823646,0.98176354,1
0.018001765,0.98199826,1
0.9981787,0.0018212777,0
0.9973449,0.0026551448,0
0.021349233,0.9786508,0
0.020832833,0.9791671,1
0.011932214,0.98806787,1
0.99514717,0.004852812,0
0.005727978,0.994272,1
0.009039255,0.9909608,1
0.9982742,0.0017257836,0
0.52883154,0.47116846,0
0.7433816,0.25661835,0
0.021184405,0.97881556,1
0.9972031,0.0027968544,0
0.89756113,0.10243883,0
0.004205823,0.9957942,1
0.63483584,0.3651641,1
0.9976036,0.0023964175,0
0.9500687,0.04993128,0
0.051565863,0.9484342,1
0.99826896,0.0017309601,0
0.0051473505,0.9948526,1
0.9964528,0.003547218,0
0.97596973,0.02403027,0
0.022700671,0.97729933,0
0.9987723,0.0012276166,0
0.007764437,0.9922356,1
0.9680696,0.031930335,0
0.010015249,0.98998475,1
0.99591345,0.0040865047,0
