prob_class_0,prob_class_1,true_label
0.29313192,0.7068681,0
0.9961552,0.0038448188,0
0.072599284,0.92740065,1
0.2860388,0.7139611,1
0.9254338,0.07456617,0
0.9659095,0.03409055,0
0.0396823,0.96031773,1
0.95530677,0.04469328,0
0.9168536,0.08314645,0
0.20482239,0.7951776,1
0.16245039,0.8375496,1
0.92609197,0.073908,0
0.066546686,0.9334533,1
0.20699225,0.79300773,0
0.9387673,0.061232697,0
0.9367193,0.06328073,0
0.32974938,0.67025054,0
0.3826704,0.6173296,1
0.36988315,0.6301168,0
0.25835243,0.74164754,1
0.81004125,0.18995878,0
0.5757105,0.4242895,0
0.07573898,0.92426103,1
0.7163708,0.28362918,0
0.9193542,0.08064576,0
0.33448797,0.6655121,1
0.09879566,0.9012043,1
0.96568686,0.034313172,0
0.9400379,0.059962027,0
0.2835798,0.7164202,1
0.06258119,0.93741876,1
0.011912305,0.9880877,1
0.9194467,0.08055324,0
0.97620165,0.023798333,0
0.9547515,0.04524849,0
0.31524953,0.68475044,1
0.042973135,0.95702684,1
0.6030699,0.39693013,0
0.05952302,0.940477,1
0.6307207,0.36927935,0
0.113888025,0.88611203,1
0.91613656,0.0838635,0
0.028667152,0.97133285,1
0.94112545,0.058874495,0
0.11868973,0.8813102,0
0.06020918,0.93979084,1
0.10899927,0.89100075,1
0.048552733,0.95144725,1
0.9081753,0.09182467,0
0.90516484,0.09483518,0
0.9841859,0.015814153,1
0.9808241,0.019175904,0
0.15313403,0.84686595,0
0.14457469,0.85542536,1
0.90107656,0.09892347,0
0.43421403,0.56578594,1
0.7858226,0.21417743,0
0.045287658,0.9547124,1
0.025137126,0.9748628,1
0.6058863,0.39411378,0
0.2819294,0.7180706,1
0.11841173,0.8815883,1
0.13859686,0.8614031,1
0.8546058,0.14539418,0
0.9591094,0.040890522,0
0.8853741,0.11462584,0
0.04239715,0.95760286,1
0.0131412605,0.9868587,1
0.811815,0.188185,0
0.014798437,0.98520154,1
0.021389939,0.97861004,1
0.9533391,0.046660922,0
0.14899085,0.85100913,1
0.06439978,0.93560016,1
0.1647002,0.83529985,1
0.018734159,0.98126584,1
0.9678408,0.03215925,0
0.8335758,0.16642421,0
0.42074612,0.57925385,0
0.8366426,0.16335742,0
0.99194616,0.008053827,0
0.6662056,0.33379444,0
0.9672878,0.032712236,0
0.065055035,0.934945,1
0.92829,0.07170991,0
0.25693965,0.7430604,1
0.03630134,0.9636986,0
0.949235,0.050764993,0
0.1226809,0.87731916,1
0.9542897,0.045710333,0
0.9938778,0.0061221314,0
0.97065777,0.029342202,0
0.97145104,0.028548952,0
0.98045415,0.019545803,0
0.9776367,0.022363268,0
0.28766903,0.71233094,1
0.9423344,0.05766561,0
0.027898157,0.97210187,1
0.8841811,0.11581885,0
0.93948406,0.060515944,0
0.2584358,0.74156415,1
0.9774335,0.022566494,1
0.26956832,0.7304317,0
0.4210524,0.5789476,0
0.44482362,0.5551763,1
0.5199659,0.48003408,1
0.109318696,0.89068127,0
0.37145922,0.6285409,1
0.21352065,0.7864794,1
0.27004734,0.7299526,1
0.17489693,0.82510304,1
0.30649972,0.6935002,0
0.9846832,0.015316786,0
0.76731896,0.23268102,0
0.050417345,0.94958264,1
0.10208173,0.8979182,1
0.2242133,0.7757867,1
0.7101591,0.2898409,1
0.9521117,0.04788831,0
0.08327168,0.9167284,1
0.028944634,0.9710553,1
0.13997945,0.8600206,1
0.5927538,0.4072462,0
0.7306301,0.26936993,0
0.98895323,0.011046782,0
0.000649475,0.9993505,1
0.9585415,0.041458454,0
0.9465614,0.053438645,0
0.15638696,0.843613,1
0.9529059,0.047094062,0
0.9263571,0.07364288,0
0.890821,0.10917908,0
0.3483431,0.651657,0
0.28237706,0.71762294,1
0.62138194,0.37861803,0
0.13687229,0.8631277,0
0.065525755,0.93447423,1
0.9689849,0.031015132,0
