prob_class_0,prob_class_1,true_label
0.9234034,0.07659661,1
0.86131227,0.1386877,0
0.4609987,0.53900135,1
0.9612866,0.03871337,0
0.96313727,0.036862664,1
0.8133435,0.18665646,0
0.99474066,0.005259386,0
0.96084213,0.03915786,1
0.7173193,0.28268072,1
0.98174816,0.01825179,0
0.96005243,0.039947614,1
0.9655744,0.03442565,0
0.93590975,0.06409016,0
0.9906069,0.009393077,0
0.8423823,0.1576177,1
0.99301165,0.0069883154,0
0.9199495,0.0800505,0
0.99360985,0.0063900733,0
0.682276,0.317724,1
0.97676635,0.023233613,0
0.9812133,0.018786797,0
0.7461992,0.2538008,1
0.9827068,0.017293198,0
0.9678366,0.03216333,0
0.13071093,0.86928904,1
0.013318935,0.986681,1
0.6533934,0.34660664,1
0.98882407,0.011175923,0
0.6731244,0.32687557,1
0.96159405,0.038405973,0
0.6597989,0.3402011,0
0.92537624,0.07462378,0
0.9615355,0.03846448,0
0.5168743,0.48312563,1
0.5451589,0.45484114,0
0.08244655,0.9175535,1
0.9571302,0.04286973,0
0.97042423,0.029575782,0
0.9880971,0.011902948,0
0.73325634,0.26674363,1
0.8366063,0.16339366,0
0.19655569,0.8034443,1
0.9577471,0.042252947,0
0.03026051,0.96973944,1
0.7162442,0.28375575,1
0.7538988,0.24610123,1
0.850349,0.14965099,0
0.93608713,0.06391294,0
0.9475269,0.052473098,0
0.8072631,0.19273694,0
0.6303185,0.36968142,1
0.204068,0.795932,0
0.35706535,0.6429347,1
0.983177,0.016822925,0
0.050972424,0.94902766,0
0.24453086,0.7554691,1
0.2763185,0.72368145,1
0.9936447,0.0063552996,0
0.96920705,0.030792993,0
0.95121306,0.04878695,0
0.9684247,0.03157533,0
0.6018828,0.39811715,0
0.96461606,0.03538398,0
0.85422635,0.14577366,0
0.9662939,0.033706155,1
0.8865264,0.11347359,0
0.98425347,0.01574659,0
0.037336007,0.962664,1
0.18836151,0.8116385,1
0.9898421,0.0101579,0
0.9804576,0.019542377,0
0.96297675,0.03702325,0
0.03878756,0.96121246,1
0.77339536,0.22660463,1
0.9674502,0.032549772,0
0.50762624,0.49237373,1
0.776475,0.22352502,0
0.35850576,0.6414942,1
0.8847427,0.11525738,0
0.95437217,0.04562785,0
0.9900546,0.009945439,0
0.38409033,0.61590964,1
0.9675363,0.03246372,0
0.08877801,0.91122204,1
0.099092714,0.9009073,1
0.60048705,0.39951304,0
0.4702854,0.52971464,1
0.960102,0.039897967,0
0.99048984,0.009510215,0
0.44281185,0.55718815,1
0.6304175,0.3695824,1
0.98645395,0.013546019,0
0.6900258,0.30997422,1
0.49404097,0.505959,1
0.8577083,0.14229174,0
0.40513188,0.5948681,1
0.01041104,0.989589,1
0.9389703,0.061029702,1
0.9986731,0.0013269965,0
0.6899215,0.31007847,0
0.9733277,0.026672382,0
0.14566895,0.854331,1
0.9496198,0.050380256,0
0.7777301,0.2222699,1
0.9591632,0.040836845,0
0.87813216,0.12186782,0
0.9914637,0.008536272,0
0.9685524,0.03144756,0
0.076558806,0.9234412,1
0.9649953,0.03500462,1
0.5927627,0.40723732,1
0.013142134,0.9868579,1
0.9684361,0.031563945,0
0.85641843,0.1435816,1
0.038009875,0.9619902,1
0.9737188,0.026281219,0
0.06691107,0.93308896,1
0.25838336,0.7416166,1
0.15620911,0.8437909,0
0.6677777,0.33222225,1
0.06421138,0.9357887,1
0.9806332,0.019366782,0
0.9797181,0.020281883,0
0.01783167,0.9821683,1
0.11511721,0.88488287,1
0.02701664,0.97298336,1
0.07362649,0.92637354,1
0.33041534,0.6695847,1
0.8449158,0.15508422,0
0.9306918,0.069308266,0
0.9497075,0.05029242,1
0.88939255,0.11060752,0
0.83110404,0.16889597,0
0.9275569,0.072443135,0
0.94976753,0.050232492,0
0.3387917,0.6612083,1
0.7201288,0.2798712,0
0.92912275,0.070877254,0
