prob_class_0,prob_class_1,true_label
0.7109415,0.28905845,0
0.7155862,0.28441384,0
0.77209866,0.22790134,0
0.14341475,0.85658526,0
0.9387976,0.061202463,0
0.99997175,2.8210552e-05,0
0.074467406,0.9255326,1
0.8649911,0.1350089,0
0.14341475,0.85658526,1
0.71116734,0.2888326,0
0.18659873,0.8134013,1
0.71116734,0.2888326,0
0.7177642,0.28223574,0
0.9040016,0.09599838,0
0.18681777,0.81318223,1
0.18353635,0.81646365,1
0.074467406,0.9255326,1
0.70966405,0.29033592,0
0.074467406,0.9255326,1
0.14341475,0.85658526,1
0.9796783,0.020321665,0
0.71116734,0.2888326,0
0.074467406,0.9255326,1
0.64247245,0.35752755,1
0.71358234,0.28641766,0
0.71322787,0.28677216,1
0.14341475,0.85658526,1
0.99998534,1.4613771e-05,0
0.71116734,0.2888326,0
0.71116734,0.2888326,1
0.71116734,0.2888326,0
0.24404734,0.7559526,1
0.9190049,0.080995075,1
0.109076366,0.8909236,1
0.71116734,0.2888326,0
0.71116734,0.2888326,0
0.64247245,0.35752755,1
0.18977861,0.81022143,1
0.79233205,0.20766793,1
0.64247245,0.35752755,0
0.71471655,0.28528342,0
0.71300066,0.28699937,0
0.074467406,0.9255326,1
0.074467406,0.9255326,1
0.14341475,0.85658526,1
0.71116734,0.2888326,0
0.7144785,0.28552145,0
0.7123898,0.28761023,0
0.08926428,0.9107357,1
0.64247245,0.35752755,0
0.99999833,1.6891175e-06,0
0.14341475,0.85658526,0
0.074467406,0.9255326,1
0.19101647,0.80898356,1
0.99999905,9.888511e-07,0
0.99980766,0.00019235237,1
0.074467406,0.9255326,1
0.074467406,0.9255326,1
0.074467406,0.9255326,1
0.85414565,0.14585437,0
0.1318287,0.86817133,1
0.86984175,0.13015816,0
0.074467406,0.9255326,1
0.99942386,0.00057621073,0
0.71689993,0.28310013,0
0.074467406,0.9255326,1
0.074467406,0.9255326,1
0.7040562,0.2959438,0
0.71116734,0.2888326,0
0.074467406,0.9255326,1
0.712678,0.287322,0
0.71116734,0.2888326,0
0.07637892,0.92362106,0
0.71116734,0.2888326,0
0.7089864,0.29101357,0
0.7176251,0.28237498,0
0.074467406,0.9255326,1
0.5098784,0.49012163,0
0.8238177,0.17618239,0
0.700443,0.29955697,0
0.8144675,0.18553248,0
0.03983147,0.9601685,1
0.71116734,0.2888326,0
0.074467406,0.9255326,1
0.14341475,0.85658526,1
0.8144675,0.18553248,0
0.7002049,0.29979512,0
0.81378466,0.18621533,0
0.14341475,0.85658526,1
0.14341475,0.85658526,1
0.15849012,0.8415099,1
0.43963093,0.560369,1
0.71116734,0.2888326,0
0.71116734,0.2888326,0
0.7130625,0.28693748,0
0.074467406,0.9255326,1
0.18771419,0.81228584,1
0.71116734,0.2888326,0
0.71116734,0.2888326,1
0.8144675,0.18553248,0
0.22964358,0.7703564,1
0.074467406,0.9255326,1
0.71116734,0.2888326,1
0.074467406,0.9255326,1
0.71752477,0.28247523,0
0.71116734,0.2888326,0
0.8238177,0.17618239,0
0.074467406,0.9255326,1
0.105646566,0.89435345,1
0.99999905,9.888511e-07,0
0.64247245,0.35752755,0
0.72275686,0.2772432,0
0.3543633,0.64563674,1
0.074467406,0.9255326,1
0.71116734,0.2888326,0
0.074467406,0.9255326,1
0.074467406,0.9255326,1
0.9999976,2.379352e-06,0
0.71116734,0.2888326,0
0.71116734,0.2888326,0
0.10586588,0.8941341,1
0.71290326,0.28709674,0
0.69765747,0.30234253,0
0.09112428,0.90887564,1
0.7161746,0.28382543,1
0.71116734,0.2888326,0
0.7177642,0.28223574,0
0.44160303,0.55839694,1
0.7255116,0.27448842,0
0.15456225,0.8454378,1
0.7177642,0.28223574,0
0.7133544,0.28664553,0
0.71116734,0.2888326,0
0.71322066,0.28677934,0
0.26124355,0.7387564,1
0.68457985,0.31542015,0
0.074467406,0.9255326,1
0.64247245,0.35752755,0
