prob_class_0,prob_class_1,true_label
0.17174414,0.8282559,1
0.99516726,0.004832729,0
0.06111443,0.9388855,1
0.94986624,0.050133783,1
0.3321447,0.66785526,1
0.09073596,0.909264,0
0.05035209,0.94964784,0
0.08361584,0.91638416,1
0.9918406,0.008159354,0
0.9926454,0.0073546534,0
0.13146147,0.8685385,1
0.9713713,0.028628739,0
0.98219246,0.017807567,0
0.98900443,0.010995589,0
0.9799819,0.020018062,0
0.98893285,0.011067181,0
0.9958611,0.0041388944,1
0.5305086,0.46949142,1
0.9958039,0.0041961567,0
0.12541488,0.87458515,1
0.089472726,0.9105273,0
0.9933049,0.0066951406,0
0.9950004,0.0049994984,0
0.99498206,0.0050180117,0
0.9855298,0.014470153,0
0.49798724,0.5020127,0
0.07937234,0.92062765,1
0.995529,0.004470996,0
0.99467814,0.005321915,0
0.98766744,0.012332592,0
0.98517704,0.014822992,0
0.5147109,0.4852891,1
0.9920116,0.007988391,0
0.9268505,0.073149525,0
0.9939155,0.0060844966,0
0.9929797,0.0070202863,0
0.056232296,0.94376767,1
0.1962828,0.8037172,0
0.049070355,0.95092964,0
0.99571925,0.0042807385,1
0.9606485,0.039351534,1
0.77112204,0.22887798,0
0.99601316,0.0039868974,0
0.3705516,0.62944835,1
0.09541695,0.9045831,1
0.28306106,0.716939,0
0.94977987,0.05022014,0
0.9789258,0.021074235,0
0.06830726,0.9316927,1
0.14875296,0.851247,1
0.9937589,0.006241123,0
0.9744489,0.02555107,1
0.805529,0.19447099,1
0.57758415,0.42241585,0
0.18341683,0.81658316,1
0.08776555,0.9122345,1
0.99485755,0.0051424005,1
0.99508804,0.0049120164,0
0.94842577,0.05157426,0
0.993091,0.0069089592,0
0.94706744,0.05293263,1
0.040503945,0.959496,1
0.46003047,0.5399695,0
0.05971472,0.9402852,1
0.98584276,0.014157211,0
0.6655368,0.33446315,0
0.9910006,0.008999409,0
0.9929468,0.007053231,0
0.06555583,0.9344441,1
0.9945933,0.0054066665,0
0.35957214,0.64042795,1
0.043361228,0.9566387,1
0.93652135,0.06347862,0
0.6139804,0.38601956,1
0.8248463,0.17515361,0
0.29022336,0.7097767,1
0.2888317,0.71116835,0
0.09995055,0.9000495,1
0.99070704,0.009292906,0
0.15208429,0.8479157,1
0.31660315,0.68339676,1
0.5498767,0.45012325,1
0.96892595,0.031074082,0
0.1048166,0.8951834,1
0.09196269,0.90803725,0
0.99586993,0.004130085,0
0.9915604,0.008439608,0
0.9947714,0.0052285613,1
0.9713598,0.028640185,0
0.9930482,0.006951819,0
0.9944285,0.0055714864,0
0.23359059,0.76640934,0
0.483244,0.516756,0
0.9918285,0.008171508,0
0.23823074,0.7617693,1
0.06126705,0.938733,1
0.99568534,0.004314692,0
0.9886457,0.011354293,0
0.1218648,0.8781352,0
0.92255116,0.07744882,0
0.9942105,0.005789513,0
0.9956583,0.004341785,1
0.9913629,0.008637018,0
0.9798004,0.020199645,0
0.12247362,0.87752634,0
0.94082665,0.05917334,0
0.80527675,0.19472332,0
0.99323,0.006770001,0
0.053534027,0.9464659,0
0.9907176,0.009282368,0
0.07071651,0.9292835,0
0.99452436,0.005475612,0
0.9917961,0.008203911,0
0.9951572,0.0048427545,0
0.98652434,0.013475691,1
0.99583423,0.004165702,0
0.8614682,0.13853173,0
0.99476224,0.005237736,0
0.53586847,0.46413153,0
0.9879368,0.012063244,0
0.49632567,0.5036744,1
0.07490296,0.92509705,1
0.99486464,0.0051353313,0
0.97126836,0.028731562,0
0.993826,0.006173996,0
0.9953015,0.0046985126,0
0.9897407,0.010259259,0
0.12083049,0.87916946,1
0.9456157,0.05438432,0
0.5291127,0.4708873,0
0.0787221,0.92127794,1
0.99118024,0.008819792,1
0.053194713,0.9468053,0
0.1115711,0.8884289,0
0.67409754,0.32590246,1
0.69400615,0.3059938,1
0.40283847,0.5971615,0
0.9940196,0.0059804325,0
0.99375194,0.0062480653,0
0.98299825,0.01700175,1
0.26388633,0.7361136,0
0.07703604,0.922964,1
0.5769843,0.42301574,0
0.09215819,0.9078418,1
0.980551,0.019449016,0
0.1839667,0.81603324,0
0.9936243,0.006375627,0
0.9630807,0.036919322,0
0.99136716,0.008632801,0
0.9948978,0.0051022433,0
0.98447406,0.015525949,1
0.99486285,0.0051371367,0
0.15301703,0.84698296,1
