prob_class_0,prob_class_1,true_label
0.33640242,0.6635976,1
0.92203104,0.07796901,0
0.94152886,0.05847117,0
0.89871967,0.10128035,1
0.43007004,0.56992996,1
0.7981437,0.20185637,1
0.6600748,0.33992523,0
0.19844227,0.8015577,1
0.47619453,0.52380544,1
0.4075175,0.5924825,0
0.9577776,0.042222448,0
0.34851345,0.6514866,1
0.82441473,0.17558523,0
0.8214039,0.17859606,0
0.7337934,0.26620656,1
0.9638582,0.036141854,0
0.46163836,0.53836167,0
0.8696235,0.13037653,0
0.96024996,0.03975012,0
0.43477926,0.5652207,1
0.6455141,0.35448584,1
0.8392212,0.16077884,0
0.5752814,0.42471865,0
0.70091236,0.29908764,0
0.33487287,0.66512716,1
0.56608284,0.43391722,0
0.95080876,0.049191214,0
0.61840343,0.38159657,0
0.55770063,0.44229946,1
0.86628425,0.13371578,0
0.80503994,0.19496004,0
0.7961868,0.20381327,0
0.5502244,0.44977555,1
0.8459519,0.15404814,0
0.6443845,0.35561544,1
0.8472427,0.15275726,0
0.89392185,0.10607815,0
0.15099987,0.84900016,1
0.8390423,0.16095771,0
0.9239072,0.07609278,0
0.73284537,0.26715463,0
0.23967461,0.76032543,1
0.3367655,0.66323453,1
0.9662765,0.033723414,0
0.5778532,0.42214677,0
0.9608912,0.039108798,0
0.13181168,0.8681884,1
0.8201141,0.17988592,1
0.5590185,0.4409815,1
0.3622454,0.63775456,0
0.7342958,0.2657043,0
0.16628434,0.8337157,1
0.15766619,0.84233385,1
0.91770726,0.08229278,0
0.6995732,0.30042675,0
0.48717692,0.51282305,1
0.85551196,0.144488,0
0.470706,0.529294,0
0.87965405,0.12034592,1
0.5686812,0.43131885,0
0.21995907,0.78004086,0
0.8344142,0.16558582,1
0.2161804,0.78381956,1
0.9299735,0.0700265,0
0.43250203,0.56749797,0
0.8827133,0.11728671,1
0.8885523,0.11144773,0
0.293822,0.706178,0
0.78134435,0.21865566,1
0.5077109,0.4922892,1
0.65953475,0.34046528,1
0.74152654,0.2584735,0
0.82796276,0.17203726,1
0.4097065,0.5902935,1
0.24829736,0.7517026,0
0.88854176,0.11145826,0
0.9120365,0.087963484,0
0.8406096,0.15939038,0
0.64863354,0.3513665,0
0.8159899,0.18401006,0
0.36650193,0.6334981,1
0.54532033,0.4546797,0
0.4504272,0.5495728,0
0.9198511,0.080148935,0
0.90120655,0.098793454,0
0.7115195,0.28848058,0
0.74669933,0.25330067,0
0.79569733,0.2043027,1
0.51051855,0.48948145,0
0.9604907,0.039509255,0
0.52736586,0.4726341,1
0.87268305,0.12731701,1
0.4644406,0.53555936,1
0.44222403,0.557776,1
0.80954236,0.19045767,0
0.67005414,0.32994586,0
0.89850026,0.101499744,0
0.89892817,0.10107186,1
0.79863834,0.20136164,0
0.76187915,0.23812081,0
0.07512502,0.924875,1
0.4797265,0.52027345,0
0.788726,0.21127401,0
0.7515335,0.24846652,1
0.3453922,0.65460783,0
0.5642976,0.4357024,0
0.9197294,0.08027057,0
0.7537236,0.24627635,0
0.8136738,0.18632625,0
0.9518357,0.048164353,0
0.86871225,0.13128772,0
0.8313002,0.16869982,0
0.9446199,0.05538012,0
0.6489526,0.35104737,1
0.90227157,0.0977285,0
0.66117793,0.33882204,1
0.96145386,0.03854618,0
0.84586877,0.15413125,0
0.30702218,0.6929777,1
0.83498996,0.1650101,0
0.8199872,0.18001282,0
0.7916266,0.20837341,0
0.5537155,0.44628447,1
0.8205831,0.17941688,0
0.73045415,0.26954582,0
0.6217445,0.3782555,0
0.95838445,0.041615553,0
0.87469685,0.12530313,1
0.79716533,0.2028347,0
0.95868206,0.041317895,0
0.9498539,0.050146114,0
0.9008616,0.09913841,0
0.85315377,0.1468462,0
0.7015725,0.29842758,1
0.81489503,0.18510488,0
0.26930156,0.7306984,0
0.67624336,0.32375664,0
0.8342555,0.16574441,0
0.90226066,0.0977393,0
0.9141948,0.08580513,0
0.9572072,0.042792827,0
0.7863171,0.21368288,0
0.3063576,0.6936424,1
0.34149486,0.6585052,1
0.65718913,0.3428109,0
0.879502,0.120497994,0
0.6674996,0.33250037,1
0.78093153,0.21906847,0
0.17898451,0.82101554,1
0.55824864,0.44175136,1
0.40360922,0.5963907,0
0.34266466,0.6573354,1
0.52503383,0.4749662,0
0.5601053,0.43989474,1
