prob_class_0,prob_class_1,true_label
0.09236563,0.9076343,1
0.40859684,0.5914032,1
0.6465345,0.3534655,1
0.13400802,0.865992,1
0.44517785,0.5548221,0
0.8054679,0.19453214,0
0.10918019,0.89081985,1
0.20444517,0.79555476,0
0.6764217,0.3235783,1
0.76645577,0.2335442,0
0.7817144,0.2182856,1
0.6632577,0.3367422,0
0.8922383,0.107761644,0
0.67511475,0.32488528,0
0.31522852,0.6847715,1
0.9576193,0.042380735,0
0.9433613,0.056638744,0
0.9615207,0.038479343,0
0.81158173,0.18841821,0
0.81354785,0.18645221,0
0.32961562,0.67038435,1
0.6294482,0.37055185,0
0.8480057,0.15199429,0
0.15662272,0.84337723,1
0.90869886,0.09130113,0
0.86011404,0.13988593,0
0.93232816,0.06767183,0
0.49133134,0.5086686,0
0.58555645,0.4144435,1
0.5539413,0.44605866,0
0.45864248,0.5413575,0
0.8041817,0.19581832,1
0.7669483,0.23305172,0
0.5697388,0.4302612,0
0.49562627,0.50437367,0
0.5034058,0.49659422,0
0.8943483,0.10565172,0
0.514769,0.485231,1
0.5185438,0.48145625,1
0.83592594,0.16407406,0
0.9360986,0.063901395,0
0.59047633,0.40952367,1
0.53763586,0.4623641,0
0.84749764,0.15250233,0
0.90152663,0.09847332,0
0.46738786,0.5326122,1
0.8892704,0.110729605,0
0.014332577,0.9856674,0
0.71374685,0.28625315,0
0.856198,0.14380193,0
0.21789564,0.7821044,0
0.58158654,0.4184135,1
0.7859003,0.21409966,0
0.5031952,0.49680477,0
0.6436816,0.35631838,0
0.7613658,0.23863415,0
0.12980257,0.8701975,0
0.41325918,0.58674073,1
0.77195144,0.2280486,0
0.29415873,0.70584124,1
0.6880666,0.3119334,0
0.72414076,0.27585924,0
0.82327455,0.17672546,0
0.64485645,0.35514355,0
0.867176,0.13282394,1
0.31250635,0.6874937,1
0.59368426,0.40631568,1
0.6780983,0.32190165,1
0.43590158,0.5640984,0
0.9399246,0.060075447,0
0.28543094,0.7145691,0
0.7238639,0.2761361,1
0.41730356,0.58269644,1
0.34104785,0.6589522,1
0.4152097,0.5847903,1
0.26969743,0.7303026,0
0.25840583,0.7415942,1
0.6818321,0.3181679,0
0.56653017,0.43346986,0
0.741703,0.258297,0
0.93857753,0.06142244,0
0.6936414,0.30635858,1
0.5290514,0.4709485,1
0.322833,0.677167,1
0.5897615,0.41023853,1
0.89646244,0.10353754,0
0.94448674,0.05551324,0
0.44967008,0.5503299,0
0.656849,0.34315094,0
0.6635527,0.33644733,0
0.01328059,0.9867194,1
0.42226315,0.5777369,0
0.46133083,0.5386691,1
0.67805344,0.32194656,0
0.44299504,0.557005,0
0.8631746,0.13682537,0
0.7476287,0.2523713,0
0.6283905,0.37160954,0
0.5741688,0.4258312,1
0.4865867,0.51341325,0
0.0926296,0.90737045,0
0.87476856,0.12523146,0
0.6144368,0.38556322,0
0.39426446,0.60573554,1
0.47617236,0.5238277,0
0.2100576,0.7899424,1
0.21753614,0.78246385,1
0.9293978,0.07060223,0
0.84194934,0.15805064,0
0.59129,0.40871003,0
0.6555082,0.3444918,0
0.261187,0.738813,1
0.60853356,0.39146653,1
0.8442547,0.15574539,0
0.22745246,0.77254754,1
0.9379827,0.06201727,0
0.8900523,0.109947644,0
0.90882486,0.09117508,0
0.618986,0.381014,0
0.08213825,0.9178617,1
0.46955004,0.53045,0
0.12108235,0.87891763,1
0.929208,0.07079208,0
0.47339997,0.52659994,1
0.13053593,0.8694641,1
0.9216219,0.07837815,0
0.72846663,0.2715333,0
0.6617321,0.33826798,0
0.8256872,0.17431283,1
0.94075984,0.059240106,0
0.9101835,0.0898165,0
0.7861589,0.21384113,0
0.96718687,0.032813143,0
0.8928909,0.10710915,0
0.8541948,0.14580527,0
0.2637787,0.7362213,0
0.3056276,0.6943725,0
0.12115833,0.8788417,1
0.96295124,0.0370488,0
0.45056638,0.5494336,1
0.90431404,0.09568591,0
0.29437682,0.7056232,0
0.94512445,0.0548755,0
0.5928735,0.40712652,0
0.32235047,0.6776496,1
0.6712392,0.32876074,0
0.58834684,0.4116532,1
0.5340085,0.46599156,1
0.72783774,0.27216226,0
0.2569787,0.7430213,1
0.78116316,0.21883687,1
0.86641943,0.1335806,0
0.34776652,0.6522335,1
0.19527578,0.8047242,0
