prob_class_0,prob_class_1,true_label
0.6086915,0.39130846,1
0.34111574,0.6588843,1
0.5724178,0.42758217,1
0.5604205,0.4395795,1
0.3454859,0.6545141,0
0.83331865,0.16668135,0
0.13766319,0.8623368,1
0.37740955,0.6225904,0
0.48724756,0.5127524,1
0.5493282,0.4506717,0
0.7275453,0.2724546,1
0.613585,0.38641497,0
0.9795308,0.020469148,0
0.6724285,0.3275715,0
0.33649617,0.66350377,1
0.6423379,0.35766214,0
0.9190629,0.08093704,0
0.81032443,0.18967557,0
0.8213397,0.17866024,0
0.5223473,0.47765276,0
0.24397127,0.7560287,1
0.5491739,0.45082614,0
0.91096634,0.08903371,0
0.34410313,0.65589684,1
0.89436793,0.10563201,0
0.93410224,0.06589771,0
0.8715062,0.12849376,0
0.62580466,0.37419534,0
0.678784,0.32121596,1
0.5383528,0.46164715,0
0.723842,0.276158,0
0.5876277,0.41237226,1
0.8033748,0.19662513,0
0.9063606,0.09363932,0
0.6447068,0.35529324,0
0.74371076,0.25628924,0
0.80941993,0.1905801,0
0.6241964,0.3758036,1
0.49221885,0.5077811,1
0.87265915,0.12734087,0
0.8848317,0.115168355,0
0.32409558,0.67590445,1
0.52767545,0.4723245,0
0.73706573,0.26293427,0
0.8463519,0.15364806,0
0.54956377,0.45043623,1
0.7992412,0.2007588,0
0.18363704,0.816363,0
0.6311912,0.36880884,0
0.9451128,0.054887127,0
0.5230857,0.4769143,0
0.60358113,0.39641887,1
0.6583092,0.34169078,0
0.30675244,0.69324756,0
0.6558347,0.34416535,0
0.6803884,0.31961158,0
0.35464707,0.6453529,0
0.5778853,0.4221147,1
0.6533271,0.3466728,0
0.044675812,0.9553242,1
0.783218,0.21678199,0
0.69676435,0.30323562,0
0.65481967,0.34518033,0
0.59710956,0.40289047,0
0.6867423,0.31325772,1
0.36915797,0.63084203,1
0.6137605,0.38623953,1
0.8482933,0.15170673,1
0.5979327,0.40206727,0
0.88405883,0.11594114,0
0.22871277,0.77128726,0
0.64808804,0.351912,1
0.1535041,0.84649587,1
0.14482453,0.8551755,1
0.6155198,0.3844802,1
0.65142107,0.3485789,0
0.47893113,0.5210689,1
0.6450235,0.35497645,0
0.5572276,0.44277236,0
0.7429172,0.25708282,0
0.91608363,0.08391634,0
0.08766372,0.91233623,1
0.19775651,0.80224353,1
0.047755077,0.9522449,1
0.6283465,0.3716535,1
0.74407065,0.2559293,0
0.89890206,0.10109794,0
0.6466457,0.35335425,0
0.7863706,0.21362948,0
0.5081118,0.4918882,0
0.10745895,0.89254105,1
0.5904989,0.40950105,0
0.12299861,0.8770014,1
0.63264346,0.36735654,0
0.6577892,0.34221083,0
0.67037946,0.32962054,0
0.6923928,0.30760717,0
0.65060204,0.34939796,0
0.6952825,0.30471748,1
0.65327513,0.34672484,0
0.15994436,0.8400556,0
0.8310194,0.1689806,0
0.8551566,0.14484344,0
0.507645,0.49235508,1
0.2522566,0.7477434,0
0.5422197,0.45778036,1
0.36816323,0.63183683,1
0.88840216,0.11159778,0
0.7238103,0.27618974,0
0.73357326,0.26642677,0
0.8251641,0.17483597,0
0.50506335,0.49493673,1
0.59042543,0.40957457,1
0.89748496,0.10251498,0
0.06599726,0.9340027,1
0.8134367,0.18656333,0
0.7217455,0.27825457,0
0.8331248,0.16687514,0
0.6726617,0.3273383,0
0.095886625,0.90411335,1
0.53804624,0.46195376,0
0.52070796,0.4792921,1
0.7676574,0.23234257,0
0.225189,0.77481097,1
0.22545779,0.7745422,1
0.7681914,0.23180857,0
0.71112025,0.28887975,0
0.77913535,0.22086468,0
0.6413023,0.35869768,1
0.69740427,0.30259573,0
0.81224424,0.18775582,0
0.71835047,0.2816495,0
0.7540342,0.24596575,0
0.6440514,0.35594863,0
0.7885119,0.21148816,0
0.5540863,0.44591364,0
0.5153448,0.4846552,0
0.25077072,0.7492293,1
0.8125017,0.18749835,0
0.06615257,0.9338475,1
0.85777164,0.14222835,0
0.7171951,0.28280494,0
0.692226,0.30777404,0
0.5351124,0.46488762,0
0.45370618,0.54629385,1
0.63812953,0.36187044,0
0.67715883,0.3228411,1
0.74124503,0.25875494,1
0.7187279,0.28127217,0
0.14337952,0.8566205,1
0.8118303,0.18816972,1
0.77355033,0.22644968,0
0.54069597,0.459304,1
0.6730344,0.32696557,0
