prob_class_0,prob_class_1,true_label
0.90334886,0.096651115,1
0.9953311,0.0046688616,0
0.99244726,0.007552704,0
0.94325274,0.056747247,1
0.94559366,0.054406412,1
0.95958924,0.040410753,1
0.9816166,0.018383361,0
0.993806,0.006193979,0
0.92121494,0.078785054,1
0.99142104,0.008578957,0
0.9969478,0.0030522211,0
0.99514425,0.004855726,0
0.996673,0.0033269895,0
0.9965918,0.0034081743,0
0.99739695,0.002603069,0
0.9973974,0.0026026284,0
0.9974679,0.0025321639,0
0.99757975,0.0024203141,0
0.66334754,0.33665243,1
0.9825577,0.017442355,1
0.9560808,0.04391918,1
0.81475186,0.18524809,1
0.82629466,0.17370537,1
0.54487497,0.455125,1
0.76688427,0.23311569,1
0.53767556,0.46232438,1
0.22508651,0.77491355,1
0.19000094,0.80999905,1
0.06822177,0.9317783,1
0.099501275,0.90049875,1
0.10259128,0.8974087,1
0.5627004,0.4372996,0
0.16766846,0.8323316,1
0.22866555,0.77133447,0
0.9685222,0.03147785,0
0.5478045,0.4521955,0
0.4210892,0.5789108,1
0.66702074,0.33297926,1
0.9815161,0.018483888,0
0.98722315,0.012776835,0
0.84740067,0.15259938,1
0.9417204,0.058279652,0
0.94246566,0.057534326,0
0.9782446,0.021755334,0
0.99176943,0.008230521,0
0.9748556,0.025144396,0
0.99083954,0.009160455,0
0.9938652,0.0061347736,0
0.9945148,0.005485181,0
0.9917175,0.008282475,0
0.9893959,0.010604131,0
0.96989775,0.030102259,0
0.068637535,0.9313625,1
0.058664676,0.9413353,1
0.07195065,0.9280493,1
0.1004777,0.89952224,1
0.11854555,0.88145447,1
0.26482627,0.73517376,0
0.21283874,0.78716123,1
0.99139833,0.008601638,0
0.30476454,0.69523543,0
0.08430362,0.91569644,1
0.08131593,0.91868407,1
0.090067185,0.90993285,1
0.10516728,0.8948328,1
0.11714919,0.88285077,1
0.22578873,0.7742112,0
0.14790308,0.8520969,0
0.6454084,0.3545916,0
0.7711707,0.22882937,0
0.77169836,0.2283017,0
0.103205614,0.89679444,0
0.23483607,0.7651639,0
0.25540322,0.7445968,0
0.050319303,0.9496806,1
