prob_class_0,prob_class_1,true_label
0.8303689,0.16963114,1
0.9497146,0.050285388,1
0.97297615,0.027023898,0
0.9380375,0.06196241,0
0.9321333,0.067866676,0
0.9315503,0.06844969,0
0.93280345,0.06719652,0
0.92024446,0.07975555,1
0.9202493,0.07975069,1
0.9393008,0.060699195,0
0.9695972,0.030402828,0
0.89925957,0.100740455,1
0.98579144,0.014208574,0
0.8691786,0.13082135,1
0.9346078,0.06539215,0
0.93209916,0.06790086,1
0.89107436,0.108925655,1
0.96270686,0.03729314,0
0.9708471,0.029152872,1
0.9043326,0.09566738,1
0.8987115,0.10128856,1
0.93271464,0.067285396,0
0.89544517,0.10455482,1
0.9070161,0.09298388,1
0.90725553,0.09274446,1
0.9237226,0.07627735,1
0.9486098,0.051390193,1
0.4658691,0.534131,1
0.34640384,0.6535962,1
0.40159452,0.5984055,1
0.120620325,0.87937963,1
0.1743754,0.82562464,1
0.32496554,0.67503446,0
0.9288232,0.07117684,0
0.49669793,0.503302,0
0.9687626,0.031237466,0
0.78533703,0.21466301,0
0.3847761,0.6152238,0
0.8920562,0.10794369,0
0.9149723,0.08502764,0
0.9033117,0.09668832,0
0.90106684,0.098933175,0
0.9023768,0.09762319,0
0.93104565,0.068954304,0
0.3885818,0.6114182,1
0.9288009,0.07119919,0
0.87825906,0.12174094,0
0.8745289,0.1254711,0
0.38486087,0.6151391,1
0.9068159,0.09318413,0
0.8831028,0.116897255,0
0.8899752,0.11002478,0
0.96113944,0.038860552,0
0.969836,0.030164072,0
0.965854,0.034145992,0
0.05531617,0.9446838,1
0.030755747,0.9692442,1
0.022544352,0.9774556,1
0.048007306,0.95199263,1
0.11859238,0.88140756,1
0.4687476,0.5312524,0
0.30934665,0.6906534,0
0.10999531,0.89000475,1
0.06469453,0.9353055,1
0.06730473,0.93269527,1
0.033947226,0.9660528,1
0.054888915,0.94511116,1
0.26877323,0.7312268,0
0.8307968,0.16920327,0
0.05430334,0.9456966,1
0.049534284,0.95046574,1
0.14651196,0.853488,0
0.16892336,0.8310766,0
0.9219458,0.07805419,0
0.059717216,0.9402828,1
0.051824722,0.94817525,1
0.045574576,0.9544254,1
0.14547488,0.8545251,1
0.07854724,0.9214527,1
0.20323637,0.79676366,0
0.49788716,0.5021128,0
0.082939036,0.917061,1
0.03878029,0.9612197,1
0.057823475,0.94217646,0
0.28986952,0.71013045,0
0.285923,0.714077,0
0.28495923,0.71504074,0
0.2928167,0.7071833,0
0.029022679,0.9709773,1
0.032813203,0.96718675,1
0.030185606,0.96981436,1
0.09379865,0.90620136,0
0.15794131,0.84205866,0
0.08890133,0.9110987,1
0.38391602,0.616084,0
0.37443152,0.62556845,0
0.028740443,0.9712596,1
0.052548613,0.9474514,1
0.05567478,0.9443252,1
0.05244879,0.9475512,1
0.053044554,0.9469555,1
0.13723055,0.8627694,0
0.93837655,0.06162344,0
0.071518384,0.92848164,0
0.91956896,0.08043101,0
0.5636786,0.43632138,0
0.6366475,0.36335242,0
0.36045006,0.6395499,0
0.25513768,0.7448623,0
0.12738118,0.87261885,0
0.07089123,0.92910874,1
0.072971866,0.9270281,1
0.21195824,0.7880417,0
0.297857,0.702143,0
0.920486,0.07951403,0
0.9737403,0.026259758,0
0.6295139,0.3704861,0
0.5697483,0.43025175,0
0.23382019,0.76617974,1
0.24479245,0.75520754,1
0.2338455,0.7661545,1
0.2226836,0.7773164,1
0.89462596,0.10537405,0
0.39614946,0.6038505,0
0.4243606,0.5756394,0
0.29760677,0.70239323,1
0.16770343,0.83229655,1
0.070569135,0.92943084,1
0.019640435,0.9803595,1
0.028989306,0.9710107,1
0.036914557,0.9630854,1
0.05597131,0.94402874,1
0.044557944,0.955442,1
0.089921616,0.91007835,1
0.9200677,0.07993226,0
0.5472034,0.4527966,0
0.08408945,0.9159106,1
0.032731645,0.9672684,1
0.04710248,0.9528975,1
0.04384265,0.9561573,1
0.16089724,0.8391028,0
0.052262094,0.9477379,1
0.9447519,0.055248126,0
0.96829915,0.031700782,0
0.418698,0.581302,0
0.3655605,0.6344395,0
0.029667024,0.970333,1
0.032882575,0.96711737,1
0.033121303,0.9668787,1
0.05416569,0.9458343,1
0.038020752,0.9619792,1
0.06317206,0.936828,1
0.12801594,0.87198406,1
0.076083556,0.92391646,1
0.06382999,0.93617004,1
0.37063962,0.6293603,0
0.030487478,0.9695125,1
0.09744001,0.90255994,0
0.10366566,0.8963344,0
0.9230103,0.07698974,0
0.92631686,0.073683135,0
0.10771643,0.8922836,1
0.960151,0.03984902,0
0.96615446,0.033845533,0
0.11891155,0.88108844,1
0.92721504,0.07278501,0
0.93128985,0.06871014,0
0.97336066,0.026639398,0
0.26334152,0.7366585,1
0.92802304,0.071977034,0
0.92446953,0.07553047,0
0.9206051,0.079394884,0
0.9224368,0.07756322,0
0.12934662,0.8706534,1
0.14207162,0.85792845,1
0.46643552,0.5335645,0
0.5350831,0.46491686,0
0.4246934,0.57530653,0
0.23214422,0.76785576,1
0.065619774,0.93438023,1
0.08783517,0.9121648,1
0.09859179,0.90140826,1
0.14426456,0.85573536,0
0.529684,0.47031596,0
0.4107819,0.5892181,0
0.093763776,0.9062362,1
0.08694758,0.91305244,1
0.08679947,0.91320056,1
0.08610795,0.9138921,1
0.1895078,0.8104922,0
0.08411894,0.9158811,1
0.115328215,0.88467175,0
0.23257875,0.76742125,0
0.38131827,0.6186817,0
0.075024724,0.9249753,1
0.038426306,0.96157366,1
0.05460727,0.9453928,1
0.017408751,0.98259133,1
0.021204636,0.97879535,0
0.057051845,0.9429481,0
0.054740958,0.9452591,0
0.075156555,0.9248435,0
0.44621775,0.5537822,0
0.19379543,0.8062046,0
0.915766,0.084234014,0
0.92593133,0.07406864,0
0.9211726,0.078827366,0
0.92016006,0.0798399,0
0.9243195,0.075680554,0
0.9277345,0.07226544,0
0.92900246,0.07099752,0
0.9231938,0.07680621,0
0.94152415,0.05847584,0
0.950914,0.04908599,0
0.93114233,0.0688577,0
0.96791816,0.032081854,0
0.3526505,0.6473495,1
0.92382205,0.07617793,0
0.9210659,0.0789341,0
0.9233276,0.07667232,0
0.92604476,0.07395522,0
0.92522746,0.07477257,0
0.92411745,0.07588248,0
0.9281332,0.07186682,0
0.4881182,0.51188177,1
0.9419411,0.05805893,0
0.95049536,0.04950471,0
0.17619753,0.8238024,1
0.33308685,0.66691315,1
0.34839597,0.651604,1
0.28503245,0.71496755,1
0.1814954,0.8185046,1
0.915763,0.08423704,0
0.9276918,0.07230811,0
0.9324123,0.067587696,0
0.9258285,0.07417154,0
0.9300977,0.06990234,0
0.96213853,0.03786147,0
0.9612887,0.038711246,0
0.9667487,0.033251308,0
0.9273034,0.0726966,0
0.40015596,0.59984404,1
0.46615052,0.5338495,1
0.93339413,0.06660591,0
0.9248496,0.07515044,0
0.92950183,0.070498176,0
0.9396521,0.06034784,0
0.9563219,0.043678112,0
0.34750655,0.6524935,1
0.42077377,0.57922626,1
0.058377888,0.9416221,1
0.9287046,0.071295366,0
0.97349393,0.026506027,0
0.89371866,0.10628136,0
0.2064151,0.7935849,1
0.14862108,0.851379,1
0.9085955,0.09140451,0
0.91214657,0.087853394,0
0.9154931,0.08450698,0
0.9757613,0.02423875,0
0.97910815,0.020891799,0
0.9773577,0.022642307,0
0.9734795,0.026520565,0
0.82929736,0.17070264,0
0.8385455,0.16145454,0
0.1417231,0.8582769,1
0.09835511,0.9016449,1
0.7871279,0.2128721,0
0.8137517,0.18624827,0
0.8358593,0.16414072,0
0.88745123,0.11254877,0
0.7444862,0.2555138,1
0.9836664,0.016333584,0
0.33750018,0.66249985,1
0.91531223,0.084687784,0
0.9139163,0.086083785,0
0.22814727,0.77185273,1
0.92593384,0.07406614,0
0.94191813,0.058081824,0
0.95160764,0.048392314,0
0.91352403,0.086475916,0
0.44470304,0.55529696,1
0.97837204,0.0216279,0
0.3961357,0.6038643,1
0.9220734,0.07792663,0
0.9198489,0.08015107,0
0.91637343,0.083626546,0
0.916559,0.083441034,0
0.91738373,0.08261628,0
0.91896534,0.08103462,0
0.9179816,0.08201835,0
0.92111254,0.078887485,0
0.92693955,0.07306048,0
0.9204221,0.07957789,0
0.9431445,0.056855474,0
0.9686225,0.031377442,0
0.9178396,0.08216033,0
0.9666639,0.033336084,0
0.97784734,0.022152634,0
0.3633953,0.6366046,1
0.27520198,0.724798,1
0.9219068,0.07809316,0
0.91890806,0.081091955,0
0.92359686,0.07640312,0
0.9209524,0.07904764,0
0.9193241,0.08067593,0
0.9293207,0.070679255,0
0.93173516,0.06826485,0
0.35102886,0.6489712,1
0.95955914,0.040440917,0
0.9239091,0.07609083,0
0.9255058,0.074494146,0
0.3594342,0.6405658,1
0.23071852,0.76928145,1
0.9123801,0.08761988,0
0.9176621,0.082337886,0
0.89601594,0.10398401,0
0.890486,0.10951399,0
0.89509976,0.10490021,0
0.89706373,0.102936216,0
0.2611069,0.73889315,1
0.28231934,0.71768063,1
0.24274744,0.7572526,1
0.92266643,0.0773336,0
0.8666613,0.13333869,1
0.84913206,0.1508679,1
0.9245162,0.07548381,0
0.9165325,0.083467506,0
0.92669886,0.07330106,0
0.92275876,0.07724127,0
0.19225483,0.80774516,1
0.10023617,0.8997638,1
0.12844646,0.87155354,1
0.91078424,0.08921575,0
0.06145338,0.93854666,1
0.2902707,0.7097293,1
0.92104113,0.07895882,0
0.923827,0.076172985,0
0.1487134,0.8512866,1
0.06989868,0.93010134,1
0.14533694,0.854663,1
0.94681346,0.053186614,0
0.9510941,0.048905883,0
0.89177233,0.1082277,0
0.24392824,0.7560717,1
0.08640121,0.9135988,1
0.16184016,0.83815986,1
0.92849797,0.07150197,0
0.95236576,0.047634296,0
0.9785846,0.02141546,0
0.29928875,0.70071125,0
0.116506524,0.8834935,1
0.0417876,0.9582124,1
0.94430393,0.055696055,0
0.21818238,0.7818177,1
0.28873917,0.7112608,0
0.30440027,0.6955997,0
0.13667706,0.86332285,0
0.036112748,0.9638873,1
0.03639524,0.96360475,1
0.045139045,0.9548609,1
0.04203213,0.95796794,1
0.032853544,0.9671465,1
0.4139435,0.5860565,0
0.4839832,0.5160168,0
0.03748904,0.96251094,0
0.040758703,0.9592413,0
0.041894715,0.95810527,0
0.040764976,0.959235,0
0.02849907,0.9715009,1
0.035929654,0.9640703,1
0.04905562,0.9509444,1
0.05290321,0.9470968,0
0.38459033,0.6154096,0
0.4261012,0.5738988,0
0.28803235,0.71196765,0
0.042852227,0.9571478,1
0.38247195,0.6175281,0
0.07059341,0.9294066,1
0.045576006,0.95442396,1
0.054210145,0.9457898,1
0.40760383,0.59239614,0
0.18232484,0.8176752,1
0.60056883,0.39943117,0
0.5948903,0.40510973,0
0.6753648,0.32463524,0
0.64415246,0.3558476,0
0.76290935,0.23709066,0
0.5120618,0.48793826,0
0.5972267,0.4027733,0
0.51783675,0.48216328,0
0.23667425,0.76332575,1
0.26114038,0.73885953,0
0.09956215,0.9004379,1
0.2526998,0.7473002,1
0.8294074,0.17059267,0
0.76019496,0.239805,0
0.09112605,0.9088739,1
0.08698228,0.91301775,1
0.0770371,0.92296296,1
0.04081692,0.95918316,1
0.08076814,0.91923183,1
0.043207526,0.9567925,1
0.042097587,0.9579024,1
0.06762773,0.9323722,1
0.38027576,0.6197243,0
0.21032499,0.789675,0
0.2851342,0.71486574,0
0.055862658,0.9441373,1
0.3764409,0.62355906,0
0.09518638,0.9048136,1
0.8278495,0.1721505,0
0.47424668,0.5257533,0
0.9798391,0.020160912,0
0.11844471,0.8815553,1
0.9254236,0.07457641,0
0.9404095,0.059590507,0
0.92842937,0.07157063,0
0.82222384,0.17777613,0
0.8241667,0.17583324,0
0.9496128,0.050387196,0
0.9621228,0.037877254,0
0.88522154,0.1147785,0
0.89591396,0.10408602,1
0.7920072,0.20799278,1
0.8823931,0.117606916,1
0.9341295,0.06587048,0
0.93193626,0.068063706,0
0.9047974,0.09520258,1
0.8849806,0.1150194,1
0.87991893,0.12008103,1
0.93171227,0.068287686,0
0.9309155,0.069084525,0
0.92925745,0.07074246,0
0.9366479,0.06335211,0
0.94425505,0.05574493,0
0.9616907,0.038309313,0
0.9371897,0.06281032,0
0.9455313,0.054468688,0
0.36207816,0.63792187,1
0.22212581,0.77787423,1
0.8877675,0.112232566,0
0.92427266,0.075727366,0
0.92668957,0.07331042,0
0.93550813,0.06449188,0
0.9334426,0.0665574,0
0.9319993,0.068000704,0
0.90367293,0.096327014,1
0.9090432,0.09095682,1
0.91097534,0.089024685,0
0.9545389,0.04546111,0
0.50601137,0.49398866,1
0.25539392,0.744606,1
0.77097756,0.22902247,0
0.7693993,0.2306007,0
0.040260654,0.9597394,1
0.9463202,0.053679798,0
0.97524124,0.024758771,0
0.29169545,0.7083045,1
0.28455228,0.7154477,1
0.26997924,0.73002076,1
0.28275752,0.7172424,1
0.34579065,0.65420943,1
0.32603416,0.6739658,1
0.21128666,0.7887133,1
0.19300279,0.80699724,1
0.2694456,0.73055434,1
0.75279725,0.24720278,0
0.97643185,0.023568178,0
0.19527213,0.80472785,1
0.81062543,0.18937457,0
0.83643353,0.16356643,0
0.9304327,0.069567345,0
0.42881733,0.57118267,1
0.54624844,0.45375153,1
0.37818918,0.62181085,1
0.84836656,0.15163347,0
0.21207397,0.787926,1
0.20995145,0.7900486,1
0.050452363,0.94954765,1
0.20367503,0.79632497,1
0.051762152,0.94823784,1
0.4984925,0.50150746,0
0.9455611,0.05443882,0
0.42594332,0.5740567,0
0.23453185,0.7654682,0
