prob_class_0,prob_class_1,true_label
0.87450564,0.12549436,1
0.9918921,0.008107965,0
0.9929991,0.0070009073,0
0.9711779,0.028822163,1
0.90139955,0.09860043,1
0.9141219,0.08587803,1
0.9389238,0.061076194,0
0.9461571,0.053842917,0
0.875405,0.12459498,1
0.95191056,0.048089493,0
0.99440765,0.0055923243,0
0.9920391,0.0079609025,0
0.9009397,0.09906036,0
0.9108967,0.08910335,0
0.9333849,0.066615105,0
0.9510793,0.048920672,0
0.94135964,0.058640376,0
0.9646724,0.035327595,0
0.8024387,0.19756132,1
0.97395724,0.026042767,1
0.9665131,0.03348686,1
0.8800913,0.11990872,1
0.88736796,0.11263203,1
0.44021899,0.55978096,1
0.60178506,0.3982149,1
0.58179116,0.4182088,1
0.19708896,0.8029111,1
0.1319696,0.8680304,1
0.033492733,0.9665072,1
0.035740305,0.9642597,1
0.03444209,0.96555793,1
0.6097591,0.39024088,0
0.045656387,0.9543436,1
0.2688969,0.73110306,0
0.9162607,0.08373931,0
0.38265654,0.6173435,0
0.40615088,0.5938491,1
0.43171903,0.568281,1
0.94699025,0.053009823,0
0.954803,0.045196995,0
0.8034748,0.19652514,1
0.9130418,0.08695826,0
0.89874345,0.10125654,0
0.7897994,0.21020064,0
0.9463824,0.053617604,0
0.9067299,0.09327011,0
0.92298263,0.07701732,0
0.92484695,0.07515303,0
0.9471163,0.05288367,0
0.98771334,0.012286606,0
0.98535997,0.014639987,0
0.9794605,0.020539498,0
0.10964239,0.8903577,1
0.0797197,0.9202803,1
0.044244602,0.9557554,1
0.01990519,0.9800948,1
0.022823721,0.9771763,1
0.16784525,0.8321547,0
0.06100462,0.93899536,1
0.93799525,0.062004704,0
0.333378,0.66662204,0
0.04101446,0.9589855,1
0.02011151,0.9798885,1
0.02800584,0.97199416,1
0.03810439,0.96189564,1
0.037564445,0.9624356,1
0.16196144,0.8380385,0
0.0701395,0.9298605,0
0.36129254,0.6387075,0
0.69028294,0.30971712,0
0.8915551,0.10844493,0
0.054665066,0.9453349,0
0.22036804,0.7796319,0
0.24937215,0.7506278,0
0.009706569,0.9902934,1
0.05301384,0.94698614,1
0.7058583,0.2941417,0
0.07370499,0.926295,0
0.03198557,0.9680145,1
0.041777104,0.95822287,1
0.078693986,0.921306,0
0.05023813,0.9497618,1
0.040990893,0.9590091,1
0.058655575,0.9413444,1
0.104348145,0.8956518,1
0.031842783,0.96815723,1
0.9202287,0.07977135,0
0.9439546,0.056045454,0
0.05601057,0.9439894,1
0.05478596,0.94521403,1
0.3909723,0.60902774,0
0.97571063,0.024289362,0
0.67745924,0.32254076,0
0.59468126,0.4053187,0
0.1882284,0.8117716,0
0.27843374,0.72156626,0
0.31997895,0.68002105,0
0.2597053,0.7402947,0
0.05629972,0.94370025,1
0.14935717,0.8506428,1
0.98188823,0.01811178,0
0.74040365,0.25959635,0
0.6357515,0.3642485,0
0.17549866,0.8245014,1
0.15479998,0.84519994,1
0.18211496,0.8178851,1
0.95394415,0.04605583,0
0.9911793,0.008820742,0
0.021784076,0.9782159,1
0.07579402,0.92420596,1
0.032447767,0.9675522,1
0.38785836,0.61214167,0
0.35088193,0.6491181,0
0.14153342,0.8584666,0
0.029792866,0.97020715,1
0.035499714,0.96450025,1
0.035870463,0.96412957,1
0.06709657,0.9329034,1
0.0152513655,0.98474866,1
0.08653777,0.9134623,0
0.18966398,0.810336,0
0.31445125,0.6855488,0
0.7413221,0.25867793,0
0.04825467,0.95174533,1
0.054368284,0.9456317,1
0.045694612,0.9543054,1
0.056181174,0.9438188,1
0.069943964,0.93005604,1
0.11400408,0.885996,0
0.43339124,0.5666087,0
0.88946384,0.11053622,0
0.87406164,0.12593837,0
0.88890964,0.11109034,0
0.90279377,0.0972062,0
0.22681618,0.7731839,1
0.9207281,0.079271965,0
0.934494,0.06550593,0
0.92275214,0.07724786,0
0.92689663,0.07310337,0
0.93455464,0.06544536,0
0.9583452,0.041654814,0
0.984237,0.015762968,0
0.04545513,0.95454484,1
0.04422283,0.9557772,1
0.03619712,0.96380293,1
0.09945418,0.90054584,1
0.17543805,0.8245619,1
0.08218249,0.91781753,1
0.9305183,0.06948163,0
0.8907338,0.1092663,0
0.11849505,0.8815049,1
0.036491618,0.9635083,1
0.044118196,0.9558818,1
0.10070489,0.89929515,1
0.058795918,0.941204,1
0.016428,0.98357195,1
0.15352845,0.8464716,0
0.10785118,0.89214885,1
0.12099381,0.87900627,0
0.05502011,0.94497985,1
0.21239683,0.7876032,0
0.2550335,0.74496657,0
0.25049716,0.74950284,0
0.60701275,0.39298722,0
0.4691971,0.53080285,0
0.2481441,0.7518559,0
0.206044,0.793956,0
0.13909577,0.8609043,0
0.03461292,0.96538705,1
0.18947467,0.8105253,0
0.21538022,0.7846198,0
0.2106164,0.78938365,0
0.014644141,0.9853558,1
0.02172115,0.9782788,1
0.037404343,0.96259564,1
0.048142694,0.9518573,1
0.06769716,0.93230283,1
0.01614519,0.98385483,1
0.006946337,0.9930536,1
0.005236645,0.9947634,1
0.0009334334,0.99906653,1
0.0021281547,0.9978719,1
0.011921637,0.9880783,1
0.000164994,0.999835,1
0.030345866,0.96965414,0
0.36385417,0.63614583,0
0.41865623,0.58134377,0
0.43009633,0.5699037,0
0.5121425,0.48785755,0
0.42613375,0.57386625,0
0.9348157,0.065184236,0
0.9429825,0.057017565,0
0.9519177,0.048082355,0
0.95137715,0.04862288,0
0.9183591,0.08164091,0
0.9483829,0.051617146,0
0.9910815,0.008918453,0
0.92360944,0.07639052,0
0.9258726,0.07412731,0
0.9308183,0.06918168,0
0.92182523,0.07817474,0
0.93786156,0.06213842,0
0.94256777,0.057432227,0
0.15009056,0.8499094,1
0.9393574,0.060642574,0
0.90960515,0.09039479,0
0.0450475,0.9549525,1
0.89535666,0.10464341,0
0.8815949,0.11840516,0
0.87823945,0.12176051,0
0.7630341,0.23696584,1
0.9352014,0.064798534,0
0.93654186,0.06345819,0
0.9221158,0.07788418,0
0.98583454,0.01416552,0
0.3343369,0.6656631,1
0.9047759,0.09522407,0
0.8715014,0.1284986,0
0.89977616,0.10022378,0
0.9383331,0.06166692,0
0.93172735,0.068272606,0
0.9246959,0.07530418,0
0.9305945,0.069405444,0
0.9242034,0.0757966,0
0.9634782,0.03652178,0
0.6502803,0.34971973,1
0.3170679,0.6829321,1
0.9217276,0.07827242,0
0.9527858,0.0472142,0
0.9493752,0.050624758,0
0.9594686,0.04053141,0
0.9594595,0.040540546,0
0.96061766,0.03938236,0
0.97276527,0.027234752,0
0.984945,0.01505507,0
0.9727252,0.02727479,0
0.8620332,0.13796681,0
0.87448174,0.12551822,0
0.21975805,0.7802419,1
0.074814655,0.9251853,1
0.9379005,0.062099483,0
0.96016574,0.03983429,0
0.21488455,0.7851154,1
0.8570913,0.1429087,0
0.8396045,0.16039547,0
0.095459715,0.9045403,1
0.790698,0.2093021,0
0.9265125,0.0734875,0
0.9091868,0.09081326,0
0.9640907,0.035909265,0
0.97878563,0.021214407,0
0.88677305,0.11322698,0
0.87810224,0.12189774,0
0.9078718,0.09212824,0
0.9140624,0.08593764,0
0.956357,0.04364301,0
0.94627845,0.053721562,0
0.9032851,0.09671496,0
0.9435668,0.056433152,0
0.75521266,0.2447873,1
0.9918794,0.008120629,0
0.8941261,0.105873875,0
0.90000904,0.099990964,0
0.9100744,0.0899256,0
0.93910354,0.06089642,0
0.93089455,0.069105476,0
0.9438291,0.056170847,0
0.9352305,0.06476946,0
0.9027322,0.097267866,0
0.98248935,0.01751064,0
0.895162,0.10483801,0
0.8642131,0.13578695,0
0.88935614,0.1106439,0
0.89936227,0.100637764,0
0.893806,0.106193975,0
0.9309445,0.069055475,0
0.401353,0.598647,1
0.9311017,0.068898305,0
0.9687863,0.031213673,0
0.9864476,0.013552457,0
0.6953164,0.30468363,1
0.6625944,0.33740565,1
0.61775184,0.3822482,1
0.8309088,0.16909125,0
0.7930655,0.20693451,0
0.87399215,0.1260079,0
0.83990675,0.16009326,0
0.8421729,0.15782708,0
0.91458035,0.08541966,0
0.878793,0.121207014,0
0.9376951,0.062304962,0
0.0758748,0.9241252,1
0.06245267,0.9375473,1
0.9384707,0.061529215,0
0.95126265,0.04873735,0
0.049560547,0.95043945,1
0.9390236,0.060976323,0
0.74882805,0.25117195,0
0.7418034,0.25819656,0
0.95103574,0.048964296,0
0.9855747,0.014425226,0
0.8497354,0.15026468,0
0.14487277,0.8551272,1
0.9524661,0.047533948,0
0.049633335,0.9503667,1
0.07656945,0.9234306,1
0.8834476,0.116552435,0
0.89283055,0.1071695,0
0.90369505,0.09630495,0
0.86837703,0.13162299,0
0.32071784,0.6792822,1
0.3435501,0.6564499,1
0.052571896,0.9474281,1
0.07074335,0.9292567,1
0.08360013,0.9163999,1
0.14106074,0.8589393,1
0.2218831,0.7781169,1
0.02811693,0.9718831,1
0.0010443152,0.9989556,1
0.002590181,0.9974099,1
0.70840937,0.29159063,0
0.9327136,0.067286395,0
0.971168,0.028831987,0
0.8694618,0.13053823,0
0.68430007,0.3156999,0
0.9367333,0.063266724,0
0.93469584,0.065304205,0
0.03217127,0.9678287,1
0.029386727,0.9706133,1
0.9351876,0.06481249,0
0.028629482,0.9713705,1
0.42794362,0.5720564,0
0.41658416,0.58341587,0
0.40572163,0.5942784,0
0.46423292,0.53576714,0
0.5963549,0.40364507,0
0.27882457,0.72117543,0
0.3228324,0.6771676,0
0.06485939,0.9351406,1
0.058430046,0.94157,1
0.05725357,0.94274646,1
0.1337344,0.86626565,0
0.42981315,0.5701869,0
0.50204086,0.49795908,0
0.9840111,0.015988855,0
0.042377416,0.9576226,0
0.03251555,0.9674845,1
0.028177937,0.9718221,1
0.052337207,0.94766283,0
0.05145113,0.9485489,0
0.033218678,0.9667813,1
0.060059883,0.9399401,0
0.097692676,0.90230733,0
0.62323743,0.3767626,0
0.088002145,0.91199785,0
0.23041615,0.7695839,0
0.43707615,0.56292385,0
0.42124385,0.57875615,0
0.39873832,0.6012617,0
0.4163409,0.5836591,0
0.47649786,0.5235021,0
0.085039504,0.91496056,1
0.037411314,0.96258867,1
0.98224133,0.017758736,0
0.98671687,0.013283159,0
0.6626544,0.3373456,0
0.44758114,0.5524189,0
0.035186965,0.964813,1
0.7989249,0.201075,0
0.6909832,0.30901685,0
0.34688556,0.65311444,0
0.76331985,0.23668014,0
0.45164984,0.54835016,0
0.834699,0.16530105,0
0.8071025,0.19289748,0
0.5464118,0.45358816,0
0.55131525,0.44868478,0
0.6546881,0.34531188,0
0.018439313,0.9815607,1
0.7232489,0.27675107,0
0.86601686,0.13398318,0
0.9622922,0.03770786,0
0.39974603,0.60025394,1
0.13843809,0.8615619,1
0.14229374,0.85770625,1
0.0016258158,0.9983741,1
0.0025827507,0.9974172,1
0.039446842,0.96055317,1
0.036417454,0.9635826,1
0.037248462,0.9627515,1
0.09565888,0.90434104,1
0.5122174,0.4877826,0
0.5208849,0.47911507,0
0.5452059,0.45479414,0
0.18559802,0.8144019,0
0.4181254,0.58187467,0
0.16750316,0.8324969,0
0.2242322,0.77576786,1
0.22896917,0.77103084,1
0.9343531,0.06564688,0
0.92943466,0.07056528,0
0.9247654,0.07523457,0
0.9154476,0.08455244,0
0.9186955,0.08130446,0
0.92031693,0.0796831,0
0.93874556,0.061254367,0
0.9504809,0.049519144,0
0.9438766,0.05612342,0
0.84570545,0.15429457,1
0.9868939,0.013106102,0
0.84642905,0.15357094,1
0.25265068,0.7473494,1
0.7776874,0.22231266,1
0.82800794,0.17199202,1
0.91862047,0.081379555,0
0.9447965,0.05520349,0
0.9463395,0.05366051,0
0.9479063,0.052093696,0
0.9475492,0.052450746,0
0.90506107,0.09493893,1
0.8915814,0.10841853,1
0.83733535,0.16266468,0
0.9135909,0.086409114,0
0.9241805,0.07581955,0
0.51231486,0.48768505,1
0.7915647,0.20843528,1
0.79246956,0.20753047,1
0.25275314,0.74724686,1
0.27981895,0.7201811,1
0.52195376,0.47804627,1
0.03546657,0.96453345,1
0.31693488,0.6830651,1
0.5368453,0.4631547,1
0.6083908,0.39160916,0
0.974899,0.025100987,0
0.9860443,0.0139557235,0
0.98679245,0.013207525,0
0.9846268,0.0153732225,0
0.22986433,0.77013564,1
0.23956154,0.76043844,1
0.4631991,0.5368008,1
0.47757068,0.52242935,1
0.20405784,0.7959422,1
0.7668986,0.23310146,0
0.9167761,0.08322382,0
0.95812154,0.041878473,0
0.9887884,0.011211548,0
0.45466432,0.54533565,1
0.3239877,0.6760123,1
0.77139825,0.22860175,0
0.20192683,0.7980732,1
0.29210368,0.7078963,1
0.70542294,0.29457706,0
0.7286601,0.27133986,0
0.3400075,0.6599924,1
0.28765118,0.7123489,1
0.8056285,0.1943715,0
0.32251814,0.67748183,1
0.4319047,0.56809527,1
0.4451273,0.55487275,1
0.4519742,0.5480258,1
0.031720173,0.96827984,1
0.069521874,0.9304781,1
0.21196276,0.7880372,1
0.37992376,0.62007624,1
0.55971515,0.44028488,0
0.26732388,0.7326761,0
0.30808294,0.69191706,0
0.13200523,0.8679948,1
0.3168019,0.68319815,0
0.07272855,0.9272714,1
0.34350193,0.6564981,0
0.47537094,0.524629,0
0.11149135,0.8885086,1
0.321363,0.678637,0
0.41248813,0.5875119,0
0.3386151,0.6613849,0
0.78035575,0.21964425,0
0.34103954,0.6589605,1
0.34547734,0.6545226,1
0.34864324,0.65135676,1
0.18531018,0.81468976,1
0.16764668,0.8323533,1
0.16317725,0.8368227,1
0.7598248,0.24017519,0
0.6128771,0.3871229,0
0.5683221,0.43167794,0
0.80243355,0.19756652,0
0.9195452,0.080454774,0
0.8200492,0.17995079,0
0.75775826,0.24224173,0
0.19620651,0.80379355,1
0.7024592,0.29754075,0
0.7148905,0.28510946,0
0.8297243,0.17027569,0
0.030815998,0.969184,1
0.028197812,0.9718022,1
0.1717398,0.82826024,1
0.26902243,0.7309776,1
0.03438689,0.96561307,1
0.19262436,0.80737567,1
0.3031613,0.6968387,1
0.75436085,0.24563918,0
0.9854742,0.014525816,0
0.9832546,0.01674537,0
0.97899985,0.02100015,0
0.18954714,0.8104529,1
0.09130219,0.9086978,1
0.6994074,0.30059254,0
0.718081,0.28191903,0
0.24206029,0.7579397,1
0.9620815,0.03791847,0
0.9890192,0.010980778,0
0.90962744,0.09037252,0
0.7567442,0.24325578,0
0.343353,0.656647,1
0.30538443,0.69461554,1
0.2940948,0.7059052,1
0.49057958,0.50942045,0
0.033282362,0.9667176,1
0.0033587439,0.9966413,1
0.23229077,0.7677092,1
0.10131347,0.8986865,1
0.45995697,0.540043,0
0.6583954,0.34160456,0
0.27129158,0.7287084,1
0.812786,0.18721405,0
0.91371596,0.086284034,0
0.90727454,0.092725396,0
0.43851107,0.561489,0
0.31062505,0.6893749,1
0.3588408,0.64115924,1
0.7857228,0.21427725,0
0.80995554,0.19004446,0
0.8840734,0.11592665,0
0.09351931,0.9064807,1
0.50507987,0.4949201,1
0.0643742,0.93562585,1
0.4645531,0.53544694,1
0.06502107,0.93497884,1
0.34584475,0.65415525,1
0.060703672,0.93929625,1
0.15932688,0.84067315,1
0.9149181,0.0850819,0
0.41198012,0.58801985,0
0.12519352,0.8748065,1
0.15608929,0.8439107,1
0.35612765,0.6438723,0
0.15446542,0.8455346,1
0.48614606,0.513854,0
0.66609263,0.33390734,0
0.5712825,0.4287175,0
0.09085519,0.90914476,1
0.4478675,0.5521325,0
0.2846398,0.7153602,1
0.055922564,0.9440775,1
0.065480106,0.93451995,1
0.0553825,0.9446175,1
0.055479225,0.9445208,1
0.055296205,0.9447038,1
0.038289264,0.9617107,1
0.0710208,0.9289792,1
0.943767,0.05623302,0
0.92190486,0.07809506,0
0.2931598,0.70684016,0
0.98144263,0.018557357,0
0.97398347,0.026016485,0
0.9166525,0.08334754,0
0.83652574,0.16347426,0
0.8905042,0.10949586,0
0.9622335,0.03776652,0
0.93254614,0.067453794,0
0.8929366,0.10706337,0
0.8878635,0.112136506,0
0.9481261,0.051873982,0
0.9881138,0.011886179,0
0.9884902,0.011509722,0
0.9847596,0.01524042,0
0.98297876,0.017021196,0
0.9713407,0.028659333,0
0.8243147,0.17568529,0
0.8905242,0.10947578,0
0.9910834,0.008916577,0
0.9902824,0.009717613,0
0.98872644,0.011273597,0
