prob_class_0,prob_class_1,true_label
0.86606514,0.13393487,1
0.92946297,0.070537016,0
0.92946297,0.070537016,0
0.8777828,0.12221716,1
0.91231364,0.08768637,1
0.91231364,0.08768637,1
0.9229469,0.07705306,0
0.9315345,0.06846544,0
0.86606514,0.13393487,1
0.91231364,0.08768637,0
0.92946297,0.070537016,0
0.9229469,0.07705306,0
0.930852,0.069148086,0
0.9229469,0.07705306,0
0.93002236,0.06997761,0
0.93002236,0.06997761,0
0.9315345,0.06846544,0
0.93002236,0.06997761,0
0.8390078,0.16099223,1
0.89587396,0.104126096,1
0.8950226,0.10497747,1
0.8950226,0.10497747,1
0.8950226,0.10497747,1
0.40261477,0.5973852,1
0.40261477,0.5973852,1
0.38959682,0.6104032,1
0.2594308,0.7405692,1
0.2594308,0.7405692,1
0.011138414,0.9888616,1
0.056473862,0.94352615,1
0.041554924,0.958445,1
0.45422372,0.5457763,0
0.041554924,0.958445,1
0.34786415,0.65213585,0
0.8941632,0.105836846,0
0.4674856,0.5325144,0
0.45593926,0.5440608,1
0.45593926,0.5440608,1
0.8941632,0.105836846,0
0.8950226,0.10497747,0
0.68868005,0.31131998,1
0.8941632,0.105836846,0
0.8941632,0.105836846,0
0.8438213,0.15617871,0
0.8950226,0.10497747,0
0.89346987,0.10653019,0
0.8941632,0.105836846,0
0.8941632,0.105836846,0
0.8950226,0.10497747,0
0.89587396,0.104126096,0
0.89671737,0.10328267,0
0.89671737,0.10328267,0
0.15615296,0.8438471,1
0.15615296,0.8438471,1
0.15615296,0.8438471,1
0.07308737,0.92691267,1
0.07308737,0.92691267,1
0.2719473,0.7280526,0
0.1345323,0.8654677,1
0.8950226,0.10497747,0
0.2984069,0.7015931,0
0.028229268,0.97177076,1
0.028229268,0.97177076,1
0.05038101,0.94961894,1
0.05038101,0.94961894,1
0.028229268,0.97177076,1
0.15615296,0.8438471,0
0.095738165,0.9042618,0
0.31419143,0.6858085,0
0.3771678,0.6228322,0
0.68868005,0.31131998,0
0.101149805,0.89885026,0
0.2594308,0.7405692,0
0.2594308,0.7405692,0
0.009470573,0.99052936,1
0.028229268,0.97177076,1
0.41632822,0.5836718,0
0.14018446,0.85981554,0
0.041554924,0.958445,1
0.041554924,0.958445,1
0.12940207,0.8705979,0
0.07334869,0.9266513,1
0.07334869,0.9266513,1
0.095738165,0.9042618,1
0.12835658,0.8716434,1
0.04595797,0.954042,1
0.90704364,0.09295638,0
0.9137575,0.08624252,0
0.077103876,0.92289615,1
0.095738165,0.9042618,1
0.3949934,0.60500664,0
0.9139359,0.0860641,0
0.5466927,0.45330727,0
0.5466927,0.45330727,0
0.30855092,0.6914491,0
0.36194077,0.6380592,0
0.36194077,0.6380592,0
0.30855092,0.6914491,0
0.17091312,0.82908684,1
0.19121717,0.8087828,1
0.9139359,0.0860641,0
0.62084246,0.3791575,0
0.56872916,0.4312709,0
