prob_class_0,prob_class_1,true_label
0.98373973,0.016260237,0
0.98138547,0.018614557,0
0.010252833,0.98974717,1
0.07082498,0.929175,1
0.22977388,0.7702261,1
0.23491043,0.7650896,1
0.9933053,0.006694674,0
0.9830305,0.01696952,0
0.09386891,0.9061311,1
0.03937024,0.96062976,1
0.045734942,0.95426506,1
0.03751117,0.96248883,1
0.99683315,0.0031668474,0
0.99758905,0.0024109648,0
0.9933855,0.006614534,0
0.9975267,0.002473289,0
0.9975173,0.002482741,0
0.9982176,0.0017824364,0
0.06413692,0.9358631,1
0.99574685,0.004253131,0
0.0482682,0.9517318,1
0.0087298155,0.9912702,1
0.99744576,0.0025542183,0
0.9944458,0.0055542216,0
0.9960938,0.0039062016,0
0.05377853,0.9462215,1
0.047915637,0.95208436,1
0.011979878,0.9880201,1
0.39996666,0.60003334,1
0.8930547,0.10694529,0
0.8927413,0.10725866,0
0.9222671,0.077732936,0
0.8382433,0.1617567,1
0.8598253,0.14017469,0
0.8496751,0.15032488,0
0.7535963,0.2464037,0
0.98231596,0.017684039,0
0.67658114,0.3234189,1
0.68410015,0.31589985,1
0.5802202,0.41977978,1
0.61528045,0.38471955,1
0.9905267,0.009473325,0
0.25603908,0.7439609,1
0.30835629,0.6916437,1
0.44816595,0.55183405,1
0.9726012,0.027398838,0
0.10921943,0.89078057,1
0.97299045,0.027009564,0
0.98141146,0.018588569,0
0.98141146,0.018588569,0
0.98141146,0.018588569,0
0.9255119,0.07448808,0
0.958645,0.041355003,0
0.9705503,0.029449696,0
0.99360144,0.0063985568,0
0.982217,0.017782988,0
0.9815496,0.018450357,0
0.0015360117,0.998464,1
0.06916529,0.9308347,1
0.10259098,0.897409,1
0.0018814206,0.9981186,1
0.008554339,0.99144566,1
0.23583466,0.76416534,1
0.29045296,0.70954704,1
0.54254574,0.45745426,0
0.98883384,0.011166137,0
0.7995465,0.20045352,0
0.8979668,0.10203319,0
0.007205546,0.99279445,1
0.005248606,0.9947514,1
0.0052440166,0.994756,1
0.005341828,0.9946582,1
0.008745432,0.99125457,1
0.0033646226,0.9966354,1
0.89640373,0.10359626,0
0.53161347,0.46838653,0
0.9799201,0.020079894,0
0.96730465,0.032695368,0
0.95313567,0.046864305,0
0.32511717,0.6748828,0
0.008450747,0.99154925,1
0.0073271394,0.99267286,1
0.6954943,0.30450574,0
0.6185339,0.3814661,0
0.95912576,0.04087426,0
0.0050922036,0.9949078,1
0.37484097,0.625159,1
0.007304549,0.99269545,1
0.8857095,0.114290476,0
0.014048815,0.9859512,1
0.95416117,0.045838818,0
0.7020908,0.2979092,1
0.68403256,0.31596747,1
0.012072504,0.9879275,1
0.014780402,0.9852196,1
0.0018696189,0.9981304,1
0.8484144,0.1515856,0
0.0010688901,0.9989311,1
0.0012550354,0.99874496,1
0.002230525,0.9977695,1
0.0059762597,0.99402374,1
0.0066134334,0.99338657,1
0.008103788,0.9918962,1
0.99937135,0.00062862044,0
0.8134942,0.18650581,0
0.6594932,0.3405068,0
0.8915305,0.10846948,0
0.9991855,0.0008145063,0
0.99850637,0.0014936414,0
0.24806738,0.7519326,1
