prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,true_label
0.10436111,0.8891449,4.2008096e-06,3.9868958e-10,0.0064897584,6.636641e-08,7.3792723e-09,1
0.012582297,0.9568202,2.9176547e-07,1.586539e-07,0.030596664,4.7417956e-07,3.196687e-08,4
0.0011682028,0.8658833,1.2015872e-07,2.3334083e-07,0.13294783,3.9683454e-07,2.0975735e-08,4
0.023635043,0.90178823,6.570772e-09,1.633044e-06,0.07457336,3.753768e-08,1.7652701e-06,4
0.002625869,0.9461251,1.0698468e-08,7.2933974e-09,0.051249057,4.020359e-09,4.1892445e-09,4
0.0029047304,0.72182584,3.0734792e-08,1.4074542e-06,0.27526766,1.5297928e-07,1.4128854e-07,4
0.0022568253,0.75974745,4.468865e-08,4.824256e-06,0.23799004,1.5154178e-07,7.2864134e-07,4
0.029004304,0.90577626,1.3926939e-05,6.958416e-09,0.0652053,1.3837705e-07,3.9331386e-08,4
0.0016707097,0.6797089,1.6321412e-07,3.1673953e-06,0.3186142,2.4083593e-06,4.2511448e-07,4
0.23540969,0.764575,1.5652951e-10,1.7455019e-12,1.5247506e-05,6.350958e-11,5.4494553e-08,1
0.0021348952,0.83407754,7.468305e-07,7.0296267e-07,0.16378286,3.142628e-06,6.8124024e-08,4
0.07817841,0.9218216,1.7143651e-09,8.914394e-09,3.9156248e-08,2.5023743e-08,2.1639396e-12,4
0.16852365,0.8264015,2.3044667e-08,6.6652297e-09,0.0050746384,1.5765303e-07,1.4146705e-07,1
0.0023073992,0.94837284,1.7036929e-06,8.1063314e-07,0.049299803,1.7260825e-05,1.5371462e-07,1
0.25384286,0.7460099,2.1859109e-10,1.4446158e-08,0.00012905453,6.679889e-11,1.8245353e-05,1
0.13972239,0.85989416,1.6723071e-14,1.5046634e-11,0.00038346407,9.722302e-13,2.8023004e-08,1
0.024246713,0.95436287,2.2348367e-08,9.71293e-06,0.021359269,5.1508755e-07,2.0940231e-05,1
0.13894463,0.8605259,2.6112994e-08,5.4838136e-08,0.00026640043,4.6227673e-05,0.00021663657,1
0.66950536,0.33049366,2.1629074e-13,2.435769e-12,2.8619328e-07,6.3847046e-11,7.536565e-07,0
0.09772238,0.9018329,1.2823665e-12,1.2329717e-12,0.00044471413,8.505132e-11,3.977401e-09,1
0.15338449,0.84645385,2.610307e-11,4.8759026e-12,0.00016165541,1.7771123e-12,1.8739927e-08,1
0.50260717,0.49739277,1.1795769e-14,8.989359e-14,3.5373326e-10,2.918877e-12,3.3836472e-11,1
0.11854778,0.88073206,1.8440729e-13,6.9629138e-12,0.0007198327,1.692273e-11,4.2490058e-07,1
0.10791059,0.8920895,3.4553944e-16,3.634534e-17,2.4627793e-09,8.0829847e-13,7.4053757e-13,1
0.04974725,0.94990754,9.7944104e-11,5.2712236e-12,0.00034519134,4.8276355e-08,1.3121766e-08,1
0.008393745,0.9606623,2.542351e-06,3.1417658e-06,0.030856049,8.0750266e-05,1.6225736e-06,1
0.24585883,0.7541411,1.0178084e-15,5.4520324e-16,4.6839272e-08,1.1697093e-10,1.56805e-10,0
0.34936693,0.64595383,3.899948e-08,3.3318048e-07,0.0046740845,5.818123e-07,4.1251815e-06,0
0.0069247307,0.9913129,2.2496545e-06,9.335071e-07,0.0017546306,4.3589484e-06,1.0391331e-07,1
0.1436115,0.8563885,1.6733526e-16,9.412254e-18,6.793176e-11,1.034901e-11,2.2928136e-13,1
0.4408589,0.55899864,8.7340855e-09,1.29836755e-08,0.00013782618,9.354641e-08,4.6078785e-06,0
0.37260994,0.62733173,2.7051427e-13,3.2868241e-09,5.817077e-05,2.111609e-11,4.7016005e-08,0
0.38413262,0.61586535,8.900235e-12,7.566455e-11,1.0481987e-06,4.2336353e-11,1.0100463e-06,0
0.24172845,0.75515366,1.3227489e-09,3.5645603e-10,0.0031178547,1.3411315e-09,2.4951432e-09,1
0.1325172,0.86744833,6.885488e-11,6.362723e-17,3.4410034e-05,1.5131853e-10,9.178681e-12,1
0.10388241,0.8961176,1.4756219e-13,7.341521e-15,2.571557e-08,1.2436861e-10,2.900853e-11,1
0.96107227,0.038920272,1.3240339e-15,4.5670315e-11,3.8915235e-07,1.7706107e-12,7.1305217e-06,0
0.035154328,0.96343374,6.8144673e-10,1.9605761e-10,0.0014118318,5.687709e-10,1.1256651e-07,1
0.07782592,0.9219529,1.4937641e-09,4.9262494e-10,0.0002210956,1.0840303e-08,5.4409997e-09,1
0.48980555,0.5101351,2.9615965e-15,4.146122e-11,5.8930986e-05,7.1137113e-14,4.426592e-07,0
0.014974206,0.9849936,2.7044496e-09,1.4929956e-08,2.9233292e-05,2.6584286e-07,2.8004672e-06,1
0.11753712,0.8793309,5.032653e-11,1.5237749e-13,0.0031320574,4.811034e-09,6.888484e-11,1
0.0007764825,0.9821737,4.4685636e-05,1.1393032e-06,0.017001849,2.1542992e-06,1.8773385e-08,1
0.12593359,0.8740184,3.2931267e-13,5.876352e-15,4.798277e-05,4.9373547e-11,6.42196e-11,1
0.12590562,0.87303805,3.2261729e-13,1.5264869e-10,0.0010561055,4.8227177e-12,1.743495e-07,1
0.0067450614,0.977541,1.4907246e-07,3.9693236e-06,0.015707824,1.5112174e-06,4.414496e-07,1
0.19035427,0.8029865,7.5380606e-14,1.8096324e-09,0.00665922,1.8764764e-13,2.9767262e-08,1
0.7415473,0.25845128,1.8826942e-16,4.6817023e-15,3.9061885e-07,7.0862635e-13,1.1626623e-06,0
0.044986054,0.9549013,5.5382454e-09,7.0821597e-09,8.054651e-05,9.2486454e-07,3.114239e-05,0
0.92854166,0.07125842,1.3115876e-16,5.5905146e-12,1.7974831e-07,1.22410804e-14,0.00019966133,0
0.018802045,0.93733203,7.0229966e-05,1.2626821e-05,0.043421082,0.00036061162,1.3272702e-06,1
0.34616232,0.653465,9.8414804e-11,8.2189333e-10,0.00037213342,3.058258e-08,6.310008e-07,0
0.9763505,0.0064735496,4.611401e-19,2.9647358e-15,1.2068848e-13,7.037307e-14,0.017176017,0
0.19102667,0.8063283,2.6992578e-10,2.2453307e-10,0.0026449505,2.594956e-09,5.33626e-08,1
0.085603386,0.91430306,1.310189e-14,1.4618494e-15,9.357074e-05,4.4214984e-13,3.4694844e-11,1
0.08123624,0.91625535,5.1364353e-08,6.194394e-10,0.0025082182,6.7410234e-08,4.187559e-09,1
0.9734712,0.013813935,3.5310712e-19,1.0874578e-14,5.6807264e-14,1.3174477e-12,0.01271473,0
0.03261997,0.9673629,2.719585e-15,1.8301595e-15,1.7177308e-05,1.2403289e-11,3.733743e-09,1
0.07926969,0.92060095,1.4072675e-13,3.9628986e-17,0.0001293512,7.477973e-11,1.867063e-13,1
0.023996882,0.9759931,1.0572187e-14,4.6768166e-15,1.0047119e-05,3.777914e-11,4.729217e-09,1
0.029203244,0.97079057,1.2873384e-10,2.2198892e-13,6.011967e-06,2.0001073e-07,1.4760402e-09,1
0.08366276,0.9159907,5.5512007e-08,1.396445e-07,0.00021237586,2.7777123e-06,0.00013124138,1
0.03313606,0.9668513,1.6622665e-12,3.593135e-13,1.2295357e-05,7.4895046e-10,2.2885538e-07,1
0.3121538,0.68783796,6.6785835e-18,7.2858836e-17,8.267759e-06,1.8104687e-13,4.0633434e-09,1
0.8237695,0.17619461,1.1270079e-15,1.2113399e-11,2.186898e-08,4.3947265e-13,3.587977e-05,0
0.0857338,0.9142157,5.2023674e-10,1.0306185e-12,5.057206e-05,4.0770836e-09,8.471939e-11,1
0.97328293,0.024144325,9.928981e-19,5.6144244e-13,9.9774494e-11,4.4120242e-14,0.0025727549,0
0.012515986,0.9874676,4.8219827e-14,3.4808867e-16,1.6428216e-05,7.0765095e-12,8.85784e-11,1
0.09270038,0.9070213,8.490171e-10,1.7979332e-11,0.000278285,5.859263e-09,2.5630224e-11,1
0.027649177,0.791606,4.17892e-05,9.486065e-10,0.18070284,1.2924028e-07,2.8445022e-11,4
0.021172974,0.78004986,1.6516291e-05,5.5215743e-10,0.19876046,8.597982e-08,3.7052476e-11,4
0.028529646,0.81069726,0.00014636062,1.8706794e-08,0.16062564,1.0208909e-06,4.1796386e-11,4
0.03494446,0.8266229,0.0017572797,8.302111e-07,0.13665168,2.2898535e-05,3.1907382e-10,4
0.004460179,0.8936456,0.00014741327,1.1088465e-05,0.10173491,5.678179e-07,2.896291e-07,4
0.8840852,0.11580795,3.8064566e-21,2.3904132e-13,5.6736155e-10,6.758035e-18,0.0001069074,0
0.59154123,0.4080542,9.561305e-17,1.8910061e-10,0.00040438576,3.671072e-16,2.04748e-07,0
0.4177306,0.582244,3.443461e-17,2.7226733e-16,2.537278e-05,2.4943602e-13,3.2666214e-09,0
0.006796496,0.88696086,8.062149e-05,8.973676e-06,0.10615268,2.5862613e-07,1.9485185e-07,4
0.6141908,0.3857976,4.7330705e-13,3.2882955e-10,4.250516e-06,1.495215e-10,7.3003516e-06,0
0.93496764,0.06484666,2.0881566e-13,2.3366338e-11,5.556758e-09,2.119795e-09,0.00018563609,0
0.018590828,0.98132837,5.890033e-09,9.112349e-09,7.40732e-05,1.7851717e-06,5.023401e-06,1
0.380224,0.6167361,1.478383e-09,3.5289435e-07,0.0029375562,1.6918133e-08,0.00010186573,1
