prob_class_0,prob_class_1,prob_class_2,true_label
0.6221396,0.17754759,0.2003128,1
0.011534354,0.10200314,0.8864625,1
0.82805127,0.11919414,0.052754644,0
0.00044780853,0.0028685902,0.99668354,2
0.37408245,0.32089058,0.30502695,2
0.63572156,0.24895412,0.115324296,0
0.13313337,0.6874558,0.17941092,1
0.0059810076,0.080459945,0.9135591,2
0.18749918,0.0755944,0.7369064,2
0.05437801,0.047509335,0.8981126,0
3.7051806e-05,0.0005004041,0.99946254,2
0.008269484,0.0116631,0.98006743,2
0.0064018536,0.011475888,0.9821223,2
0.005287329,0.0060250056,0.98868763,2
0.0019889774,0.009705152,0.98830587,2
0.0029953208,0.0072775856,0.9897271,2
0.43577996,0.32426915,0.23995088,1
0.90433913,0.052955,0.04270589,0
0.41042936,0.33340877,0.25616187,1
0.00034401676,0.032465786,0.9671902,1
0.97716653,0.018136466,0.0046970393,0
0.18962005,0.04247587,0.7679041,2
0.16121069,0.005083545,0.8337057,2
0.13279994,0.26775876,0.5994413,2
0.91815054,0.077492245,0.004357221,0
0.4527486,0.05065724,0.4965942,0
0.027741117,0.835005,0.1372539,1
0.001791426,0.0105948355,0.9876137,2
0.0044823107,0.0015319482,0.9939857,2
0.80980337,0.09580942,0.09438716,0
0.0007923349,0.0038214459,0.9953862,2
0.4979582,0.43919855,0.06284331,1
0.0010297487,0.033565078,0.96540517,2
0.38442627,0.56010884,0.055464964,2
0.14976665,0.0870432,0.7631901,0
0.61088055,0.29564372,0.09347572,0
0.9612171,0.03284205,0.0059407963,0
0.34004653,0.27397087,0.38598266,1
0.01728518,0.2345406,0.74817425,1
0.93771,0.04956811,0.012721915,0
0.0041816104,0.029594764,0.96622366,2
0.00095190643,0.0042835157,0.99476457,2
0.14104918,0.46142104,0.39752975,2
0.0005374679,0.008044588,0.9914179,2
0.7157023,0.26155797,0.022739753,0
0.95400935,0.031544622,0.014446011,0
0.002330248,0.009919041,0.9877507,2
0.20836356,0.59212416,0.19951232,1
0.07167331,0.1787863,0.7495404,2
0.10127949,0.6280894,0.27063107,1
0.8806175,0.09676009,0.022622371,0
0.018732712,0.082464054,0.89880323,2
0.3254202,0.2704489,0.4041309,0
0.9401024,0.05270824,0.007189376,0
0.0036342961,0.021036511,0.97532916,2
0.0073557775,0.17051022,0.822134,1
0.7898904,0.11453405,0.09557547,0
1.3469321e-05,8.046532e-05,0.99990606,2
0.9526664,0.03199008,0.015343521,0
0.72019774,0.21000506,0.0697973,1
0.89855427,0.08448263,0.016963061,0
0.0004714131,0.0029113924,0.99661726,2
0.025092728,0.01095263,0.9639546,2
0.058661792,0.40154535,0.53979284,1
0.49407193,0.33039796,0.17553018,0
0.021821897,0.16890533,0.80927277,2
0.0012729854,0.0037175168,0.99500954,2
