prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,true_label
0.43310052,0.35426128,0.10934633,0.028016401,0.042087797,0.033187646,0
0.44442755,0.3855043,0.09702716,0.021808358,0.03234453,0.01888812,0
0.42499077,0.3852559,0.10329566,0.026874552,0.03540484,0.024178328,0
0.46678883,0.36763182,0.08512985,0.019182995,0.036191985,0.0250745,0
0.4482793,0.3825702,0.09441672,0.021972338,0.03279363,0.019967847,0
0.4355102,0.3935839,0.077848405,0.022774,0.03823189,0.032051697,0
0.44108814,0.37800056,0.103001505,0.023652328,0.03335318,0.020904308,0
0.45333192,0.37680906,0.09477667,0.02147155,0.03325983,0.02035098,0
0.46829686,0.34061548,0.10068223,0.020737106,0.04098044,0.028687904,0
0.45106003,0.32041588,0.097279124,0.025818445,0.05064123,0.05478519,0
0.4448973,0.37604922,0.09953579,0.02306454,0.03457269,0.021880355,0
0.48553866,0.35675758,0.09325971,0.01715407,0.03026126,0.017028648,0
0.3739308,0.35477296,0.101635404,0.040039662,0.06020851,0.06941274,0
0.4994768,0.31396186,0.091444105,0.01835938,0.041701756,0.035056077,0
0.3402064,0.3981069,0.0865601,0.050016265,0.050096773,0.07501356,1
0.34599903,0.42463598,0.063476585,0.042959433,0.04320654,0.07972238,1
0.3978366,0.4041468,0.100437365,0.02969006,0.03872377,0.02916547,1
0.31803575,0.41919112,0.097616106,0.05181829,0.05211299,0.061225794,1
0.24972713,0.33011174,0.11260384,0.09027805,0.07339557,0.14388362,1
0.3933164,0.39247897,0.10927045,0.03121225,0.041865785,0.03185614,1
0.45285735,0.33483335,0.098104976,0.025361855,0.046475388,0.04236703,1
0.3929912,0.37030646,0.1053083,0.03649577,0.04920466,0.045693718,1
0.2214245,0.3765585,0.075905636,0.08030197,0.07363763,0.17217182,1
0.4857775,0.3440142,0.0911207,0.01839167,0.035902303,0.024793677,1
0.39151067,0.3871944,0.10654521,0.033900887,0.044325422,0.03652333,1
0.47726753,0.35022983,0.0849485,0.01937486,0.03846482,0.029714443,1
0.28401774,0.41883042,0.082431495,0.069647096,0.05095655,0.09411671,1
0.29538554,0.4036825,0.09315719,0.059546623,0.060094424,0.0881338,1
0.42619008,0.38506612,0.10152829,0.026087588,0.036576983,0.024551006,1
0.40887496,0.39750212,0.07599169,0.029856073,0.04148085,0.046294257,1
0.42429936,0.3673179,0.11092926,0.028682737,0.039821014,0.028949687,2
0.46218374,0.31550094,0.10241869,0.023800062,0.049579922,0.046516635,2
0.45276308,0.37624925,0.09392814,0.020892091,0.03442229,0.021745095,2
0.20917448,0.4376561,0.07871458,0.112594515,0.05047238,0.11138795,3
0.18007886,0.44592965,0.063696645,0.13253343,0.04569318,0.13206825,3
0.21320161,0.41348073,0.07784474,0.10787995,0.05476455,0.1328284,3
0.20271878,0.3328196,0.083092555,0.09617383,0.076327644,0.20886753,4
0.24487628,0.40497968,0.06804769,0.085138835,0.05271501,0.14424251,5
0.22727819,0.26452714,0.10812285,0.08503986,0.09191252,0.22311942,5
0.1069987,0.21268348,0.049726993,0.11478469,0.0722605,0.4435456,5
0.0894395,0.1968604,0.04561439,0.12043899,0.0699072,0.4777395,5
0.0898926,0.18550105,0.0446734,0.10736507,0.07175322,0.5008146,5
0.07516164,0.16857204,0.034145538,0.124056585,0.058683872,0.5393803,5
