prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,true_label
0.28877392,0.4682426,0.07370101,0.055992834,0.03426065,0.07902892,0
0.4862805,0.3572321,0.100443065,0.019063586,0.016030975,0.020949828,0
0.4719955,0.35878488,0.10673901,0.020950193,0.018129129,0.023401408,0
0.5321832,0.32329628,0.10099416,0.015008417,0.012775752,0.015742304,0
0.40679854,0.39945602,0.096914046,0.031182906,0.023334488,0.04231399,0
0.49120435,0.3345091,0.117298454,0.018484225,0.01724069,0.021263136,0
0.5382583,0.3429746,0.07668935,0.015659396,0.010795103,0.015623242,0
0.25853804,0.45798063,0.068334356,0.06609636,0.03792734,0.11112326,0
0.4296855,0.34839082,0.12470757,0.02974373,0.026763428,0.040708993,0
0.4893081,0.3294497,0.119448066,0.01962283,0.018279927,0.023891337,0
0.28007594,0.4351739,0.06867944,0.0677753,0.037320472,0.11097489,0
0.18849018,0.486559,0.07101029,0.084965296,0.054088086,0.11488716,0
0.47524843,0.3301501,0.12384562,0.023169534,0.021326834,0.02625948,0
0.4354291,0.38351738,0.08632706,0.03183481,0.021917636,0.040974136,0
0.45523214,0.3690216,0.11215259,0.02139988,0.019427756,0.02276603,1
0.45279905,0.3736546,0.10826214,0.022471223,0.019945968,0.022867056,1
0.41598654,0.3966556,0.10599725,0.027081612,0.022520028,0.03175898,1
0.46292886,0.35679537,0.11601631,0.021434642,0.019904304,0.02292052,1
0.4675291,0.36053482,0.10915198,0.021288142,0.019037662,0.022458246,1
0.2753094,0.46364143,0.06801717,0.06266627,0.035246108,0.09511962,1
0.00020399803,0.027991885,7.589034e-05,0.15612777,0.01373208,0.8018684,1
0.066546634,0.3088794,0.039854836,0.1546118,0.102400646,0.32770666,1
0.044186093,0.37413788,0.015704885,0.19101617,0.06723673,0.30771822,1
0.386335,0.3832864,0.11550052,0.03596867,0.030235222,0.04867429,1
0.29521394,0.37428215,0.10426621,0.06780073,0.05127263,0.107164174,1
0.23043752,0.3711067,0.091520235,0.08840268,0.06358517,0.15494773,1
0.43395495,0.356058,0.12576123,0.027081477,0.02551469,0.03162954,1
0.29624647,0.46450633,0.073402755,0.053794336,0.032670323,0.07937982,1
0.48892805,0.3593217,0.09707637,0.01866384,0.015230789,0.020779181,1
0.45390818,0.34917036,0.12650509,0.023100091,0.022401672,0.024914598,2
0.47946674,0.3727692,0.101145245,0.01658671,0.014790517,0.015241519,2
0.5659788,0.3353471,0.067408904,0.011951027,0.0077411234,0.011573059,2
0.30801913,0.4594312,0.071811445,0.057897232,0.032912966,0.06992805,3
0.006478028,0.2650764,0.0012326629,0.18705823,0.023373492,0.51678115,3
0.05950248,0.28176495,0.024733372,0.18194339,0.076946124,0.37510964,3
0.3491015,0.3484296,0.13795137,0.050364934,0.048472174,0.06568042,4
0.3823666,0.34898534,0.1288818,0.04299764,0.03916117,0.057607427,4
0.083792664,0.46644446,0.03294608,0.12953484,0.060579553,0.2267025,5
0.09806643,0.46520743,0.022741716,0.1216226,0.042669654,0.24969222,5
0.018181069,0.14320442,0.010301257,0.1797489,0.072138384,0.57642597,5
0.031027587,0.16908394,0.021020653,0.1835165,0.09911982,0.49623156,5
0.022099199,0.15228088,0.015391626,0.17842986,0.090345606,0.5414529,5
