prob_class_0,prob_class_1,true_label
0.008496106,0.9915039,1
0.6802135,0.31978643,0
0.97952086,0.02047913,0
0.0038874003,0.99611264,1
0.055518102,0.9444819,1
0.003864599,0.9961355,1
0.5406975,0.45930254,1
0.9981857,0.0018142564,0
0.9944999,0.005500038,0
0.94965905,0.050340913,0
0.9713814,0.028618602,0
0.99807954,0.0019204105,0
0.005552328,0.9944477,1
0.0088065,0.9911935,0
0.0084296735,0.99157035,1
0.95119286,0.04880716,0
0.99724185,0.0027581481,0
0.66081136,0.33918858,0
0.9571643,0.0428357,1
0.32270077,0.67729926,1
0.99859935,0.0014007092,0
0.9960913,0.0039087147,0
0.9537425,0.046257474,0
0.4819041,0.51809585,1
0.03164356,0.9683564,1
0.01663687,0.98336315,1
0.004598024,0.995402,1
0.9860788,0.013921152,0
0.99764425,0.0023557553,0
0.9730671,0.02693289,0
0.0058515477,0.9941485,1
0.012507526,0.98749244,1
0.994768,0.0052319774,0
0.49842882,0.5015712,0
0.9927356,0.007264422,0
0.2608182,0.7391818,1
0.0042994493,0.99570054,1
0.99682105,0.003179008,0
0.17458084,0.8254192,1
0.2111025,0.7888976,0
0.014345389,0.98565465,1
0.006456136,0.99354386,0
0.016957657,0.98304236,1
0.037728082,0.96227187,1
0.8766832,0.123316854,0
0.0040217447,0.99597824,1
0.99734664,0.0026533485,0
0.64186126,0.3581387,1
0.008004616,0.99199545,1
0.994949,0.005051026,0
0.9970293,0.0029706086,0
0.017816586,0.98218346,1
0.5300585,0.4699415,0
0.008440533,0.99155945,1
0.004028347,0.9959716,1
0.3855547,0.6144453,1
0.004390979,0.995609,1
0.39883533,0.60116464,0
0.011258715,0.98874134,1
0.022619268,0.97738075,1
0.009444486,0.9905556,1
0.997801,0.0021989872,0
0.021610204,0.97838974,0
0.0053173574,0.9946826,1
0.99685466,0.0031453304,0
0.03228136,0.96771866,1
0.61942714,0.38057286,0
0.99815875,0.0018412943,0
0.99858344,0.0014166099,0
0.9682777,0.031722248,1
0.9863093,0.013690675,0
0.010488488,0.98951155,0
0.98693454,0.013065496,0
0.9872185,0.012781442,0
0.0043037706,0.9956962,1
0.9945799,0.0054201195,1
0.9941796,0.0058203787,0
0.027058901,0.97294116,0
0.037632518,0.9623675,1
0.9907663,0.00923368,0
0.97142607,0.028573979,0
0.0153678665,0.98463213,1
0.9898107,0.010189294,0
0.99621236,0.003787645,0
0.98694104,0.0130589055,1
0.99623775,0.0037622598,0
0.994468,0.005532029,0
0.11705039,0.88294965,0
0.027673611,0.9723264,1
0.004262084,0.9957379,1
0.9979206,0.0020793995,0
0.98913354,0.01086647,0
0.012856489,0.98714346,0
0.0040233876,0.9959766,1
0.66044825,0.33955172,0
0.59245384,0.40754616,0
0.046281137,0.9537189,0
0.8082626,0.19173744,0
0.9937621,0.0062379506,0
0.7186432,0.28135678,0
0.00423832,0.9957617,1
0.9960084,0.0039915764,0
0.26620355,0.7337965,1
0.32886478,0.6711352,0
0.9868989,0.013101058,0
0.9440631,0.055936873,0
0.004252887,0.99574715,1
0.688163,0.31183693,0
0.9983014,0.0016985378,0
0.0077577243,0.99224234,1
0.00409026,0.9959097,1
0.0035386204,0.99646133,1
0.9796608,0.020339241,0
0.99510866,0.004891269,0
0.014528286,0.98547167,1
0.010061787,0.98993826,1
0.75009143,0.24990857,0
0.9940601,0.0059399037,0
0.99764246,0.0023574692,0
0.9987534,0.0012465079,1
0.9982102,0.0017898304,0
0.9955199,0.0044800784,0
0.03902791,0.96097213,0
0.6725094,0.32749066,0
0.804559,0.19544101,1
0.7223724,0.2776276,0
0.008018083,0.9919819,1
0.003145272,0.99685466,1
0.9982577,0.0017423384,0
0.9941392,0.0058608637,0
0.98825,0.011750009,0
0.14467175,0.85532826,0
0.004506572,0.9954934,1
0.9965983,0.0034016632,0
0.63670576,0.36329424,1
0.003651437,0.99634856,1
0.007345792,0.9926542,1
0.9929917,0.0070083705,0
0.15113382,0.8488662,1
0.9929096,0.0070903357,0
0.005991276,0.9940088,1
0.005572139,0.9944279,0
0.93755686,0.06244321,0
0.89969337,0.10030664,0
0.56343937,0.43656063,0
0.8474236,0.15257643,0
0.07126295,0.9287371,1
0.0045204344,0.9954796,1
0.9980052,0.0019948361,0
0.5476014,0.45239857,0
0.043343417,0.95665663,1
0.011869944,0.9881301,1
0.0061517414,0.99384826,0
0.9938892,0.006110818,0
0.4323717,0.5676283,0
0.0035090048,0.996491,1
0.0054486576,0.99455136,1
0.99719644,0.0028035638,0
0.022640329,0.9773597,1
0.66577566,0.3342243,0
0.98167783,0.018322166,1
0.80793583,0.19206417,0
0.99856216,0.0014378368,0
0.9732065,0.026793504,1
0.020104349,0.9798956,1
0.91227305,0.08772696,1
0.997154,0.0028460312,0
0.6846904,0.31530955,1
0.1942014,0.8057986,1
0.6904582,0.3095418,1
0.00405647,0.9959435,1
0.013568759,0.9864312,1
0.69918925,0.30081078,0
0.9980317,0.0019683545,0
0.057870377,0.9421296,1
0.009440731,0.99055934,1
0.9975764,0.0024235465,0
0.9961357,0.0038643254,0
0.120962776,0.8790372,0
0.005988097,0.99401194,1
0.9917567,0.00824331,0
0.0049165324,0.99508345,1
0.9837621,0.016237935,1
0.9829405,0.017059527,0
