prob_class_0,prob_class_1,true_label
0.026061546,0.97393847,0
0.04213564,0.95786434,1
0.9444119,0.055588152,0
0.026386518,0.9736135,1
0.66199106,0.3380089,1
0.29103526,0.7089647,1
0.525684,0.47431594,0
0.93576163,0.06423837,0
0.9333392,0.066660866,0
0.974343,0.025657007,0
0.011265213,0.9887348,1
0.96860784,0.031392157,0
0.12352772,0.87647235,1
0.9876036,0.012396429,0
0.87987787,0.12012212,0
0.98878783,0.0112121515,0
0.05094531,0.94905466,1
0.0049194307,0.9950806,1
0.017439699,0.98256034,1
0.011627255,0.98837274,1
0.095394224,0.90460575,1
0.9602008,0.039799232,0
0.22840439,0.77159566,0
0.01616269,0.9838373,1
0.8990144,0.10098564,0
0.21145265,0.7885474,1
0.076325305,0.92367464,1
0.899969,0.100031026,0
0.847849,0.15215096,0
0.01473872,0.98526126,0
0.043067414,0.9569326,1
0.98363817,0.01636187,0
0.5891258,0.41087416,0
0.9333644,0.06663563,1
0.24959604,0.75040394,0
0.29710597,0.70289403,0
0.033356804,0.9666432,1
0.89437026,0.105629735,0
0.04900348,0.9509965,1
0.95159936,0.048400644,0
0.020335328,0.9796647,1
0.9778773,0.022122737,0
0.59043235,0.40956768,1
0.08435851,0.9156414,1
0.08699131,0.9130087,0
0.9768431,0.023156928,0
0.95849663,0.04150334,0
0.03424538,0.96575457,1
0.31961063,0.6803894,1
0.0714904,0.9285096,1
0.9720835,0.027916579,0
0.0284621,0.9715379,1
0.015744342,0.9842556,1
0.9081111,0.09188888,0
0.90192443,0.09807561,0
0.026031276,0.9739688,1
0.9942893,0.005710695,0
0.27546605,0.7245339,0
0.23123494,0.7687651,1
0.9682671,0.031732935,1
0.8307415,0.16925846,0
0.13275875,0.86724126,1
0.06414938,0.93585056,1
0.013399239,0.9866007,1
0.6563784,0.3436216,1
0.031411897,0.96858805,1
0.033561684,0.9664383,1
0.9899306,0.01006938,0
0.4505126,0.5494874,0
0.926648,0.073352,0
0.792421,0.20757902,1
0.20004426,0.7999557,0
0.014005674,0.98599434,1
0.9892469,0.010753104,0
0.9302139,0.06978607,1
0.97017205,0.029827936,0
0.87621856,0.12378149,1
0.2952714,0.7047286,0
0.9875109,0.012489034,0
0.9789875,0.021012457,0
0.012192525,0.98780745,1
0.98164064,0.018359387,1
0.9325408,0.06745927,0
0.031645305,0.9683547,1
0.79987353,0.20012653,0
0.9849191,0.015080977,1
0.95549893,0.044501077,0
0.62586606,0.37413394,0
0.41102543,0.58897454,1
0.99226874,0.007731305,0
0.38331708,0.6166829,1
0.24339461,0.7566054,0
0.005724229,0.99427575,1
0.18798932,0.8120107,1
0.14800547,0.8519946,1
0.11184328,0.8881567,1
0.46520188,0.534798,0
0.6580814,0.34191856,0
0.89941657,0.10058341,0
0.24289371,0.75710636,1
0.9544081,0.0455919,0
0.892065,0.107935034,0
0.83325493,0.16674505,0
0.9348936,0.06510642,0
0.9623027,0.03769727,0
0.95844954,0.041550487,0
0.07344819,0.9265518,1
0.9950033,0.0049967724,0
0.31178758,0.6882124,1
0.97616845,0.023831544,0
0.980663,0.019337047,0
0.966285,0.033715032,0
0.03435535,0.96564466,1
0.3455712,0.6544289,0
0.13989612,0.8601039,1
0.8809199,0.11908015,0
0.007335555,0.9926644,1
0.09710768,0.9028923,0
0.023149548,0.9768505,1
0.92316383,0.07683619,0
0.52148485,0.4785152,1
0.39149898,0.608501,1
0.92459905,0.0754009,0
0.9931184,0.00688164,0
0.96720046,0.032799542,1
0.9840201,0.015979916,0
0.7706927,0.2293073,0
0.09429255,0.9057074,1
0.98457134,0.01542865,0
0.8510292,0.14897072,1
0.44313753,0.5568624,0
0.011066408,0.98893356,1
0.8355943,0.16440569,0
0.59806937,0.4019306,0
0.1281429,0.8718571,1
0.024960397,0.9750396,0
0.9934052,0.0065947897,0
0.012225506,0.98777455,1
0.47969046,0.5203095,1
0.773996,0.22600399,0
0.6868271,0.31317285,1
0.4750875,0.52491254,1
0.9573144,0.042685587,0
0.9997348,0.00026513575,0
0.95537335,0.04462667,0
0.041353837,0.9586461,1
0.5368817,0.46311828,0
0.9301925,0.069807515,0
0.95887446,0.04112556,0
0.776575,0.22342496,0
0.34778327,0.65221673,0
0.9905834,0.009416551,0
0.042507187,0.9574928,1
0.007338834,0.9926611,1
0.16709396,0.832906,0
0.98289883,0.01710114,0
0.9698906,0.030109352,0
0.97762316,0.022376869,0
0.03168683,0.96831316,1
0.12938972,0.8706103,1
0.9923838,0.0076162424,0
0.96391386,0.03608614,1
0.9192637,0.0807363,0
0.992945,0.007054941,0
0.6864321,0.31356794,0
0.95572406,0.04427594,0
0.58183795,0.41816205,1
0.53414005,0.46585995,1
0.00808358,0.99191636,1
0.9870833,0.012916697,0
0.742141,0.25785905,1
0.84037626,0.15962377,1
0.46943906,0.5305609,0
0.027193245,0.97280675,1
0.9706007,0.02939924,0
0.011668866,0.98833114,1
0.9308633,0.06913671,0
0.85117286,0.14882721,0
0.9681438,0.031856194,0
0.7647486,0.2352514,0
0.5287135,0.47128654,1
0.9804125,0.019587496,0
0.04726233,0.95273775,1
0.7794547,0.22054526,0
