prob_class_0,prob_class_1,true_label
0.87792945,0.12207055,0
0.96120226,0.038797766,0
0.92827463,0.071725324,0
0.9207492,0.0792508,0
0.7148125,0.28518745,0
0.986048,0.013951997,0
0.011319271,0.9886807,1
0.9949333,0.005066669,0
0.89679635,0.10320365,0
0.2894722,0.71052784,0
0.45004597,0.549954,1
0.95147413,0.048525825,0
0.060586058,0.93941396,1
0.96167284,0.038327124,0
0.48389965,0.51610035,1
0.13766839,0.86233157,0
0.05145845,0.9485415,1
0.67240363,0.3275964,0
0.79476035,0.20523968,0
0.793057,0.206943,0
0.96728945,0.032710545,0
0.49143568,0.50856435,0
0.50524753,0.49475247,0
0.9746259,0.025374118,0
0.9882487,0.01175126,1
0.76425594,0.23574407,0
0.6095087,0.39049128,0
0.997675,0.0023250068,0
0.011015611,0.98898435,1
0.51344585,0.48655415,0
0.03406004,0.96593994,1
0.5775407,0.42245921,0
0.29032126,0.70967877,0
0.9023824,0.09761762,0
0.99528825,0.0047117635,0
0.9957201,0.004279882,0
0.9435654,0.05643463,1
0.9888271,0.011172931,0
0.797407,0.20259301,0
0.8923192,0.1076808,0
0.9941658,0.0058342023,0
0.028176518,0.97182345,1
0.6902605,0.3097394,0
0.6680709,0.33192912,1
0.016026124,0.9839739,1
0.92641795,0.07358206,0
0.08159885,0.9184011,1
0.083564036,0.916436,1
0.011868199,0.9881319,0
0.108947106,0.8910529,1
0.58120817,0.41879186,0
0.86646444,0.13353549,1
0.97176445,0.028235538,0
0.07160679,0.9283932,1
0.045292668,0.9547074,1
0.9297983,0.07020167,0
0.597686,0.40231395,0
0.11168207,0.8883179,1
0.92094165,0.079058334,0
0.13465053,0.8653495,1
0.045638163,0.95436186,1
0.22480229,0.7751977,0
0.98364407,0.016355893,0
0.050911855,0.9490882,1
0.60630786,0.39369208,0
0.024293033,0.97570693,1
0.9691199,0.03088009,0
0.12519504,0.874805,1
0.9501049,0.049895078,0
0.23735563,0.7626444,1
0.98180145,0.018198512,1
0.82610184,0.17389819,0
0.7632109,0.23678912,0
0.23132013,0.76867986,0
0.989645,0.0103550535,0
0.07869108,0.92130893,1
0.9612675,0.038732503,0
0.006978855,0.9930212,1
0.8599827,0.14001724,0
0.041957255,0.95804274,1
0.054598637,0.9454014,1
0.94208103,0.057918973,0
0.055679623,0.94432044,1
0.11489838,0.8851016,1
0.47277594,0.5272241,1
0.09504788,0.90495205,1
0.40308022,0.5969198,0
0.012621265,0.9873788,1
0.46913013,0.53086984,0
0.4308609,0.56913906,1
0.70230174,0.29769826,1
0.8644501,0.13554987,0
0.97582495,0.02417509,0
0.9690878,0.030912215,0
0.9469306,0.053069435,0
0.6074951,0.39250487,1
0.007722552,0.9922774,1
0.3180931,0.6819068,0
0.8916619,0.10833808,1
0.99729353,0.0027064919,0
0.98924494,0.010755021,1
0.9588321,0.041167967,0
0.0351431,0.9648569,1
0.013113185,0.9868868,1
0.10937109,0.890629,1
0.6825904,0.31740957,0
0.9078249,0.09217509,0
0.119560234,0.88043976,1
0.8909818,0.109018184,0
0.009066418,0.99093366,1
0.60834825,0.39165175,0
0.049563676,0.9504363,1
0.0622562,0.93774384,1
0.22771583,0.7722842,1
0.037214324,0.96278566,1
0.54894966,0.45105034,1
0.027894385,0.97210556,1
0.046762098,0.9532379,1
0.008076033,0.991924,1
0.965029,0.034971006,0
0.9878995,0.0121005345,0
0.43730313,0.5626969,1
0.08301135,0.9169886,1
0.9911987,0.008801253,0
0.6237151,0.37628493,0
0.99877316,0.0012268311,0
0.99308044,0.006919601,0
0.009424218,0.9905758,1
0.73393774,0.26606226,1
0.8584141,0.14158596,0
0.14605951,0.8539404,1
0.99934334,0.00065666443,0
0.89035064,0.109649286,0
0.9190743,0.08092572,0
0.019211253,0.98078877,1
0.021417856,0.9785822,1
0.86251396,0.13748609,0
0.61838174,0.3816183,0
0.9817825,0.018217457,1
0.9806953,0.019304628,0
0.036807332,0.9631927,1
0.98256737,0.017432649,0
0.9565953,0.043404654,0
0.98856366,0.0114363525,0
0.21952277,0.7804772,0
0.07069047,0.92930955,1
0.06701758,0.9329824,1
0.79063386,0.2093661,1
0.012412581,0.9875874,1
0.020265121,0.9797349,1
0.88014597,0.119854026,0
0.3260465,0.6739535,0
0.042667367,0.9573326,1
0.8364537,0.16354637,0
0.9264593,0.07354073,0
0.9878977,0.012102312,0
0.025429968,0.9745701,1
0.7711375,0.22886254,0
0.9834719,0.016528161,1
0.07520134,0.92479867,1
0.71657825,0.28342178,1
0.07174831,0.92825174,1
0.7231221,0.27687788,0
0.980037,0.019962993,0
0.1139955,0.8860045,1
0.9690216,0.030978378,1
0.68894655,0.3110535,1
0.984064,0.015935991,0
0.89167666,0.10832335,0
0.96750367,0.03249629,0
0.112545155,0.8874548,0
0.28662598,0.713374,1
0.21452913,0.78547084,1
0.6078073,0.39219272,0
0.9855312,0.014468821,0
0.9347629,0.06523711,1
0.965868,0.034131978,0
0.025285283,0.9747147,1
0.97968894,0.020311061,0
0.025957342,0.9740426,0
0.3538346,0.6461654,1
0.043525103,0.9564749,0
0.010208302,0.98979163,1
0.15202934,0.8479707,0
